episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z,eef_x,eef_y,eef_z,grip_w,j0,j1,j2,j3,j4,j5,j6
0,success,1,1,49,-82.86237398775802,12.944846645209493,-69.91752734254852,-0.0006941326709380086,0.007260250662576028,-0.0028372011607176195,0.007293357241236658,0.9338710628607859,0.08825532131571087,-0.15568682720812194,0.9325546890683469,0.04703305861616992,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,fell_off_table,0,1,126,-0.13562116289849893,-41.330452297183975,138.53392653991753,-0.002473414789253373,-0.0012655054162363608,0.0012438280776828322,0.002778360069937097,1.121472616394664,0.2386861969281902,-0.49374157386210976,1.1242428061069902,0.03973065089670199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,1,1,28,39.36419123444594,-21.77215960677632,17.59203162766962,-0.027102753951613538,-0.0002661063560922402,0.009099131454552337,0.027104060292776358,0.9748851807322448,0.045254665779015574,-0.13968485235970945,0.988658417433803,0.035229552120231794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,success,1,2,53,-1.9944252625975425,-34.60888120360682,-36.603306466204366,0.0018282624264103137,-0.0004956424110795017,0.0054955808866986875,0.0018942557640098208,1.0086382792826587,0.10455019883973107,-0.24270538722051982,1.0116379243263092,0.039868414300495564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,success,1,1,57,-81.19067213910067,-30.809431421216065,67.99989643968325,0.0035104166880353055,-0.00294955076948924,0.003609277929533861,0.004585070889902503,1.0889844736621999,0.19713147280828658,-0.2962836932279501,1.0886249391106226,0.05278194941988689,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,success,1,1,72,6.6743524686161075,-44.15841160117839,142.5159408674377,-0.0016307354338084717,-0.0008240623468853175,-0.0019478248270138995,0.0018271225483345779,1.0733846586158498,0.18274319341265044,-0.39178698380387117,1.073116209329722,0.040083969921658844,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,success,1,2,88,6.964335161728652,-35.14366326674289,151.82067189498574,-0.005600709491019796,-0.00295001538841822,0.003867610610974142,0.006330129350550708,1.0614866458079288,0.2047375362549727,-0.44586255818419984,1.0682354540099306,0.04222205016099026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,success,1,1,30,73.02884779526974,-63.90905999294169,9.119787802328048,-0.006509124943016081,-0.0023266473920497063,-0.001996189099727053,0.00691245221399221,1.0407530735258843,0.17449709904233526,-0.13219728111825363,1.0410018578911386,0.05662201847793333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,success,1,1,70,-87.8002604949063,-16.725177666302596,-104.5254381612089,-0.0032316761296137327,0.00021952520958061513,0.002640595572459366,0.0032391236352378723,1.05657343549054,0.24731927005022256,-0.3878751301151084,1.0607445120729364,0.047724891773331606,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,success,1,1,62,-5.545940650164141,27.57915126917688,-157.96678938098728,0.0007241358999062566,-0.0005284736581830547,-0.0027729880973508805,0.0008964693017200446,0.9758175714595035,0.10730069570533457,-0.2929359242771949,0.9734297850152074,0.039716250036022735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
