episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z,eef_x,eef_y,eef_z,grip_w,j0,j1,j2,j3,j4,j5,j6
0,success,1,1,67,-70.39634700105931,-39.74061779785162,-110.13696479891094,-0.002875897658688866,-0.00398673586576561,0.00023566982904351915,0.004915775646490996,1.0198002175243432,0.11957875286469502,-0.1305909313390876,1.0208311791839428,0.047964060304208495,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,70,-53.89593353550791,-54.57087555568518,-108.46680909119308,3.904364535083473e-05,-0.0018496380689864507,-0.0011288871371826778,0.0018500501053988262,0.9916380738521519,0.02502535277760056,-0.31175113606079163,0.9898160271160715,0.05727980109664077,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,1,1,54,88.53900960560442,-53.116901981618405,-144.57789237601398,-0.022249220137745596,0.00507792844737796,0.0015422406223282743,0.022821331119252324,0.9933418761163124,0.19831106284473476,-0.14732692459413918,1.0083345556996635,0.04916508396402651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,success,1,1,87,8.980225770122285,-65.7069954806336,-56.72676971051131,-0.00964186025127427,0.0021072712500176576,0.0034362852656303062,0.009869450908042135,0.987095811829532,0.07764473900837718,-0.48882736894986734,0.9934483844185849,0.0458968688551752,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,success,1,1,25,4.468232317334674,-10.871856020284703,-6.403623702950029,0.003441013623837212,0.0002526516425193639,-0.002081529360953775,0.0034502764544165204,1.0755991331319754,0.06571677899115608,-0.05705054354230948,1.0717988747877782,0.03972228580726546,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,success,1,1,70,77.64266088213594,-48.50668431118875,-150.86402342905282,-0.010304760522673245,-0.008074774844400346,-2.571333644079592e-05,0.013091603347848788,1.0077643846967288,0.04914638372209882,-0.38938130789033126,1.0111100591542654,0.051185005516096005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,timeout_dropped,0,1,300,54.52120517028741,-20.094573580548843,-145.57336841026145,-0.024847385362977696,0.0019250733093186573,-0.008691016178351694,0.024921847175170812,0.8989539440484153,-0.03480754134047871,-0.28894083715559243,0.894619780756503,0.030432101588510393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,success,1,1,74,89.15365236475664,-6.945406728597104,82.20824563615952,-0.0024850645564732034,-0.0050979690288530215,0.0038451015520893613,0.00567140494665863,0.968947113326231,0.0075479996273575475,-0.34779764652035833,0.9737067082686044,0.04551725809103856,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,success,1,1,31,45.60573343971882,-27.903037089996726,17.702696349722093,-0.012593246400062253,0.0010840696616629905,-0.0006252223984043398,0.01263982048622602,0.9645459133737595,0.059106655906499175,-0.21440015493262138,0.9733587513498332,0.05076718001615747,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,success,1,1,67,88.73780662325282,4.817545454199262,93.55535207745208,0.001979848696037111,-0.003574610538889345,-0.00016095874476203156,0.004086274753848378,0.9761555257637927,0.017111242997680305,-0.2853525049097316,0.9751241359990181,0.04559336325668977,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,success,1,1,69,-24.457814504611832,-68.55270986440266,-93.01052436901449,-0.009410659720457985,-0.003319923754743173,0.001122229620873001,0.009979098662281999,0.9825618702030626,0.18107461857388968,-0.21724954052471124,0.9830881724365597,0.060734533894403836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,success,1,3,109,-19.507184958836405,-67.350022598049,-86.8572075568854,0.012504207820126512,0.0011946732088346556,0.0001227106308202561,0.012561148724731361,1.0675225144825689,0.16345977580215512,-0.4288711425168157,1.0606859322670505,0.0513536298945797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,success,1,1,85,88.2805733858107,-61.873462220124,-153.5928888343133,0.007765752755554383,-0.0026780012867614034,0.013167298636297783,0.00821453630780802,0.9662445131624772,0.23630022774265566,-0.4179769229626695,0.971165800690515,0.046941208586307584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,success,1,1,63,-4.88651706366671,-16.474208473559028,158.63927446277424,-0.008696745902058801,0.00019255054210660203,-0.002411631459840274,0.008698877226185118,0.999477236276052,0.17512839858417212,-0.27046810180461056,1.0034616077150016,0.042395479641285774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,success,1,1,94,12.075677007295294,-33.59491580467477,-21.51923879737948,8.420723582541019e-05,-0.0010662448441462868,0.007753272298413216,0.0010695648303089885,1.059467115026202,0.13917684552073017,-0.4103993492726366,1.0637997297871233,0.03995140335088594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,success,1,1,75,7.437291454289791,-60.309745782596764,-52.87245432830698,-0.018942429656113407,-0.0012459707761499927,-0.001955276856946632,0.018983363359842863,0.9935873295122127,0.09786006385981402,-0.20178825978480872,0.9947217653106386,0.043933472599608656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,success,1,1,70,27.872818933630754,-36.16358162381094,171.70923730981977,-0.0058322742982258174,-0.003997012815293473,-0.002797880801291998,0.007070469216068033,1.0034847472002486,0.06891806311372757,-0.2889471961895532,1.0032663831969901,0.05007732951622741,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,success,1,1,73,15.789707218464079,-42.34374736837259,-26.55404014990851,-0.007362956097470375,0.000726278445201063,-0.0012556723716909551,0.007398689267244561,1.0484281256347765,0.11634262880484308,-0.27086569295578167,1.0527108739661017,0.03972415264181205,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,success,1,1,86,-66.05465002689036,-61.78071140251326,-127.83536142940362,0.0017609067907975898,-0.003890969174168818,0.00086544844360978,0.004270882091583546,1.0246670330020597,0.06646999274530589,-0.45833965444421904,1.0236779027954532,0.05341573247590831,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,success,1,1,58,5.6895922264453835,-41.4589386740914,144.23065355235397,-0.004711694957161774,0.0019391968934404501,0.007952640482357647,0.0050951500430186335,0.9971245445610788,0.06990113051506314,-0.31237365999770694,1.0064744071527911,0.039753471453024124,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,success,1,1,71,-64.74118186353142,-70.9692319491071,-135.71041381263854,-0.00047389799747259284,-0.002148337314509742,-0.0010154401861503324,0.002199984665610982,1.0075366895400752,0.12630562444216714,-0.2552954466827229,1.005650087909043,0.04714042138947551,0.0,0.0,0.0,0.0,0.0,0.0,0.0
