idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,29,1,0.3433,1.126,0.1578,0.1601,6,3.3301,-0.0038,0,0
1,DONE_OK,,48,1,0.5926,1.008,0.1574,0.7578,3,2.2313,0.1579,0,0
2,DONE_OK,,46,1,0.5,0.913,0.1547,0.9117,3,2.3151,0.3802,0,0
3,DONE_OK,,110,1,0.4748,1.125,0.1526,1.019,6,2.2674,-0.006,0,0
4,DONE_OK,,15,1,0.1281,1.123,0.1561,-0.0005,6,3.7528,-0.0061,0,0
5,DONE_OK,,41,1,0.541,1.086,0.1686,0.867,3,2.3703,0.1025,0,0
6,DONE_OK,,43,1,0.4993,1.078,0.1578,0.8344,3,2.0918,0.5704,0,0
7,DONE_OK,,38,1,0.4381,1.014,0.1546,0.5886,5,3.1639,0.0497,0,0
8,DONE_OK,,57,1,0.5998,0.977,0.1452,1.0243,6,1.6362,0.7811,0,0
9,DONE_OK,,60,1,0.5132,0.86,0.1584,-0.0079,3,2.2268,-0.0079,0,0
10,DONE_OK,,43,1,0.4918,0.941,0.1551,0.5695,6,2.5256,0.5695,0,0
11,DONE_OK,,48,1,0.5631,0.965,0.1536,0.7984,6,2.3411,0.715,0,0
12,DONE_OK,,46,1,0.548,0.996,0.1475,1.1304,3,1.909,0.7675,0,0
13,DONE_OK,,17,1,0.1935,1.124,0.1582,0.8694,5,2.8831,0.4061,0,0
14,DONE_OK,,46,1,0.5489,1.02,0.1459,0.8591,6,2.0818,0.5853,0,0
15,DONE_OK,,50,1,0.6223,1.061,0.1541,0.6193,3,1.6416,0.569,0,0
16,DONE_OK,,73,1,0.531,0.899,0.1547,0.736,6,2.002,0.1625,0,0
17,DONE_OK,,65,1,0.6077,0.97,0.1589,0.3873,3,2.2574,0.3873,0,0
18,DONE_OK,,17,1,0.2186,1.126,0.1346,0.3597,6,3.3258,0.007,0,0
19,DONE_OK,,43,1,0.5027,1.019,0.1483,1.1706,1,2.327,0.4015,0,0
20,DONE_OK,,42,1,0.5501,1.082,0.1699,0.623,3,2.2068,0.1194,0,0
21,DONE_OK,,40,1,0.5299,1.117,0.1625,1.2341,3,2.1065,0.365,0,0
22,DONE_OK,,59,1,0.5592,0.975,0.1531,0.8288,6,1.8625,0.8288,0,0
23,DONE_OK,,34,1,0.2987,1.124,0.1644,-0.0003,6,3.6504,-0.0082,0,0
24,DONE_OK,,57,1,0.5895,0.938,0.1495,0.7276,3,1.8913,0.6456,0,0
25,DONE_OK,,10,1,0.1186,1.097,0.14,0.9314,5,2.8211,0.6824,0,0
26,DONE_OK,,67,1,0.3487,0.964,0.1674,0.0751,6,1.8587,0.0751,0,0
27,DONE_OK,,25,1,0.3247,1.123,0.1576,1.1385,5,2.614,0.3915,0,0
28,DONE_OK,,49,1,0.5711,0.992,0.1394,-0.0064,3,1.7902,-0.0064,0,0
29,DONE_OK,,18,1,0.2446,1.123,0.1398,0.8813,5,2.8712,0.2359,0,0
30,DONE_OK,,54,1,0.55,0.955,0.1535,0.1417,6,1.7276,0.1337,0,0
31,DONE_OK,,43,1,0.5066,1.048,0.1524,1.0233,3,2.1095,0.7477,0,0
32,DONE_FAIL,TRANSPORT,300,1,0.2396,1.125,0.8098,-0.001,4,3.7528,-0.0066,0,0
33,DONE_OK,,52,1,0.6118,1.025,0.1529,0.4897,3,1.6189,0.4897,0,0
34,DONE_FAIL,GRASP,18,0,0.3953,1.12,0.5503,0.9275,6,2.2146,0.6379,0,0
35,DONE_OK,,49,1,0.6102,1.047,0.1575,0.4454,3,2.0628,0.0501,0,0
36,DONE_OK,,38,1,0.4442,1.031,0.1525,0.9472,3,2.1033,0.6969,0,0
