idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_FAIL,TRANSPORT,300,1,0.1402,0.945,0.6641,0.272,4,1.3434,-0.0127,0,0
1,DONE_OK,,29,1,0.3285,1.125,0.1634,0.8452,5,2.9073,0.2039,0,0
2,DONE_OK,,50,1,0.585,0.962,0.1628,0.4384,3,2.182,0.255,0,0
3,DONE_OK,,42,1,0.55,1.059,0.1594,0.6783,3,2.2048,0.1621,0,0
4,DONE_OK,,99,1,0.5286,0.812,0.1686,0.7538,3,2.8117,-0.0115,0,0
5,DONE_OK,,13,1,0.1352,1.117,0.1577,0.7234,6,2.774,0.3138,0,0
6,DONE_OK,,44,1,0.6149,1.048,0.1433,0.6747,3,2.2203,0.3277,0,0
7,DONE_OK,,58,1,0.6767,0.931,0.166,0.092,3,2.262,-0.0046,0,0
8,DONE_OK,,48,1,0.6007,1.022,0.1576,0.5915,3,1.9572,0.3333,0,0
9,DONE_OK,,41,1,0.488,0.979,0.1724,0.9625,3,2.5351,0.1343,0,0
10,DONE_OK,,50,1,0.5942,0.954,0.1689,0.0076,3,2.3325,-0.0047,0,0
11,DONE_OK,,46,1,0.5342,0.948,0.1574,0.5875,3,2.1485,0.34,0,0
12,DONE_OK,,48,1,0.2685,1.116,0.1722,-0.0003,6,3.6299,-0.0059,0,0
13,DONE_OK,,9,1,0.1096,1.126,0.1411,0.1542,5,3.5983,0.0046,0,0
14,DONE_OK,,34,1,0.4124,1.018,0.1673,0.723,3,2.2541,0.4584,0,0
15,DONE_OK,,52,1,0.5705,1.038,0.152,0.226,3,1.9882,0.226,0,0
16,DONE_OK,,44,1,0.6075,1.051,0.1471,-0.0002,3,2.1707,-0.0074,0,0
17,DONE_OK,,46,1,0.6123,1.06,0.1554,0.2837,3,2.1354,0.0908,0,0
18,DONE_OK,,32,1,0.3291,1.118,0.1475,0.5838,5,3.1687,0.1559,0,0
19,DONE_OK,,53,1,0.6734,1.058,0.1478,-0.0001,3,2.0763,-0.0077,0,0
20,DONE_OK,,42,1,0.516,1.069,0.1637,0.9184,3,2.1452,0.3399,0,0
21,DONE_FAIL,GRASP,36,0,0.8235,0.98,0.2627,-0.0005,3,2.4474,-0.0049,0,0
22,DONE_OK,,51,1,0.8017,1.065,0.1853,0.1585,5,3.594,-0.0129,0,0
23,DONE_OK,,12,1,0.1532,1.118,0.1513,0.0676,5,3.6849,0.0017,0,0
24,DONE_OK,,20,1,0.2432,1.074,0.1479,0.9828,5,2.7697,0.3696,0,0
25,DONE_OK,,17,1,0.195,1.126,0.1369,0.2962,5,3.4563,0.0037,0,0
26,DONE_OK,,29,1,0.2293,1.122,0.162,-0.0002,6,3.5226,-0.003,0,0
27,DONE_FAIL,TRANSPORT,300,1,0.0375,1.116,0.3199,-0.0002,6,3.4079,-0.0033,0,0
28,DONE_OK,,15,1,0.2037,1.125,0.168,0.449,5,3.3035,0.0088,0,0
29,DONE_OK,,53,1,0.6168,0.993,0.1555,-0.0014,3,2.0755,-0.0059,0,0
30,DONE_OK,,47,1,0.5971,1.001,0.1531,0.6031,3,1.9818,0.4194,0,0
31,DONE_OK,,45,1,0.5038,0.903,0.1613,0.9291,3,2.5649,0.289,0,0
32,DONE_OK,,49,1,0.6249,1.032,0.1472,0.3826,3,2.163,0.0485,0,0
33,DONE_OK,,50,1,0.6944,1.071,0.1585,-0.0002,3,2.1687,-0.0063,0,0
34,DONE_OK,,45,1,0.5736,1.025,0.1536,0.7545,3,2.1421,0.3152,0,0
35,DONE_OK,,53,1,0.6001,1.042,0.1475,0.6501,3,2.1142,0.0222,0,0
36,DONE_OK,,44,1,0.5321,1.006,0.1588,0.8294,3,2.0269,0.3895,0,0
37,DONE_OK,,42,1,0.5441,1.044,0.1586,0.7942,3,2.0683,0.4227,0,0
38,DONE_OK,,52,1,0.5901,1.027,0.1538,0.6276,3,2.0634,0.2869,0,0
39,DONE_OK,,39,1,0.6641,1.044,0.1679,-0.0001,1,3.428,-0.0106,0,0
40,DONE_OK,,43,1,0.5028,0.943,0.1582,0.9272,3,2.3334,0.3729,0,0
41,DONE_FAIL,RETRACT,51,1,0.6829,1.044,0.174,-0.0007,1,3.0334,-0.007,0,0
42,DONE_OK,,53,1,0.647,1.023,0.158,-0.0003,3,2.191,-0.0044,0,0
43,DONE_OK,,48,1,0.5365,0.917,0.1553,1.1729,3,2.3733,0.4755,0,0
44,DONE_OK,,65,1,0.5901,0.934,0.1503,0.6928,3,1.7857,0.5634,0,0
45,DONE_OK,,60,1,0.6138,0.985,0.1474,0.6583,3,2.0093,0.241,0,0
46,DONE_OK,,22,1,0.3077,1.091,0.1642,0.3173,5,3.4352,0.0022,0,0
47,DONE_OK,,46,1,0.4804,0.879,0.1541,0.9897,3,2.2765,0.4289,0,0
48,DONE_OK,,45,1,0.5214,1.022,0.1552,0.5948,3,2.1006,0.4141,0,0
49,DONE_OK,,54,1,0.6072,0.96,0.1491,0.4909,3,2.084,0.0273,0,0
50,DONE_OK,,55,1,0.623,0.992,0.1518,-0.0001,3,2.089,-0.0049,0,0
51,DONE_OK,,32,1,0.3743,1.014,0.1542,0.2659,3,2.0591,0.2659,0,0
52,DONE_OK,,56,1,0.6047,0.945,0.1538,1.0346,6,1.9382,0.9103,0,0
53,DONE_OK,,48,1,0.4781,0.873,0.1475,0.1807,6,2.672,0.0237,0,0
54,DONE_OK,,16,1,0.2255,1.122,0.161,0.2746,5,3.4779,0.004,0,0
55,DONE_OK,,44,1,0.5453,1.046,0.1563,0.544,3,1.983,0.1596,0,0
56,DONE_OK,,49,1,0.5919,0.98,0.151,0.685,3,2.2955,0.2512,0,0
57,DONE_OK,,53,1,0.6233,0.98,0.1533,-0.0004,3,2.0968,-0.006,0,0
58,DONE_OK,,35,1,0.432,1.023,0.1567,0.8479,3,2.228,0.4325,0,0
59,DONE_OK,,16,1,0.202,1.125,0.1329,0.4772,5,3.2753,0.0403,0,0
60,DONE_OK,,53,1,0.6646,1.012,0.1708,-0.0016,3,2.2589,-0.0048,0,0
61,DONE_OK,,55,1,0.6064,1.004,0.1489,0.2021,6,2.4761,0.0459,0,0
62,DONE_OK,,56,1,0.632,1.013,0.1457,0.7284,3,1.7287,0.5277,0,0
63,DONE_OK,,10,1,0.1256,1.126,0.1427,0.0728,5,3.6797,0.0006,0,0
64,DONE_OK,,17,1,0.23,1.112,0.1624,0.1333,6,3.5853,-0.0001,0,0
65,DONE_FAIL,GRASP,24,0,0.6324,1.092,0.2391,0.0041,6,3.3348,-0.0031,0,0
66,DONE_OK,,9,1,0.1288,1.119,0.1607,0.078,5,3.6745,0.0022,0,0
67,DONE_OK,,54,1,0.5999,1.016,0.1454,0.1035,3,1.9052,0.0294,0,0
