idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,blocked,pinned
0,DONE_OK,,44,1,0.5394,0.99,0.1522,0.9937,3,2.2745,0.2805,0,0
1,DONE_OK,,3,1,0.0348,1.117,0.1178,0.0067,5,3.7458,0.002,0,0
2,DONE_OK,,50,1,0.5558,0.893,0.1574,1.0318,3,2.2906,0.4186,0,0
3,DONE_OK,,65,1,0.5749,0.95,0.1654,0.0566,3,1.9597,0.0566,0,0
4,DONE_OK,,31,1,0.3954,1.046,0.1585,1.1493,3,2.2824,0.479,0,0
5,DONE_OK,,30,1,0.3515,1.045,0.1543,1.1272,6,2.5166,0.3535,0,0
6,DONE_OK,,20,1,0.3129,1.114,0.1701,0.3737,6,3.3486,0.0,0,0
7,DONE_OK,,25,1,0.2986,1.062,0.1586,-0.0004,6,3.7529,-0.0074,0,0
8,DONE_OK,,45,1,0.5628,1.015,0.154,0.9601,3,2.0662,0.4787,0,0
9,DONE_OK,,17,1,0.2149,1.112,0.1536,0.0961,5,3.6564,0.001,0,0
10,DONE_OK,,33,1,0.4104,1.048,0.1541,1.2252,1,2.4289,0.3442,0,0
11,DONE_OK,,30,1,0.3912,1.116,0.1389,1.1313,3,2.4967,0.3607,0,0
12,DONE_OK,,23,1,0.2775,1.117,0.147,0.3911,5,3.3614,0.0018,0,0
13,DONE_OK,,21,1,0.2639,1.117,0.1518,1.2828,6,2.2904,0.6783,0,0
14,DONE_OK,,32,1,0.4124,1.058,0.162,1.1565,1,2.4047,0.3572,0,0
15,DONE_OK,,10,1,0.1295,1.117,0.155,0.1235,5,3.629,0.0038,0,0
16,DONE_OK,,11,1,0.1386,1.117,0.1433,0.1833,5,3.5692,0.0043,0,0
17,DONE_OK,,10,1,0.1325,1.115,0.1575,0.1052,5,3.6473,0.0045,0,0
18,DONE_OK,,120,1,0.4709,0.688,0.1702,0.7617,5,2.9908,-0.006,0,0
19,DONE_OK,,33,1,0.3854,0.969,0.1496,1.1613,5,2.5912,0.2767,0,0
20,DONE_OK,,27,1,0.3341,1.031,0.1565,1.2488,5,2.5037,0.4315,0,0
21,DONE_OK,,30,1,0.3834,1.117,0.157,1.1505,6,2.3443,0.1042,0,0
22,DONE_OK,,14,1,0.1919,1.098,0.1553,0.17,5,3.5825,0.0021,0,0
23,DONE_OK,,17,1,0.2273,1.117,0.1669,0.5411,5,3.2114,0.0098,0,0
24,DONE_OK,,29,1,0.3201,0.898,0.1569,0.8533,6,2.5008,0.4592,0,0
25,DONE_OK,,49,1,0.6011,1.002,0.1508,0.7365,3,1.3161,0.7365,0,0
