idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,54,1,0.6085,1.066,0.1345,0.6497,6,2.3598,0.0186,38.23,36.43,39.2,37.29,0.004,0,0
1,DONE_OK,,36,1,0.562,1.085,0.1617,-0.0021,3,3.0007,-0.0084,57.4,67.33,67.33,57.28,0.0412,0,0
2,DONE_OK,,66,1,0.5427,1.027,0.1442,0.5589,5,3.1936,0.078,33.52,40.38,42.14,37.88,0.0025,0,0
3,DONE_OK,,54,1,0.6213,0.991,0.1588,0.7809,3,2.0727,0.2341,39.59,39.52,39.75,36.93,0.0222,0,0
4,DONE_OK,,54,1,0.5755,0.914,0.1524,0.936,3,2.2664,0.3014,45.2,44.64,45.42,44.19,0.0015,0,0
5,DONE_OK,,19,1,0.2619,1.126,0.1673,0.6292,5,3.1233,0.0145,54.14,53.04,54.45,53.36,0.0012,0,0
6,DONE_OK,,22,1,0.1636,1.125,0.1623,0.2646,5,3.4879,0.2188,31.55,34.54,34.57,30.99,0.0288,0,0
7,DONE_OK,,40,1,0.2514,1.118,0.1605,-0.0001,6,3.4629,-0.0059,31.81,35.9,35.92,32.48,0.0693,0,0
8,DONE_OK,,16,1,0.2163,1.125,0.1654,0.5221,5,3.2304,0.0107,57.57,57.19,58.05,58.17,0.0072,0,0
9,DONE_OK,,44,1,0.511,0.941,0.1559,0.8049,3,2.1289,0.4116,41.36,39.54,41.59,39.73,0.002,0,0
10,DONE_OK,,45,1,0.6143,1.065,0.1526,0.1222,3,2.1542,0.0245,48.05,45.91,48.22,44.04,0.0232,0,0
11,DONE_OK,,49,1,0.6366,1.024,0.143,0.7899,3,2.2443,0.2479,45.98,45.1,46.18,45.26,0.0021,0,0
12,DONE_OK,,13,1,0.1534,1.122,0.1753,1.0522,5,2.7003,0.7249,43.48,44.03,44.58,43.81,0.0258,0,0
