idx,final,fail_from,tr_steps,grasped_end,path_tail,act_tail,d_end,margin_end,joint_end,q5_end,margin_min_tr,tilt_start,tilt_end,tilt_max,tilt_open,d_open,blocked,pinned
0,DONE_OK,,39,1,0.5076,1.064,0.1632,-0.0002,3,2.275,-0.0091,55.69,50.12,59.12,47.87,0.0234,0,0
1,DONE_OK,,12,1,0.1548,1.125,0.1499,0.327,5,3.4255,0.0109,56.38,58.11,58.11,57.73,0.0287,0,0
2,DONE_OK,,48,1,0.6129,1.031,0.1444,0.5886,3,2.0735,0.2929,44.89,43.04,45.7,41.09,0.0211,0,0
3,DONE_OK,,43,1,0.5191,0.988,0.1553,0.8971,3,2.418,0.3531,51.41,50.96,51.91,50.69,0.0027,0,0
4,DONE_FAIL,RETRACT,36,1,0.6153,1.077,0.1499,-0.0001,1,3.5499,-0.0116,70.16,85.96,85.96,83.69,0.1364,0,0
5,DONE_OK,,56,1,0.5887,0.96,0.1588,0.9622,1,2.3995,0.3475,38.61,33.05,39.73,33.25,0.0325,0,0
6,DONE_OK,,40,1,0.5001,1.039,0.149,0.6149,3,2.1844,0.3648,50.66,49.76,51.64,47.98,0.0198,0,0
7,DONE_OK,,12,1,0.1425,1.126,0.1413,0.2149,5,3.5376,0.0088,48.07,51.71,51.71,50.91,0.0183,0,0
8,DONE_OK,,53,1,0.5674,0.953,0.1632,0.076,3,2.2211,0.076,50.46,44.94,51.64,42.25,0.0237,0,0
9,DONE_OK,,38,1,0.5837,1.088,0.1526,0.1849,3,2.1971,0.0109,71.13,54.64,76.24,52.82,0.026,0,0
10,DONE_OK,,54,1,0.5935,0.971,0.1439,0.1125,3,1.8929,0.0545,58.53,53.86,62.61,52.66,0.043,0,0
11,DONE_OK,,30,1,0.3758,1.025,0.1573,0.9619,3,2.2353,0.6281,42.05,41.03,42.93,40.97,0.0025,0,0
12,DONE_OK,,36,1,0.4858,1.074,0.1526,1.3398,1,1.9945,0.5756,9.0,7.36,9.0,7.27,0.0024,0,0
