episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8999,DONE_OK,155,,0,0,0,tol,0.1039,-0.0491,1.2064
1,1,1,1,0.8327,DONE_OK,203,,0,0,0,tol,0.1047,-0.0479,1.2331
2,1,1,1,0.8956,DONE_OK,131,,0,0,0,tol,0.1002,-0.0496,1.1973
3,1,1,1,0.8973,DONE_OK,260,,0,0,0,timeout,0.0935,-0.0507,1.1869
4,1,1,1,0.8954,DONE_OK,197,,0,0,0,timeout,0.0809,-0.0888,1.1723
5,1,1,1,0.9004,DONE_OK,201,,0,0,0,tol,0.1056,-0.0478,1.3138
6,1,1,1,0.8912,DONE_OK,153,,0,0,0,timeout,0.101,-0.0551,1.2758
7,1,1,1,0.8899,DONE_OK,136,,0,0,0,tol,0.0968,-0.0479,1.3695
8,1,1,1,0.8743,DONE_OK,160,,0,0,0,timeout,0.1075,-0.0613,1.3107
9,1,1,1,0.9107,DONE_OK,194,,0,0,0,tol,0.1064,-0.0476,1.1993
10,1,1,1,0.8972,DONE_OK,171,,0,0,0,tol,0.099,-0.0468,1.1961
11,1,1,1,0.9076,DONE_OK,223,,0,0,0,tol,0.096,-0.0497,1.1921
12,1,1,1,0.8963,DONE_OK,187,,0,0,0,tol,0.0855,-0.0451,1.1883
13,1,1,1,0.911,DONE_OK,187,,0,0,0,tol,0.095,-0.049,1.1937
14,1,0,1,0.907,DONE_FAIL,221,,0,0,0,tol,0.1066,-0.0461,1.1939
15,1,1,1,0.8971,DONE_OK,170,,0,0,0,timeout,0.1031,-0.117,1.2747
16,1,0,1,0.906,DONE_FAIL,184,,0,0,0,tol,0.0922,-0.0462,1.187
17,1,1,1,0.8805,DONE_OK,174,,0,0,0,timeout,0.1033,-0.0533,1.2286
18,1,1,1,0.8982,DONE_OK,223,,0,0,0,timeout,0.0943,-0.1045,1.1789
19,1,1,1,0.9007,DONE_OK,196,,0,0,0,timeout,0.0875,-0.0944,1.1804
20,1,1,1,0.8779,DONE_OK,172,,0,0,0,tol,0.0957,-0.0474,1.19
21,1,1,1,0.9014,DONE_OK,144,,0,0,0,tol,0.0531,-0.0155,1.1937
22,1,1,1,0.8861,DONE_OK,202,,0,0,0,tol,0.0965,-0.0458,1.2532
23,1,1,1,0.878,DONE_OK,185,,0,0,0,tol,0.0849,-0.0467,1.1997
24,1,1,1,0.8909,DONE_OK,94,,0,0,0,tol,0.1424,0.0248,1.2688
25,1,1,1,0.8801,DONE_OK,204,,0,0,0,timeout,0.0898,-0.1372,1.1974
26,1,1,1,0.9094,DONE_OK,164,,0,0,0,tol,0.0754,-0.0392,1.1893
27,1,1,1,0.8966,DONE_OK,175,,0,0,0,tol,0.1008,-0.049,1.203
28,1,1,1,0.8964,DONE_OK,222,,0,0,0,tol,0.0573,-0.0194,1.1899
29,1,1,1,0.8961,DONE_OK,207,,0,0,0,timeout,0.1029,-0.0899,1.2293
30,1,0,0,0.9106,DONE_FAIL,191,,0,0,0,tol,0.0896,-0.0475,1.2686
31,1,1,1,0.896,DONE_OK,203,,0,0,0,timeout,0.0888,-0.1524,1.1785
32,1,1,1,0.8918,DONE_OK,87,,0,0,0,tol,0.0628,0.0301,1.242
33,1,1,1,0.8964,DONE_OK,201,,0,0,0,timeout,0.1008,-0.1358,1.2129
34,1,1,1,0.8977,DONE_OK,192,,0,0,0,tol,0.0976,-0.0491,1.209
35,1,0,1,0.9102,DONE_FAIL,142,,0,0,0,tol,0.1074,-0.0464,1.3074
36,1,1,1,0.8931,DONE_OK,221,,0,0,0,tol,0.0977,-0.0486,1.1926
37,1,0,1,0.908,DONE_FAIL,221,,0,0,0,timeout,0.0901,-0.0823,1.1773
38,1,1,1,0.8985,DONE_OK,158,,0,0,0,tol,0.0928,-0.0476,1.1989
39,1,1,1,0.8965,DONE_OK,133,,0,0,0,tol,0.0543,-0.0191,1.403
