episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,1,0.9044,DONE_FAIL,111,,0,0,0,,0.0,0.0,0.0
1,1,0,0,1.294,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8538,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
3,1,0,0,1.1612,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,1.0023,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,0,1.5253,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8985,DONE_OK,158,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8703,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.9001,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
9,1,0,0,1.3132,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8591,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
11,1,0,0,1.3899,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,1.1243,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8897,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
14,1,0,0,1.2025,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.8965,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8788,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8821,DONE_OK,155,,0,0,0,,0.0,0.0,0.0
18,1,0,0,0.9792,DONE_FAIL,511,,1,0,0,,0.0,0.0,0.0
19,1,1,1,0.8965,DONE_OK,164,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8871,DONE_OK,103,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.854,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
22,1,0,0,1.4069,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,1,0.9063,DONE_FAIL,105,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8907,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8772,DONE_OK,154,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.9091,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8958,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.895,DONE_OK,275,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.8328,DONE_OK,147,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.9051,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.9026,DONE_OK,180,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8784,DONE_OK,98,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.888,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.892,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8901,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
36,1,0,0,1.374,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8843,DONE_OK,192,,0,0,0,,0.0,0.0,0.0
38,1,0,0,1.4296,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8725,DONE_OK,91,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8721,DONE_OK,128,,0,0,0,,0.0,0.0,0.0
41,1,0,0,1.1468,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,1.3301,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,1,0.9063,DONE_FAIL,150,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.904,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.8824,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8967,DONE_OK,163,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8775,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
48,1,0,0,1.1237,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.8942,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
50,1,1,1,0.9245,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
51,1,0,0,1.2935,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
52,1,1,1,0.8851,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
53,1,0,0,1.6035,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
54,1,0,0,1.274,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
55,1,0,0,1.2942,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
56,1,1,1,0.9006,DONE_OK,154,,0,0,0,,0.0,0.0,0.0
57,1,1,1,0.8972,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
58,1,1,1,0.8971,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
59,1,0,1,0.9089,DONE_FAIL,129,,0,0,0,,0.0,0.0,0.0
60,1,1,1,0.8696,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
61,1,1,1,0.8761,DONE_OK,211,,0,0,0,,0.0,0.0,0.0
62,1,1,1,0.8856,DONE_OK,152,,0,0,0,,0.0,0.0,0.0
63,1,0,0,1.1426,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
64,1,0,0,0.6574,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
65,1,1,1,0.9224,DONE_OK,165,,0,0,0,,0.0,0.0,0.0
66,1,0,0,1.37,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
67,1,0,0,1.2611,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
68,1,0,0,0.9715,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
69,1,0,1,0.9151,DONE_FAIL,172,,0,0,0,,0.0,0.0,0.0
70,1,1,1,0.8793,DONE_OK,195,,0,0,0,,0.0,0.0,0.0
71,1,0,0,0.8745,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
72,1,0,0,1.4451,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
73,1,1,1,0.8764,DONE_OK,124,,0,0,0,,0.0,0.0,0.0
74,1,1,1,0.8789,DONE_OK,249,,0,0,0,,0.0,0.0,0.0
75,1,0,0,1.3189,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
76,1,1,1,0.8854,DONE_OK,164,,0,0,0,,0.0,0.0,0.0
77,1,1,1,0.8957,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
78,1,0,0,1.3017,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
79,1,1,1,0.9072,DONE_OK,100,,0,0,0,,0.0,0.0,0.0
80,1,0,0,1.3785,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
81,1,1,1,0.9109,DONE_OK,120,,0,0,0,,0.0,0.0,0.0
82,1,1,1,0.8954,DONE_OK,115,,0,0,0,,0.0,0.0,0.0
83,1,0,0,1.336,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
84,1,1,1,0.8987,DONE_OK,171,,0,0,0,,0.0,0.0,0.0
85,1,1,1,0.8781,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
86,1,1,1,0.8952,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
87,1,0,0,1.2501,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
88,1,1,1,0.8645,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
89,1,0,0,1.024,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
90,1,1,1,0.8698,DONE_OK,148,,0,0,0,,0.0,0.0,0.0
91,1,1,1,0.8828,DONE_OK,93,,0,0,0,,0.0,0.0,0.0
92,1,1,1,0.8832,DONE_OK,152,,0,0,0,,0.0,0.0,0.0
93,1,0,0,1.3008,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
94,1,0,0,1.2987,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
95,1,0,0,1.1619,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
96,1,1,1,0.9142,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
97,1,1,1,0.8909,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
