episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.832,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
1,1,1,1,0.907,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8698,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8952,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.872,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.895,DONE_OK,132,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8974,DONE_OK,155,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8834,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8703,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.895,DONE_OK,155,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8707,DONE_OK,115,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8714,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
12,1,1,1,0.8842,DONE_OK,103,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8853,DONE_OK,110,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.895,DONE_OK,168,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.9091,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8738,DONE_OK,151,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8712,DONE_OK,120,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.8625,DONE_OK,135,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8956,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8413,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8864,DONE_OK,110,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.9025,DONE_OK,120,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8692,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.9035,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8795,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8557,DONE_OK,139,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8927,DONE_OK,110,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8715,DONE_OK,169,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.8878,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
30,1,0,1,0.905,DONE_FAIL,128,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.8796,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8784,DONE_OK,153,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8777,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8679,DONE_OK,115,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8592,DONE_OK,93,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8849,DONE_OK,106,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8792,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
38,1,1,1,0.8798,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8791,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8707,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.8951,DONE_OK,156,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8781,DONE_OK,157,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.8764,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.8956,DONE_OK,160,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.8932,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8889,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.9254,DONE_OK,154,,0,0,0,,0.0,0.0,0.0
48,1,0,0,0.8853,DONE_FAIL,184,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.8326,DONE_OK,135,,0,0,0,,0.0,0.0,0.0
50,1,1,1,0.835,DONE_OK,186,,0,0,0,,0.0,0.0,0.0
51,1,1,1,0.8975,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
52,1,1,1,0.8733,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
53,1,1,1,0.8785,DONE_OK,183,,0,0,0,,0.0,0.0,0.0
54,1,1,1,0.8895,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
55,1,1,1,0.8944,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
56,1,1,1,0.8698,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
57,1,1,1,0.8847,DONE_OK,128,,0,0,0,,0.0,0.0,0.0
58,1,1,1,0.8929,DONE_OK,173,,0,0,0,,0.0,0.0,0.0
59,1,1,1,0.8992,DONE_OK,119,,0,0,0,,0.0,0.0,0.0
60,1,1,1,0.8787,DONE_OK,156,,0,0,0,,0.0,0.0,0.0
61,1,1,1,0.9058,DONE_OK,168,,0,0,0,,0.0,0.0,0.0
62,1,1,1,0.8959,DONE_OK,163,,0,0,0,,0.0,0.0,0.0
63,1,0,1,0.9003,DONE_FAIL,109,,0,0,0,,0.0,0.0,0.0
64,1,1,1,0.8755,DONE_OK,120,,0,0,0,,0.0,0.0,0.0
65,1,0,1,0.9044,DONE_FAIL,129,,0,0,0,,0.0,0.0,0.0
66,1,1,1,0.8707,DONE_OK,132,,0,0,0,,0.0,0.0,0.0
67,1,1,1,0.8672,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
68,1,1,1,0.8713,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
69,1,1,1,0.8665,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
70,1,1,1,0.8318,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
71,1,1,1,0.8694,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
72,1,0,1,0.9064,DONE_FAIL,170,,0,0,0,,0.0,0.0,0.0
73,1,1,1,0.891,DONE_OK,135,,0,0,0,,0.0,0.0,0.0
74,1,1,1,0.8786,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
75,1,1,1,0.8862,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
76,1,1,1,0.8935,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
77,1,1,1,0.8266,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
78,1,1,1,0.8711,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
79,1,1,1,0.8823,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
80,1,1,1,0.8707,DONE_OK,97,,0,0,0,,0.0,0.0,0.0
81,1,1,1,0.8698,DONE_OK,166,,0,0,0,,0.0,0.0,0.0
82,1,1,1,0.872,DONE_OK,192,,0,0,0,,0.0,0.0,0.0
83,1,1,1,0.9912,DONE_OK,149,,0,0,0,,0.0,0.0,0.0
84,1,1,1,0.8821,DONE_OK,124,,0,0,0,,0.0,0.0,0.0
85,1,1,1,0.8858,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
86,1,1,1,0.8719,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
87,1,1,1,0.9094,DONE_OK,176,,0,0,0,,0.0,0.0,0.0
88,1,1,1,0.8847,DONE_OK,183,,0,0,0,,0.0,0.0,0.0
89,1,1,1,0.8957,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
90,1,1,1,0.8962,DONE_OK,124,,0,0,0,,0.0,0.0,0.0
91,1,1,1,0.8747,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
92,1,0,1,0.9322,DONE_FAIL,173,,0,0,0,,0.0,0.0,0.0
93,1,1,1,0.8723,DONE_OK,197,,0,0,0,,0.0,0.0,0.0
94,1,1,1,0.8847,DONE_OK,139,,0,0,0,,0.0,0.0,0.0
95,1,1,1,0.8528,DONE_OK,97,,0,0,0,,0.0,0.0,0.0
96,1,1,1,0.8822,DONE_OK,186,,0,0,0,,0.0,0.0,0.0
97,1,1,1,0.9089,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
98,1,0,1,0.9061,DONE_FAIL,134,,0,0,0,,0.0,0.0,0.0
99,1,1,1,0.8938,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
