episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8811,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
1,1,0,0,0.6801,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,0,1,0.9076,DONE_FAIL,169,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8737,DONE_OK,160,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8579,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.8792,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8589,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8611,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
8,1,0,0,0.9552,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8761,DONE_OK,101,,0,0,0,,0.0,0.0,0.0
10,1,0,1,0.9071,DONE_FAIL,157,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8754,DONE_OK,105,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.8446,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8711,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.9174,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.8736,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8729,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
17,1,0,0,1.3251,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.8702,DONE_OK,186,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8805,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8717,DONE_OK,110,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8748,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8438,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
23,1,0,0,0.791,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8539,DONE_OK,81,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8746,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8863,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8733,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
28,1,0,0,0.9264,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.835,DONE_OK,180,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8789,DONE_OK,148,,0,0,0,,0.0,0.0,0.0
31,1,0,0,0.7379,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8715,DONE_OK,132,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8807,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8945,DONE_OK,186,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8954,DONE_OK,154,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8664,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8424,DONE_OK,88,,0,0,0,,0.0,0.0,0.0
38,1,0,0,0.7834,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8934,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8818,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
41,1,0,0,1.7539,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,0.9235,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.8894,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
