episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8924,DONE_OK,187,,0,0,0,,0.0,0.0,0.0
1,1,0,1,0.9086,DONE_FAIL,151,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8919,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
3,1,0,0,1.0825,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,1.0928,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,0,1.2532,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8936,DONE_OK,147,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8785,DONE_OK,196,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8344,DONE_OK,215,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8789,DONE_OK,180,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8934,DONE_OK,148,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.916,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
12,1,0,0,1.0551,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8745,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
14,1,0,0,1.176,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.906,DONE_OK,202,,0,0,0,,0.0,0.0,0.0
16,1,0,0,1.6531,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8815,DONE_OK,164,,0,0,0,,0.0,0.0,0.0
18,1,0,0,0.9769,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.895,DONE_OK,209,,0,0,0,,0.0,0.0,0.0
20,1,0,0,1.7843,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8963,DONE_OK,145,,0,0,0,,0.0,0.0,0.0
22,1,0,0,1.4056,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,0,0,1.6205,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8985,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8812,DONE_OK,177,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.9061,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8875,DONE_OK,192,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8952,DONE_OK,149,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.8594,DONE_OK,197,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.9045,DONE_OK,186,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.9093,DONE_OK,214,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8795,DONE_OK,105,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8994,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8954,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.9045,DONE_OK,177,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8854,DONE_OK,132,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8819,DONE_OK,409,,1,0,0,,0.0,0.0,0.0
38,1,0,0,1.4278,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8741,DONE_OK,254,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.874,DONE_OK,162,,0,0,0,,0.0,0.0,0.0
41,1,0,0,1.0505,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,1.3636,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.9034,DONE_OK,190,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.8958,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.8844,DONE_OK,158,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8964,DONE_OK,157,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8778,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
48,1,0,0,1.0654,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.878,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
50,1,1,1,0.8903,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
51,1,1,1,0.8683,DONE_OK,193,,0,0,0,,0.0,0.0,0.0
52,1,1,1,0.83,DONE_OK,179,,0,0,0,,0.0,0.0,0.0
53,1,0,0,1.9569,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
54,1,1,1,0.8604,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
55,1,0,0,1.3309,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
56,1,1,1,0.9155,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
57,1,0,0,0.9775,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
58,1,0,0,1.6516,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
59,1,1,1,0.889,DONE_OK,183,,0,0,0,,0.0,0.0,0.0
60,1,1,1,0.8877,DONE_OK,182,,0,0,0,,0.0,0.0,0.0
61,1,0,0,0.9788,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
62,1,1,1,0.8309,DONE_OK,145,,0,0,0,,0.0,0.0,0.0
63,1,0,0,1.0722,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
64,1,0,0,1.8628,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
65,1,1,1,0.9106,DONE_OK,162,,0,0,0,,0.0,0.0,0.0
66,1,1,1,0.8684,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
67,1,1,1,0.8429,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
68,1,1,1,0.9107,DONE_OK,163,,0,0,0,,0.0,0.0,0.0
69,1,1,1,0.8754,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
70,1,1,1,0.8782,DONE_OK,270,,0,0,0,,0.0,0.0,0.0
71,1,0,0,0.9744,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
72,1,0,0,1.454,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
73,1,1,1,0.8818,DONE_OK,180,,0,0,0,,0.0,0.0,0.0
74,1,1,1,0.9015,DONE_OK,279,,0,0,0,,0.0,0.0,0.0
75,1,0,0,1.3425,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
76,1,1,1,0.8968,DONE_OK,175,,0,0,0,,0.0,0.0,0.0
77,1,1,1,0.8705,DONE_OK,155,,0,0,0,,0.0,0.0,0.0
78,1,1,1,0.8744,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
79,1,1,1,0.9022,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
80,1,1,1,0.8296,DONE_OK,231,,0,0,0,,0.0,0.0,0.0
81,1,1,1,0.9034,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
82,1,1,1,0.8727,DONE_OK,192,,0,0,0,,0.0,0.0,0.0
83,1,0,0,1.3523,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
84,1,1,1,0.8969,DONE_OK,166,,0,0,0,,0.0,0.0,0.0
85,1,1,1,0.8771,DONE_OK,135,,0,0,0,,0.0,0.0,0.0
86,1,1,1,0.8989,DONE_OK,145,,0,0,0,,0.0,0.0,0.0
87,1,1,1,0.9195,DONE_OK,154,,0,0,0,,0.0,0.0,0.0
88,1,1,1,0.8338,DONE_OK,183,,0,0,0,,0.0,0.0,0.0
89,1,1,1,0.8891,DONE_OK,158,,0,0,0,,0.0,0.0,0.0
90,1,1,1,0.8784,DONE_OK,364,,0,0,0,,0.0,0.0,0.0
91,1,1,1,0.8857,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
92,1,0,0,1.2517,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
93,1,1,1,0.8444,DONE_OK,192,,0,0,0,,0.0,0.0,0.0
94,1,0,0,1.3276,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
95,1,1,1,0.8722,DONE_OK,198,,0,0,0,,0.0,0.0,0.0
96,1,0,0,0.9916,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
97,1,0,0,1.8468,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
98,1,0,0,1.8754,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
99,1,1,1,0.8333,DONE_OK,178,,0,0,0,,0.0,0.0,0.0
