episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8704,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
1,1,1,1,0.8722,DONE_OK,253,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8704,DONE_OK,185,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8959,DONE_OK,149,,0,0,0,,0.0,0.0,0.0
4,1,0,0,0.896,DONE_FAIL,221,,0,0,0,,0.0,0.0,0.0
5,1,0,1,0.9043,DONE_FAIL,176,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8833,DONE_OK,147,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.887,DONE_OK,167,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8709,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8992,DONE_OK,166,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8281,DONE_OK,195,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8959,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
12,1,1,1,0.8811,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8706,DONE_OK,106,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.8875,DONE_OK,149,,0,0,0,,0.0,0.0,0.0
15,1,0,0,2.1083,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.881,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8843,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.9095,DONE_OK,145,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.87,DONE_OK,208,,0,0,0,,0.0,0.0,0.0
20,1,0,1,0.9165,DONE_FAIL,229,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.87,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8879,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
23,1,0,1,0.872,DONE_FAIL,234,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8876,DONE_OK,169,,0,0,0,,0.0,0.0,0.0
25,1,0,1,0.9038,DONE_FAIL,240,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.4181,DONE_FAIL,249,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8709,DONE_OK,191,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8929,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.9114,DONE_OK,148,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8714,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.8878,DONE_OK,201,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8312,DONE_OK,139,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8815,DONE_OK,235,,0,0,0,,0.0,0.0,0.0
34,1,0,0,2.0232,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8699,DONE_OK,193,,0,0,0,,0.0,0.0,0.0
36,1,0,0,0.9156,DONE_FAIL,253,,0,0,0,,0.0,0.0,0.0
37,1,0,1,0.9004,DONE_FAIL,213,,0,0,0,,0.0,0.0,0.0
38,1,1,1,0.8866,DONE_OK,171,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8864,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8933,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.8716,DONE_OK,184,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.871,DONE_OK,280,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.8728,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.9314,DONE_OK,157,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.8603,DONE_OK,216,,0,0,0,,0.0,0.0,0.0
46,1,0,0,0.8824,DONE_FAIL,237,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8814,DONE_OK,181,,0,0,0,,0.0,0.0,0.0
48,1,0,1,0.9173,DONE_FAIL,170,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.8951,DONE_OK,208,,0,0,0,,0.0,0.0,0.0
50,1,1,1,0.8987,DONE_OK,159,,0,0,0,,0.0,0.0,0.0
51,1,1,1,0.8722,DONE_OK,171,,0,0,0,,0.0,0.0,0.0
52,1,1,1,0.88,DONE_OK,190,,0,0,0,,0.0,0.0,0.0
53,1,0,0,0.1025,DONE_FAIL,285,,0,0,0,,0.0,0.0,0.0
54,1,1,1,0.9053,DONE_OK,197,,0,0,0,,0.0,0.0,0.0
55,1,1,1,0.8919,DONE_OK,166,,0,0,0,,0.0,0.0,0.0
56,1,1,1,0.9624,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
57,1,0,1,0.9072,DONE_FAIL,194,,0,0,0,,0.0,0.0,0.0
58,1,1,1,0.835,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
59,1,1,1,0.875,DONE_OK,196,,0,0,0,,0.0,0.0,0.0
60,1,1,1,0.8845,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
61,1,1,1,0.8903,DONE_OK,241,,0,0,0,,0.0,0.0,0.0
62,1,0,0,1.3208,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
63,1,1,1,0.8709,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
64,1,1,1,0.8905,DONE_OK,154,,0,0,0,,0.0,0.0,0.0
65,1,0,1,0.9056,DONE_FAIL,264,,0,0,0,,0.0,0.0,0.0
66,1,1,1,0.8443,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
67,1,1,1,0.8967,DONE_OK,191,,0,0,0,,0.0,0.0,0.0
68,1,1,1,0.8573,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
69,1,1,1,0.8716,DONE_OK,202,,0,0,0,,0.0,0.0,0.0
70,1,1,1,0.9087,DONE_OK,163,,0,0,0,,0.0,0.0,0.0
71,1,1,1,0.8707,DONE_OK,156,,0,0,0,,0.0,0.0,0.0
72,1,1,1,0.8952,DONE_OK,145,,0,0,0,,0.0,0.0,0.0
73,1,1,1,0.8711,DONE_OK,187,,0,0,0,,0.0,0.0,0.0
74,1,1,1,0.8381,DONE_OK,287,,0,0,0,,0.0,0.0,0.0
75,1,1,1,0.8495,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
76,1,1,1,0.8691,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
77,1,1,1,0.8888,DONE_OK,201,,0,0,0,,0.0,0.0,0.0
78,1,1,1,0.87,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
