episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,1.836,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,0,0,1.8258,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.901,DONE_OK,168,,0,0,0,,0.0,0.0,0.0
3,1,0,0,1.8876,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,0.898,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
5,1,0,0,1.5065,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
6,1,0,0,0.9706,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,0,0.8881,DONE_FAIL,195,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8722,DONE_OK,264,,0,0,0,,0.0,0.0,0.0
9,1,0,0,1.5387,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,0,0,2.1603,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
11,1,0,0,1.8376,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,1.7567,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
13,1,0,0,1.7876,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,0,1.1999,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,0,0,1.8645,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,0,0,1.6832,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,0,1.8017,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,0,1.9068,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,0,0,1.6921,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,1.5423,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.915,DONE_FAIL,254,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8747,DONE_OK,163,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.9092,DONE_OK,142,,0,0,0,,0.0,0.0,0.0
24,1,0,0,2.1228,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,0,0,1.9766,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8944,DONE_OK,333,,0,0,0,,0.0,0.0,0.0
27,1,0,0,1.1771,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,0,1.7373,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,0,1,0.904,DONE_FAIL,175,,0,0,0,,0.0,0.0,0.0
30,1,0,0,1.6304,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
31,1,0,0,1.2305,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.894,DONE_OK,183,,0,0,0,,0.0,0.0,0.0
33,1,0,0,1.7515,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,0,0,2.0243,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
35,1,0,0,1.2875,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,0,1.9006,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,0,1.6023,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,0,1.5416,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8347,DONE_OK,173,,0,0,0,,0.0,0.0,0.0
40,1,0,1,0.9055,DONE_FAIL,228,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.862,DONE_OK,177,,0,0,0,,0.0,0.0,0.0
42,1,0,0,1.2868,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,0,1.6354,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,0,0,1.8224,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,0,1.4877,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,0,0,1.2881,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
47,1,0,0,1.9627,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
48,1,0,0,0.015,DONE_FAIL,501,,1,0,0,,0.0,0.0,0.0
49,1,0,0,1.7786,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
