episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8605,DONE_OK,165,,0,0,0,,0.0,0.0,0.0
1,1,1,1,0.872,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8784,DONE_OK,145,,0,0,0,,0.0,0.0,0.0
3,1,1,1,0.8685,DONE_OK,152,,1,0,0,,0.0,0.0,0.0
4,1,0,0,0.9151,DONE_FAIL,160,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.8441,DONE_OK,138,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8597,DONE_OK,110,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8718,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8809,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.869,DONE_OK,112,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.8836,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8929,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.0736,DONE_FAIL,200,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8829,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.8774,DONE_OK,152,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.89,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
16,1,1,1,0.8811,DONE_OK,169,,0,0,0,,0.0,0.0,0.0
17,1,0,1,0.907,DONE_FAIL,153,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.8984,DONE_OK,201,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8775,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8672,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8715,DONE_OK,100,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8718,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.8735,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.88,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8968,DONE_OK,165,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8928,DONE_OK,97,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8803,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8809,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.891,DONE_OK,203,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8797,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.8706,DONE_OK,120,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.8906,DONE_OK,172,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.872,DONE_OK,176,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8883,DONE_OK,127,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.896,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8865,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8335,DONE_OK,121,,0,0,0,,0.0,0.0,0.0
38,1,1,1,0.8684,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8703,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.9026,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.8862,DONE_OK,104,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8902,DONE_OK,119,,0,0,0,,0.0,0.0,0.0
43,1,1,1,0.892,DONE_OK,169,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.8967,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
45,1,0,1,0.9085,DONE_FAIL,161,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8971,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
47,1,1,1,0.8829,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
48,1,1,1,0.8842,DONE_OK,134,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.888,DONE_OK,136,,0,0,0,,0.0,0.0,0.0
