episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,1.4853,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,1,1,0.8991,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
2,1,1,1,0.8537,DONE_OK,195,,0,0,0,,0.0,0.0,0.0
3,1,0,1,0.9073,DONE_FAIL,141,,0,0,0,,0.0,0.0,0.0
4,1,1,1,0.8709,DONE_OK,140,,0,0,0,,0.0,0.0,0.0
5,1,1,1,0.8709,DONE_OK,129,,0,0,0,,0.0,0.0,0.0
6,1,1,1,0.8957,DONE_OK,103,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8869,DONE_OK,149,,0,0,0,,0.0,0.0,0.0
8,1,1,1,0.8812,DONE_OK,130,,0,0,0,,0.0,0.0,0.0
9,1,1,1,0.8678,DONE_OK,167,,0,0,0,,0.0,0.0,0.0
10,1,1,1,0.832,DONE_OK,171,,0,0,0,,0.0,0.0,0.0
11,1,1,1,0.8765,DONE_OK,146,,0,0,0,,0.0,0.0,0.0
12,1,1,1,0.8877,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
13,1,1,1,0.8736,DONE_OK,98,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.8407,DONE_OK,122,,0,0,0,,0.0,0.0,0.0
15,1,1,1,0.8952,DONE_OK,112,,0,0,0,,0.0,0.0,0.0
16,1,0,0,0.015,DONE_FAIL,490,,1,0,0,,0.0,0.0,0.0
17,1,1,1,0.8594,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
18,1,1,1,0.8561,DONE_OK,151,,0,0,0,,0.0,0.0,0.0
19,1,1,1,0.8794,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
20,1,1,1,0.8743,DONE_OK,124,,0,0,0,,0.0,0.0,0.0
21,1,1,1,0.8853,DONE_OK,149,,0,0,0,,0.0,0.0,0.0
22,1,1,1,0.8803,DONE_OK,141,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.871,DONE_OK,161,,0,0,0,,0.0,0.0,0.0
24,1,1,1,0.8461,DONE_OK,150,,0,0,0,,0.0,0.0,0.0
25,1,1,1,0.8768,DONE_OK,101,,0,0,0,,0.0,0.0,0.0
26,1,0,1,0.906,DONE_FAIL,147,,0,0,0,,0.0,0.0,0.0
27,1,1,1,0.8712,DONE_OK,198,,0,0,0,,0.0,0.0,0.0
28,1,1,1,0.8716,DONE_OK,198,,0,0,0,,0.0,0.0,0.0
29,1,1,1,0.8862,DONE_OK,117,,0,0,0,,0.0,0.0,0.0
30,1,1,1,0.8871,DONE_OK,128,,0,0,0,,0.0,0.0,0.0
31,1,1,1,0.8718,DONE_OK,128,,0,0,0,,0.0,0.0,0.0
32,1,1,1,0.861,DONE_OK,139,,0,0,0,,0.0,0.0,0.0
33,1,1,1,0.8979,DONE_OK,119,,0,0,0,,0.0,0.0,0.0
34,1,1,1,0.8702,DONE_OK,133,,0,0,0,,0.0,0.0,0.0
35,1,1,1,0.8705,DONE_OK,144,,0,0,0,,0.0,0.0,0.0
36,1,1,1,0.8964,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
37,1,1,1,0.8722,DONE_OK,126,,0,0,0,,0.0,0.0,0.0
38,1,1,1,0.8993,DONE_OK,184,,0,0,0,,0.0,0.0,0.0
39,1,1,1,0.8783,DONE_OK,107,,0,0,0,,0.0,0.0,0.0
40,1,0,1,0.915,DONE_FAIL,207,,0,0,0,,0.0,0.0,0.0
41,1,1,1,0.8973,DONE_OK,179,,0,0,0,,0.0,0.0,0.0
42,1,1,1,0.8349,DONE_OK,165,,0,0,0,,0.0,0.0,0.0
43,1,0,1,0.915,DONE_FAIL,190,,0,0,0,,0.0,0.0,0.0
44,1,1,1,0.8693,DONE_OK,174,,0,0,0,,0.0,0.0,0.0
45,1,1,1,0.895,DONE_OK,131,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8953,DONE_OK,170,,0,0,0,,0.0,0.0,0.0
47,1,0,0,1.803,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
48,1,1,1,0.8751,DONE_OK,118,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.8703,DONE_OK,137,,0,0,0,,0.0,0.0,0.0
