episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,1,1,0.8718,DONE_OK,84,,0,0,0,,0.0,0.0,0.0
1,1,0,0,0.915,DONE_FAIL,358,,1,0,0,,0.0,0.0,0.0
2,1,1,1,0.87,DONE_OK,467,,1,0,0,,0.0,0.0,0.0
3,1,0,0,0.897,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,0.915,DONE_FAIL,327,,1,0,0,,0.0,0.0,0.0
5,1,0,0,0.8946,DONE_FAIL,533,,2,0,0,,0.0,0.0,0.0
6,1,1,1,0.8716,DONE_OK,69,,0,0,0,,0.0,0.0,0.0
7,1,1,1,0.8963,DONE_OK,180,,1,0,0,,0.0,0.0,0.0
8,1,0,0,0.9151,DONE_FAIL,343,,1,0,0,,0.0,0.0,0.0
9,1,0,0,0.8351,DONE_FAIL,439,,1,0,0,,0.0,0.0,0.0
10,1,1,1,0.8972,DONE_OK,204,,1,0,0,,0.0,0.0,0.0
11,1,1,1,0.879,DONE_OK,518,,2,0,0,,0.0,0.0,0.0
12,1,0,0,0.8976,DONE_FAIL,405,,2,0,0,,0.0,0.0,0.0
13,1,1,1,0.8719,DONE_OK,77,,0,0,0,,0.0,0.0,0.0
14,1,1,1,0.8983,DONE_OK,211,,1,0,0,,0.0,0.0,0.0
15,1,0,1,0.901,DONE_FAIL,248,,1,0,0,,0.0,0.0,0.0
16,1,0,0,0.8958,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,1,1,0.8965,DONE_OK,112,,0,0,0,,0.0,0.0,0.0
18,1,0,0,0.8954,DONE_FAIL,172,,1,0,0,,0.0,0.0,0.0
19,1,0,0,0.8983,DONE_FAIL,455,,2,0,0,,0.0,0.0,0.0
20,1,1,1,0.8944,DONE_OK,113,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.8351,DONE_FAIL,300,,1,0,0,,0.0,0.0,0.0
22,1,1,1,0.8799,DONE_OK,387,,2,0,0,,0.0,0.0,0.0
23,1,0,0,0.8854,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
24,1,0,0,0.015,DONE_FAIL,295,,1,0,0,,0.0,0.0,0.0
25,1,0,0,0.8967,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,1,1,0.8896,DONE_OK,178,,1,0,0,,0.0,0.0,0.0
27,1,0,0,0.8351,DONE_FAIL,290,,1,0,0,,0.0,0.0,0.0
28,1,1,1,0.8955,DONE_OK,86,,0,0,0,,0.0,0.0,0.0
29,1,0,1,0.9038,DONE_FAIL,206,,1,0,0,,0.0,0.0,0.0
30,1,1,1,0.8932,DONE_OK,108,,0,0,0,,0.0,0.0,0.0
31,1,0,0,0.8911,DONE_FAIL,315,,1,0,0,,0.0,0.0,0.0
32,1,0,0,0.8935,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
33,1,0,0,0.8908,DONE_FAIL,256,,2,0,0,,0.0,0.0,0.0
34,1,0,0,0.8351,DONE_FAIL,80,,0,0,0,,0.0,0.0,0.0
35,1,0,0,0.8989,DONE_FAIL,470,,2,0,0,,0.0,0.0,0.0
36,1,0,0,0.915,DONE_FAIL,302,,1,0,0,,0.0,0.0,0.0
37,1,0,0,0.8988,DONE_FAIL,300,,1,0,0,,0.0,0.0,0.0
38,1,0,0,0.015,DONE_FAIL,416,,2,0,0,,0.0,0.0,0.0
39,1,0,0,0.8917,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
40,1,1,1,0.8841,DONE_OK,197,,1,0,0,,0.0,0.0,0.0
41,1,0,0,0.015,DONE_FAIL,276,,1,0,0,,0.0,0.0,0.0
42,1,0,0,0.015,DONE_FAIL,510,,2,0,0,,0.0,0.0,0.0
43,1,1,1,0.8909,DONE_OK,112,,0,0,0,,0.0,0.0,0.0
44,1,0,0,0.015,DONE_FAIL,311,,1,0,0,,0.0,0.0,0.0
45,1,0,0,0.835,DONE_FAIL,505,,1,0,0,,0.0,0.0,0.0
46,1,1,1,0.87,DONE_OK,214,,1,0,0,,0.0,0.0,0.0
47,1,0,0,0.8953,DONE_FAIL,95,,0,0,0,,0.0,0.0,0.0
48,1,1,1,0.8992,DONE_OK,125,,0,0,0,,0.0,0.0,0.0
49,1,1,1,0.8917,DONE_OK,223,,1,0,0,,0.0,0.0,0.0
