episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,0,0.879,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,0,0,0.015,DONE_FAIL,387,,1,0,0,,0.0,0.0,0.0
2,1,0,0,0.05,DONE_FAIL,439,,1,0,0,,0.0,0.0,0.0
3,1,0,0,0.8857,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
4,1,0,0,0.015,DONE_FAIL,440,,1,0,0,,0.0,0.0,0.0
5,1,0,0,0.0749,DONE_FAIL,478,,1,0,0,,0.0,0.0,0.0
6,1,0,0,1.0394,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
7,1,0,0,1.6294,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
8,1,0,0,0.8849,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
9,1,0,0,0.967,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
10,1,0,0,0.87,DONE_FAIL,454,,1,0,0,,0.0,0.0,0.0
11,1,0,0,0.9469,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
12,1,0,0,0.015,DONE_FAIL,507,,1,0,0,,0.0,0.0,0.0
13,1,0,0,0.8719,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
14,1,0,0,0.9542,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
15,1,0,0,0.9038,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
16,1,0,0,0.94,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
17,1,0,0,0.9836,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
18,1,0,0,1.645,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,0,0,0.997,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
20,1,0,0,1.2981,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,0,0,0.015,DONE_FAIL,362,,1,0,0,,0.0,0.0,0.0
22,1,0,0,1.6669,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
23,1,1,1,0.875,DONE_OK,120,,0,0,0,,0.0,0.0,0.0
24,1,0,0,0.015,DONE_FAIL,482,,1,0,0,,0.0,0.0,0.0
25,1,0,0,0.8692,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
26,1,0,0,0.9868,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
27,1,0,0,1.7106,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,0,0.015,DONE_FAIL,442,,1,0,0,,0.0,0.0,0.0
29,1,0,0,0.015,DONE_FAIL,572,,2,0,0,,0.0,0.0,0.0
30,1,0,0,0.8997,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
31,1,0,0,0.015,DONE_FAIL,536,,2,0,0,,0.0,0.0,0.0
32,1,0,0,0.015,DONE_FAIL,500,,1,0,0,,0.0,0.0,0.0
33,1,0,0,0.8554,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
34,1,0,0,0.9094,DONE_FAIL,394,,1,0,0,,0.0,0.0,0.0
35,1,0,0,0.9019,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
36,1,0,0,0.9407,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
37,1,0,0,0.8999,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
38,1,0,0,0.015,DONE_FAIL,528,,1,0,0,,0.0,0.0,0.0
39,1,0,0,0.9661,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
40,1,0,0,0.015,DONE_FAIL,461,,1,0,0,,0.0,0.0,0.0
41,1,0,0,1.9887,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
42,1,0,0,0.8862,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
43,1,0,0,0.9179,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
44,1,0,0,0.9461,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,0,0,0.8714,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
46,1,1,1,0.8762,DONE_OK,123,,0,0,0,,0.0,0.0,0.0
47,1,0,0,0.05,DONE_FAIL,542,,1,0,0,,0.0,0.0,0.0
48,1,0,0,0.9645,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
49,1,0,0,0.05,DONE_FAIL,416,,1,0,0,,0.0,0.0,0.0
