episode,attempts,success,rested,rest_z,phase,steps,tag,regrasps,unjams,pose_rejects,stage_exit,stage_x,stage_y,stage_z
0,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
1,1,1,,,DONE_OK,105,,0,0,0,,0.0,0.0,0.0
2,1,1,,,DONE_OK,114,,0,0,0,,0.0,0.0,0.0
3,1,1,,,DONE_OK,207,,1,0,0,,0.0,0.0,0.0
4,1,1,,,DONE_OK,84,,0,0,0,,0.0,0.0,0.0
5,1,1,,,DONE_OK,83,,0,0,0,,0.0,0.0,0.0
6,1,1,,,DONE_OK,104,,0,0,0,,0.0,0.0,0.0
7,1,1,,,DONE_OK,89,,0,0,0,,0.0,0.0,0.0
8,1,1,,,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
9,1,1,,,DONE_OK,82,,0,0,0,,0.0,0.0,0.0
10,1,1,,,DONE_OK,242,,0,0,0,,0.0,0.0,0.0
11,1,1,,,DONE_OK,83,,0,0,0,,0.0,0.0,0.0
12,1,1,,,DONE_OK,321,,0,0,0,,0.0,0.0,0.0
13,1,1,,,DONE_OK,105,,0,0,0,,0.0,0.0,0.0
14,1,1,,,DONE_OK,102,,0,0,0,,0.0,0.0,0.0
15,1,1,,,DONE_OK,227,,0,0,0,,0.0,0.0,0.0
16,1,1,,,DONE_OK,115,,0,0,0,,0.0,0.0,0.0
17,1,1,,,DONE_OK,109,,0,0,0,,0.0,0.0,0.0
18,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
19,1,1,,,DONE_OK,92,,0,0,0,,0.0,0.0,0.0
20,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
21,1,1,,,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
22,1,1,,,DONE_OK,114,,0,0,0,,0.0,0.0,0.0
23,1,1,,,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
24,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
25,1,1,,,DONE_OK,97,,0,0,0,,0.0,0.0,0.0
26,1,1,,,DONE_OK,84,,0,0,0,,0.0,0.0,0.0
27,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
28,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
29,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
30,1,1,,,DONE_OK,114,,0,0,0,,0.0,0.0,0.0
31,1,1,,,DONE_OK,85,,0,0,0,,0.0,0.0,0.0
32,1,1,,,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
33,1,1,,,DONE_OK,91,,0,0,0,,0.0,0.0,0.0
34,1,1,,,DONE_OK,143,,0,0,0,,0.0,0.0,0.0
35,2,1,,,DONE_OK,107,,0,0,0,,0.0,0.0,0.0
36,1,1,,,DONE_OK,97,,0,0,0,,0.0,0.0,0.0
37,1,1,,,DONE_OK,95,,0,0,0,,0.0,0.0,0.0
38,1,0,,,DONE_FAIL,285,,1,0,0,,0.0,0.0,0.0
39,1,1,,,DONE_OK,83,,0,0,0,,0.0,0.0,0.0
40,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
41,1,1,,,DONE_OK,86,,0,0,0,,0.0,0.0,0.0
42,1,1,,,DONE_OK,111,,0,0,0,,0.0,0.0,0.0
43,1,1,,,DONE_OK,87,,0,0,0,,0.0,0.0,0.0
44,1,0,,,DONE_FAIL,300,,0,0,0,,0.0,0.0,0.0
45,1,1,,,DONE_OK,88,,0,0,0,,0.0,0.0,0.0
46,1,1,,,DONE_OK,94,,0,0,0,,0.0,0.0,0.0
47,1,1,,,DONE_OK,46,,0,0,0,,0.0,0.0,0.0
48,1,1,,,DONE_OK,96,,0,0,0,,0.0,0.0,0.0
49,1,1,,,DONE_OK,115,,0,0,0,,0.0,0.0,0.0
