episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,104,fixA_fp32
1,1,1,DONE_OK,88,fixA_fp32
2,1,1,DONE_OK,88,fixA_fp32
3,1,1,DONE_OK,88,fixA_fp32
4,1,1,DONE_OK,109,fixA_fp32
5,1,1,DONE_OK,83,fixA_fp32
6,1,1,DONE_OK,141,fixA_fp32
7,1,1,DONE_OK,114,fixA_fp32
8,1,1,DONE_OK,95,fixA_fp32
9,1,1,DONE_OK,80,fixA_fp32
10,1,1,DONE_OK,112,fixA_fp32
11,1,0,DONE_FAIL,300,fixA_fp32
12,1,1,DONE_OK,89,fixA_fp32
13,1,1,DONE_OK,88,fixA_fp32
14,1,1,DONE_OK,94,fixA_fp32
15,1,0,DONE_FAIL,112,fixA_fp32
16,1,1,DONE_OK,113,fixA_fp32
17,1,1,DONE_OK,81,fixA_fp32
18,1,1,DONE_OK,108,fixA_fp32
19,1,1,DONE_OK,87,fixA_fp32
20,1,1,DONE_OK,198,fixA_fp32
21,1,1,DONE_OK,87,fixA_fp32
22,1,1,DONE_OK,119,fixA_fp32
23,1,1,DONE_OK,135,fixA_fp32
24,1,1,DONE_OK,140,fixA_fp32
25,1,1,DONE_OK,147,fixA_fp32
26,1,1,DONE_OK,89,fixA_fp32
27,1,1,DONE_OK,105,fixA_fp32
28,1,1,DONE_OK,93,fixA_fp32
29,1,1,DONE_OK,93,fixA_fp32
30,1,1,DONE_OK,55,fixA_fp32
31,1,1,DONE_OK,88,fixA_fp32
32,1,0,DONE_FAIL,315,fixA_fp32
33,1,1,DONE_OK,122,fixA_fp32
34,1,1,DONE_OK,109,fixA_fp32
35,1,1,DONE_OK,87,fixA_fp32
36,1,1,DONE_OK,87,fixA_fp32
37,1,1,DONE_OK,80,fixA_fp32
38,1,1,DONE_OK,92,fixA_fp32
39,1,1,DONE_OK,117,fixA_fp32
40,1,1,DONE_OK,54,fixA_fp32
41,1,1,DONE_OK,122,fixA_fp32
42,1,0,DONE_FAIL,308,fixA_fp32
43,1,1,DONE_OK,129,fixA_fp32
44,1,1,DONE_OK,86,fixA_fp32
45,1,1,DONE_OK,44,fixA_fp32
46,1,1,DONE_OK,113,fixA_fp32
47,1,1,DONE_OK,60,fixA_fp32
48,1,0,DONE_FAIL,300,fixA_fp32
49,1,1,DONE_OK,126,fixA_fp32
50,1,0,DONE_FAIL,140,fixA_fp32
51,1,1,DONE_OK,112,fixA_fp32
52,1,1,DONE_OK,117,fixA_fp32
53,1,1,DONE_OK,84,fixA_fp32
54,1,1,DONE_OK,119,fixA_fp32
55,1,1,DONE_OK,92,fixA_fp32
56,1,1,DONE_OK,103,fixA_fp32
57,1,1,DONE_OK,60,fixA_fp32
58,1,1,DONE_OK,103,fixA_fp32
59,1,1,DONE_OK,118,fixA_fp32
60,1,1,DONE_OK,87,fixA_fp32
61,1,1,DONE_OK,111,fixA_fp32
62,1,1,DONE_OK,102,fixA_fp32
63,1,1,DONE_OK,88,fixA_fp32
64,1,1,DONE_OK,104,fixA_fp32
65,1,1,DONE_OK,122,fixA_fp32
66,1,1,DONE_OK,103,fixA_fp32
67,1,0,DONE_FAIL,300,fixA_fp32
68,1,1,DONE_OK,88,fixA_fp32
69,1,1,DONE_OK,89,fixA_fp32
70,1,1,DONE_OK,82,fixA_fp32
71,1,0,DONE_FAIL,300,fixA_fp32
72,1,1,DONE_OK,98,fixA_fp32
73,1,1,DONE_OK,117,fixA_fp32
74,1,1,DONE_OK,88,fixA_fp32
75,1,1,DONE_OK,111,fixA_fp32
76,1,1,DONE_OK,52,fixA_fp32
77,1,1,DONE_OK,111,fixA_fp32
78,1,1,DONE_OK,130,fixA_fp32
79,1,1,DONE_OK,103,fixA_fp32
80,1,1,DONE_OK,96,fixA_fp32
81,1,1,DONE_OK,97,fixA_fp32
82,1,1,DONE_OK,156,fixA_fp32
83,1,1,DONE_OK,93,fixA_fp32
84,1,1,DONE_OK,88,fixA_fp32
85,1,1,DONE_OK,116,fixA_fp32
86,1,1,DONE_OK,98,fixA_fp32
87,1,1,DONE_OK,113,fixA_fp32
88,1,1,DONE_OK,115,fixA_fp32
89,1,1,DONE_OK,92,fixA_fp32
90,1,1,DONE_OK,125,fixA_fp32
91,1,1,DONE_OK,80,fixA_fp32
92,1,1,DONE_OK,107,fixA_fp32
93,1,1,DONE_OK,131,fixA_fp32
94,1,1,DONE_OK,85,fixA_fp32
95,1,1,DONE_OK,100,fixA_fp32
96,2,1,DONE_OK,131,fixA_fp32
97,1,1,DONE_OK,107,fixA_fp32
98,1,1,DONE_OK,148,fixA_fp32
99,1,1,DONE_OK,83,fixA_fp32
