episode,attempts,success,phase,steps,tag
0,2,1,DONE_OK,122,fixA_int8
1,1,0,DONE_FAIL,267,fixA_int8
2,1,0,DONE_FAIL,305,fixA_int8
3,2,0,DONE_FAIL,300,fixA_int8
4,1,1,DONE_OK,113,fixA_int8
5,1,0,DONE_FAIL,158,fixA_int8
6,1,1,DONE_OK,129,fixA_int8
7,1,1,DONE_OK,49,fixA_int8
8,1,1,DONE_OK,114,fixA_int8
9,1,1,DONE_OK,105,fixA_int8
10,1,1,DONE_OK,109,fixA_int8
11,1,1,DONE_OK,92,fixA_int8
12,1,0,DONE_FAIL,124,fixA_int8
13,1,1,DONE_OK,127,fixA_int8
14,1,1,DONE_OK,115,fixA_int8
15,1,1,DONE_OK,82,fixA_int8
16,1,1,DONE_OK,134,fixA_int8
17,1,1,DONE_OK,115,fixA_int8
18,1,1,DONE_OK,90,fixA_int8
19,1,1,DONE_OK,88,fixA_int8
20,1,0,DONE_FAIL,289,fixA_int8
21,1,1,DONE_OK,119,fixA_int8
22,1,1,DONE_OK,35,fixA_int8
23,1,1,DONE_OK,120,fixA_int8
24,1,1,DONE_OK,121,fixA_int8
25,1,0,DONE_FAIL,300,fixA_int8
26,1,1,DONE_OK,127,fixA_int8
27,1,1,DONE_OK,119,fixA_int8
28,1,1,DONE_OK,201,fixA_int8
29,2,1,DONE_OK,95,fixA_int8
30,1,1,DONE_OK,96,fixA_int8
31,1,1,DONE_OK,83,fixA_int8
32,1,0,DONE_FAIL,300,fixA_int8
33,1,1,DONE_OK,125,fixA_int8
34,2,1,DONE_OK,111,fixA_int8
35,1,0,DONE_FAIL,262,fixA_int8
36,1,0,DONE_FAIL,303,fixA_int8
37,1,1,DONE_OK,59,fixA_int8
38,1,0,DONE_FAIL,300,fixA_int8
39,1,0,DONE_FAIL,300,fixA_int8
40,1,0,DONE_FAIL,117,fixA_int8
41,1,1,DONE_OK,109,fixA_int8
42,1,0,DONE_FAIL,300,fixA_int8
43,1,1,DONE_OK,112,fixA_int8
44,1,1,DONE_OK,90,fixA_int8
45,1,1,DONE_OK,84,fixA_int8
46,2,1,DONE_OK,61,fixA_int8
47,1,1,DONE_OK,81,fixA_int8
48,1,1,DONE_OK,109,fixA_int8
49,1,1,DONE_OK,49,fixA_int8
50,2,0,DONE_FAIL,300,fixA_int8
51,2,1,DONE_OK,85,fixA_int8
52,1,0,DONE_FAIL,300,fixA_int8
53,1,0,DONE_FAIL,300,fixA_int8
54,2,1,DONE_OK,153,fixA_int8
55,2,1,DONE_OK,102,fixA_int8
56,1,1,DONE_OK,140,fixA_int8
57,1,1,DONE_OK,253,fixA_int8
58,1,1,DONE_OK,85,fixA_int8
59,1,1,DONE_OK,114,fixA_int8
60,1,0,DONE_FAIL,300,fixA_int8
61,1,1,DONE_OK,83,fixA_int8
62,1,1,DONE_OK,87,fixA_int8
63,1,1,DONE_OK,119,fixA_int8
64,1,1,DONE_OK,139,fixA_int8
65,1,1,DONE_OK,85,fixA_int8
66,1,1,DONE_OK,89,fixA_int8
67,1,1,DONE_OK,85,fixA_int8
68,1,1,DONE_OK,75,fixA_int8
69,1,1,DONE_OK,117,fixA_int8
70,1,1,DONE_OK,82,fixA_int8
71,1,1,DONE_OK,91,fixA_int8
72,1,0,DONE_FAIL,144,fixA_int8
73,1,0,DONE_FAIL,300,fixA_int8
74,1,1,DONE_OK,116,fixA_int8
75,1,1,DONE_OK,83,fixA_int8
76,1,1,DONE_OK,87,fixA_int8
77,1,0,DONE_FAIL,54,fixA_int8
78,1,1,DONE_OK,109,fixA_int8
79,1,0,DONE_FAIL,300,fixA_int8
80,1,0,DONE_FAIL,300,fixA_int8
81,2,0,DONE_FAIL,85,fixA_int8
82,1,0,DONE_FAIL,59,fixA_int8
83,1,1,DONE_OK,91,fixA_int8
84,1,1,DONE_OK,40,fixA_int8
85,1,1,DONE_OK,76,fixA_int8
86,2,1,DONE_OK,152,fixA_int8
87,1,0,DONE_FAIL,273,fixA_int8
88,1,1,DONE_OK,122,fixA_int8
89,1,1,DONE_OK,56,fixA_int8
90,1,1,DONE_OK,89,fixA_int8
91,2,1,DONE_OK,98,fixA_int8
92,2,0,DONE_FAIL,297,fixA_int8
93,1,1,DONE_OK,138,fixA_int8
94,1,1,DONE_OK,120,fixA_int8
95,1,1,DONE_OK,98,fixA_int8
96,1,0,DONE_FAIL,269,fixA_int8
97,1,1,DONE_OK,110,fixA_int8
98,2,1,DONE_OK,85,fixA_int8
99,1,0,DONE_FAIL,61,fixA_int8
