episode,attempts,success,phase,steps,tag,regrasps,unjams
0,1,1,DONE_OK,100,AC_int8,0,0
1,1,1,DONE_OK,106,AC_int8,0,0
2,1,1,DONE_OK,91,AC_int8,0,0
3,1,1,DONE_OK,84,AC_int8,0,0
4,1,1,DONE_OK,101,AC_int8,0,0
5,1,1,DONE_OK,78,AC_int8,0,0
6,1,1,DONE_OK,103,AC_int8,0,0
7,1,0,DONE_FAIL,459,AC_int8,1,0
8,1,1,DONE_OK,86,AC_int8,0,0
9,1,1,DONE_OK,121,AC_int8,0,0
10,1,1,DONE_OK,205,AC_int8,1,0
11,1,1,DONE_OK,155,AC_int8,0,0
12,1,1,DONE_OK,89,AC_int8,0,0
13,1,1,DONE_OK,166,AC_int8,0,0
14,1,1,DONE_OK,50,AC_int8,0,0
15,1,1,DONE_OK,100,AC_int8,0,0
16,1,1,DONE_OK,141,AC_int8,0,0
17,1,1,DONE_OK,47,AC_int8,0,0
18,1,0,DONE_FAIL,300,AC_int8,0,0
19,1,0,DONE_FAIL,300,AC_int8,0,0
20,1,0,DONE_FAIL,97,AC_int8,0,0
21,2,1,DONE_OK,96,AC_int8,0,0
22,1,0,DONE_FAIL,388,AC_int8,2,0
23,1,1,DONE_OK,100,AC_int8,0,0
24,1,1,DONE_OK,68,AC_int8,0,0
25,1,0,DONE_FAIL,300,AC_int8,0,0
26,1,1,DONE_OK,88,AC_int8,0,0
27,2,0,DONE_FAIL,111,AC_int8,0,0
28,1,1,DONE_OK,78,AC_int8,0,0
29,1,1,DONE_OK,74,AC_int8,0,0
30,1,1,DONE_OK,97,AC_int8,0,0
31,2,1,DONE_OK,111,AC_int8,0,0
32,3,1,DONE_OK,87,AC_int8,0,0
33,1,0,DONE_FAIL,279,AC_int8,1,0
34,1,1,DONE_OK,98,AC_int8,0,0
35,1,0,DONE_FAIL,300,AC_int8,0,0
36,1,0,DONE_FAIL,359,AC_int8,1,0
37,1,1,DONE_OK,137,AC_int8,0,0
38,1,1,DONE_OK,106,AC_int8,0,0
39,1,1,DONE_OK,117,AC_int8,0,0
40,1,1,DONE_OK,101,AC_int8,0,0
41,1,1,DONE_OK,92,AC_int8,0,0
42,1,1,DONE_OK,82,AC_int8,0,0
43,1,1,DONE_OK,136,AC_int8,0,0
44,1,1,DONE_OK,111,AC_int8,0,0
45,1,1,DONE_OK,127,AC_int8,0,0
46,1,1,DONE_OK,65,AC_int8,0,0
47,1,1,DONE_OK,50,AC_int8,0,0
48,1,0,DONE_FAIL,437,AC_int8,1,0
49,2,1,DONE_OK,113,AC_int8,0,0
50,1,1,DONE_OK,121,AC_int8,0,0
51,1,1,DONE_OK,99,AC_int8,0,0
52,1,1,DONE_OK,107,AC_int8,0,0
53,1,1,DONE_OK,106,AC_int8,0,0
54,1,1,DONE_OK,126,AC_int8,0,0
55,1,0,DONE_FAIL,257,AC_int8,1,0
56,1,1,DONE_OK,162,AC_int8,0,0
57,1,1,DONE_OK,88,AC_int8,0,0
58,1,1,DONE_OK,116,AC_int8,0,0
59,1,1,DONE_OK,127,AC_int8,0,0
60,1,1,DONE_OK,112,AC_int8,0,0
61,1,1,DONE_OK,129,AC_int8,0,0
62,1,1,DONE_OK,101,AC_int8,0,0
63,1,1,DONE_OK,137,AC_int8,0,0
64,1,1,DONE_OK,81,AC_int8,0,0
65,2,1,DONE_OK,176,AC_int8,0,0
66,1,1,DONE_OK,112,AC_int8,0,0
67,1,1,DONE_OK,100,AC_int8,0,0
68,1,1,DONE_OK,118,AC_int8,0,0
69,1,1,DONE_OK,94,AC_int8,0,0
70,1,1,DONE_OK,67,AC_int8,0,0
71,1,1,DONE_OK,122,AC_int8,0,0
72,1,1,DONE_OK,109,AC_int8,0,0
73,1,1,DONE_OK,85,AC_int8,0,0
74,1,1,DONE_OK,111,AC_int8,0,0
75,1,1,DONE_OK,98,AC_int8,0,0
76,1,0,DONE_FAIL,265,AC_int8,1,0
77,1,1,DONE_OK,104,AC_int8,0,0
78,1,1,DONE_OK,69,AC_int8,0,0
79,1,1,DONE_OK,104,AC_int8,0,0
80,1,1,DONE_OK,59,AC_int8,0,0
81,1,0,DONE_FAIL,91,AC_int8,0,0
82,1,0,DONE_FAIL,284,AC_int8,1,0
83,1,1,DONE_OK,123,AC_int8,0,0
84,1,0,DONE_FAIL,405,AC_int8,2,0
85,1,1,DONE_OK,59,AC_int8,0,0
86,1,0,DONE_FAIL,143,AC_int8,0,0
87,2,1,DONE_OK,88,AC_int8,0,0
88,2,1,DONE_OK,78,AC_int8,0,0
89,1,1,DONE_OK,106,AC_int8,0,0
90,1,1,DONE_OK,164,AC_int8,0,0
91,1,1,DONE_OK,89,AC_int8,0,0
92,1,1,DONE_OK,80,AC_int8,0,0
93,3,0,DONE_FAIL,269,AC_int8,1,0
94,1,1,DONE_OK,19,AC_int8,0,0
95,1,0,DONE_FAIL,97,AC_int8,0,0
96,1,1,DONE_OK,78,AC_int8,0,0
97,1,0,DONE_FAIL,300,AC_int8,0,0
98,1,0,DONE_FAIL,287,AC_int8,1,0
99,1,1,DONE_OK,96,AC_int8,0,0
