episode,attempts,success,phase,steps,tag,regrasps,unjams
0,1,0,DONE_FAIL,97,keeprot,0,0
1,1,0,DONE_FAIL,49,keeprot,0,0
2,2,1,DONE_OK,72,keeprot,0,0
3,1,0,DONE_FAIL,256,keeprot,0,0
4,1,1,DONE_OK,259,keeprot,0,0
5,1,1,DONE_OK,94,keeprot,0,0
6,2,0,DONE_FAIL,300,keeprot,0,0
7,1,0,DONE_FAIL,300,keeprot,0,0
8,1,0,DONE_FAIL,259,keeprot,0,0
9,2,0,DONE_FAIL,33,keeprot,0,0
10,1,0,DONE_FAIL,292,keeprot,0,0
11,1,0,DONE_FAIL,300,keeprot,0,0
12,1,0,DONE_FAIL,96,keeprot,0,0
13,1,0,DONE_FAIL,291,keeprot,0,0
14,1,0,DONE_FAIL,300,keeprot,0,0
15,1,0,DONE_FAIL,55,keeprot,0,0
16,2,1,DONE_OK,79,keeprot,0,0
17,1,0,DONE_FAIL,300,keeprot,0,0
18,1,0,DONE_FAIL,300,keeprot,0,0
19,1,1,DONE_OK,89,keeprot,0,0
20,1,0,DONE_FAIL,281,keeprot,0,0
21,1,0,DONE_FAIL,300,keeprot,0,0
22,1,0,DONE_FAIL,92,keeprot,0,0
23,1,0,DONE_FAIL,298,keeprot,0,0
24,1,0,DONE_FAIL,264,keeprot,0,0
25,1,0,DONE_FAIL,300,keeprot,0,0
26,1,0,DONE_FAIL,300,keeprot,0,0
27,1,0,DONE_FAIL,275,keeprot,0,0
28,2,0,DONE_FAIL,300,keeprot,0,0
29,1,0,DONE_FAIL,300,keeprot,0,0
30,1,0,DONE_FAIL,300,keeprot,0,0
31,1,0,DONE_FAIL,300,keeprot,0,0
32,2,0,DONE_FAIL,300,keeprot,0,0
33,1,0,DONE_FAIL,300,keeprot,0,0
34,1,0,DONE_FAIL,300,keeprot,0,0
35,1,0,DONE_FAIL,279,keeprot,0,0
36,1,0,DONE_FAIL,62,keeprot,0,0
37,1,0,DONE_FAIL,300,keeprot,0,0
38,1,0,DONE_FAIL,182,keeprot,0,0
39,1,1,DONE_OK,78,keeprot,0,0
40,1,1,DONE_OK,68,keeprot,0,0
41,1,0,DONE_FAIL,300,keeprot,0,0
42,1,0,DONE_FAIL,98,keeprot,0,0
43,1,1,DONE_OK,23,keeprot,0,0
44,3,0,DONE_FAIL,300,keeprot,0,0
45,1,0,DONE_FAIL,313,keeprot,0,0
46,1,0,DONE_FAIL,119,keeprot,0,0
47,1,0,DONE_FAIL,300,keeprot,0,0
48,2,1,DONE_OK,76,keeprot,0,0
49,1,0,DONE_FAIL,34,keeprot,0,0
50,2,0,DONE_FAIL,344,keeprot,0,0
51,1,0,DONE_FAIL,279,keeprot,0,0
52,1,1,DONE_OK,75,keeprot,0,0
53,1,0,DONE_FAIL,104,keeprot,0,0
54,1,1,DONE_OK,53,keeprot,0,0
55,1,1,DONE_OK,59,keeprot,0,0
56,1,0,DONE_FAIL,300,keeprot,0,0
57,1,1,DONE_OK,73,keeprot,0,0
58,1,0,DONE_FAIL,72,keeprot,0,0
59,1,1,DONE_OK,92,keeprot,0,0
60,1,0,DONE_FAIL,34,keeprot,0,0
61,1,0,DONE_FAIL,58,keeprot,0,0
62,1,0,DONE_FAIL,300,keeprot,0,0
63,1,0,DONE_FAIL,300,keeprot,0,0
64,1,0,DONE_FAIL,300,keeprot,0,0
65,1,1,DONE_OK,88,keeprot,0,0
66,1,0,DONE_FAIL,300,keeprot,0,0
67,1,0,DONE_FAIL,300,keeprot,0,0
68,1,0,DONE_FAIL,300,keeprot,0,0
69,1,0,DONE_FAIL,300,keeprot,0,0
70,1,0,DONE_FAIL,300,keeprot,0,0
71,1,0,DONE_FAIL,57,keeprot,0,0
72,1,0,DONE_FAIL,300,keeprot,0,0
73,1,0,DONE_FAIL,300,keeprot,0,0
74,3,1,DONE_OK,249,keeprot,0,0
75,1,0,DONE_FAIL,88,keeprot,0,0
76,1,0,DONE_FAIL,300,keeprot,0,0
77,1,0,DONE_FAIL,274,keeprot,0,0
78,1,0,DONE_FAIL,77,keeprot,0,0
79,1,1,DONE_OK,53,keeprot,0,0
80,1,0,DONE_FAIL,300,keeprot,0,0
81,1,0,DONE_FAIL,300,keeprot,0,0
82,1,1,DONE_OK,199,keeprot,0,0
83,1,0,DONE_FAIL,300,keeprot,0,0
84,1,0,DONE_FAIL,84,keeprot,0,0
85,1,0,DONE_FAIL,58,keeprot,0,0
86,1,1,DONE_OK,38,keeprot,0,0
87,1,0,DONE_FAIL,63,keeprot,0,0
88,1,0,DONE_FAIL,300,keeprot,0,0
89,2,0,DONE_FAIL,299,keeprot,0,0
90,2,0,DONE_FAIL,300,keeprot,0,0
91,1,0,DONE_FAIL,300,keeprot,0,0
92,1,0,DONE_FAIL,300,keeprot,0,0
93,1,0,DONE_FAIL,90,keeprot,0,0
94,2,0,DONE_FAIL,300,keeprot,0,0
95,2,0,DONE_FAIL,57,keeprot,0,0
96,1,0,DONE_FAIL,58,keeprot,0,0
97,1,1,DONE_OK,76,keeprot,0,0
98,1,0,DONE_FAIL,300,keeprot,0,0
99,1,0,DONE_FAIL,300,keeprot,0,0
