episode,attempts,success,phase,steps,tag,regrasps,unjams
0,1,1,DONE_OK,112,probe,0,0
1,1,1,DONE_OK,119,probe,0,0
2,1,0,DONE_FAIL,300,probe,0,3
3,1,1,DONE_OK,95,probe,0,0
4,1,1,DONE_OK,136,probe,0,0
5,2,1,DONE_OK,120,probe,0,0
6,1,1,DONE_OK,117,probe,0,0
7,1,1,DONE_OK,105,probe,0,0
8,1,1,DONE_OK,91,probe,0,0
9,1,1,DONE_OK,126,probe,0,0
10,1,1,DONE_OK,126,probe,0,0
11,1,1,DONE_OK,123,probe,0,0
12,2,1,DONE_OK,120,probe,0,0
13,1,1,DONE_OK,135,probe,0,0
14,1,0,DONE_FAIL,90,probe,0,0
15,1,1,DONE_OK,81,probe,0,0
16,1,1,DONE_OK,58,probe,0,0
17,1,1,DONE_OK,136,probe,0,0
18,1,0,DONE_FAIL,300,probe,0,0
19,1,0,DONE_FAIL,300,probe,0,3
20,1,1,DONE_OK,116,probe,0,0
21,1,1,DONE_OK,90,probe,0,0
22,1,1,DONE_OK,54,probe,0,0
23,2,1,DONE_OK,105,probe,0,0
24,1,0,DONE_FAIL,300,probe,0,3
25,1,1,DONE_OK,88,probe,0,0
26,1,1,DONE_OK,119,probe,0,0
27,3,1,DONE_OK,108,probe,0,0
28,1,1,DONE_OK,125,probe,0,0
29,2,1,DONE_OK,88,probe,0,0
30,1,1,DONE_OK,135,probe,0,0
31,1,1,DONE_OK,85,probe,0,0
32,1,1,DONE_OK,99,probe,0,0
33,1,1,DONE_OK,80,probe,0,0
34,1,1,DONE_OK,128,probe,0,0
35,1,1,DONE_OK,136,probe,0,0
36,1,1,DONE_OK,128,probe,0,0
37,1,1,DONE_OK,147,probe,0,0
38,1,0,DONE_FAIL,300,probe,0,0
39,1,1,DONE_OK,89,probe,0,0
40,1,1,DONE_OK,69,probe,0,0
41,1,1,DONE_OK,117,probe,0,0
42,1,0,DONE_FAIL,300,probe,0,0
43,1,1,DONE_OK,110,probe,0,0
44,1,1,DONE_OK,124,probe,0,0
45,1,1,DONE_OK,72,probe,0,0
46,1,1,DONE_OK,79,probe,0,0
47,1,1,DONE_OK,85,probe,0,0
48,1,1,DONE_OK,72,probe,0,0
49,2,0,DONE_FAIL,300,probe,0,3
50,1,0,DONE_FAIL,300,probe,0,3
51,1,0,DONE_FAIL,300,probe,0,0
52,1,1,DONE_OK,132,probe,0,0
53,1,1,DONE_OK,141,probe,0,0
54,1,0,DONE_FAIL,300,probe,0,3
55,1,0,DONE_FAIL,300,probe,0,0
56,1,0,DONE_FAIL,300,probe,0,3
57,1,1,DONE_OK,120,probe,0,0
58,1,1,DONE_OK,116,probe,0,0
59,1,1,DONE_OK,87,probe,0,0
60,1,1,DONE_OK,82,probe,0,0
61,1,0,DONE_FAIL,87,probe,0,0
62,1,1,DONE_OK,99,probe,0,0
63,1,1,DONE_OK,82,probe,0,0
64,1,0,DONE_FAIL,51,probe,0,0
65,1,1,DONE_OK,106,probe,0,0
66,1,0,DONE_FAIL,97,probe,0,0
67,1,1,DONE_OK,99,probe,0,0
68,1,1,DONE_OK,116,probe,0,0
69,3,0,DONE_FAIL,300,probe,0,0
70,1,1,DONE_OK,103,probe,0,0
71,1,1,DONE_OK,76,probe,0,0
72,1,1,DONE_OK,128,probe,0,0
73,1,1,DONE_OK,102,probe,0,0
74,1,1,DONE_OK,54,probe,0,0
75,1,1,DONE_OK,93,probe,0,0
76,1,1,DONE_OK,75,probe,0,0
77,1,1,DONE_OK,114,probe,0,0
78,1,1,DONE_OK,133,probe,0,0
79,1,1,DONE_OK,106,probe,0,0
80,1,1,DONE_OK,87,probe,0,0
81,1,1,DONE_OK,105,probe,0,0
82,1,0,DONE_FAIL,300,probe,0,2
83,1,0,DONE_FAIL,300,probe,0,0
84,1,1,DONE_OK,73,probe,0,0
85,3,1,DONE_OK,58,probe,0,0
86,1,0,DONE_FAIL,300,probe,0,0
87,1,1,DONE_OK,116,probe,0,0
88,1,1,DONE_OK,83,probe,0,0
89,2,0,DONE_FAIL,141,probe,0,0
90,1,1,DONE_OK,95,probe,0,0
91,1,1,DONE_OK,138,probe,0,0
92,1,1,DONE_OK,85,probe,0,0
93,1,1,DONE_OK,41,probe,0,0
94,1,1,DONE_OK,112,probe,0,0
95,1,1,DONE_OK,217,probe,0,0
96,1,1,DONE_OK,119,probe,0,0
97,1,1,DONE_OK,95,probe,0,0
98,1,1,DONE_OK,149,probe,0,0
99,1,1,DONE_OK,113,probe,0,0
