episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,115,fixC_fp32
1,1,1,DONE_OK,129,fixC_fp32
2,1,1,DONE_OK,86,fixC_fp32
3,1,0,DONE_FAIL,177,fixC_fp32
4,1,1,DONE_OK,85,fixC_fp32
5,1,1,DONE_OK,84,fixC_fp32
6,1,1,DONE_OK,113,fixC_fp32
7,1,1,DONE_OK,110,fixC_fp32
8,1,1,DONE_OK,94,fixC_fp32
9,1,1,DONE_OK,80,fixC_fp32
10,1,1,DONE_OK,119,fixC_fp32
11,1,1,DONE_OK,93,fixC_fp32
12,1,1,DONE_OK,117,fixC_fp32
13,1,1,DONE_OK,93,fixC_fp32
14,1,1,DONE_OK,93,fixC_fp32
15,1,1,DONE_OK,163,fixC_fp32
16,1,0,DONE_FAIL,300,fixC_fp32
17,1,1,DONE_OK,83,fixC_fp32
18,1,1,DONE_OK,113,fixC_fp32
19,1,1,DONE_OK,100,fixC_fp32
20,1,1,DONE_OK,164,fixC_fp32
21,1,1,DONE_OK,96,fixC_fp32
22,1,1,DONE_OK,111,fixC_fp32
23,1,1,DONE_OK,49,fixC_fp32
24,1,1,DONE_OK,118,fixC_fp32
25,1,1,DONE_OK,119,fixC_fp32
26,1,1,DONE_OK,97,fixC_fp32
27,1,0,DONE_FAIL,300,fixC_fp32
28,1,1,DONE_OK,146,fixC_fp32
29,1,1,DONE_OK,113,fixC_fp32
30,1,0,DONE_FAIL,135,fixC_fp32
31,1,1,DONE_OK,88,fixC_fp32
32,1,1,DONE_OK,79,fixC_fp32
33,1,1,DONE_OK,99,fixC_fp32
34,1,0,DONE_FAIL,300,fixC_fp32
35,2,1,DONE_OK,93,fixC_fp32
36,1,1,DONE_OK,88,fixC_fp32
37,1,1,DONE_OK,127,fixC_fp32
38,1,0,DONE_FAIL,300,fixC_fp32
39,1,1,DONE_OK,86,fixC_fp32
40,1,1,DONE_OK,118,fixC_fp32
41,1,0,DONE_FAIL,300,fixC_fp32
42,1,1,DONE_OK,48,fixC_fp32
43,1,1,DONE_OK,99,fixC_fp32
44,1,1,DONE_OK,89,fixC_fp32
45,1,1,DONE_OK,82,fixC_fp32
46,1,1,DONE_OK,99,fixC_fp32
47,1,1,DONE_OK,46,fixC_fp32
48,1,1,DONE_OK,107,fixC_fp32
49,1,0,DONE_FAIL,95,fixC_fp32
50,1,1,DONE_OK,144,fixC_fp32
51,1,1,DONE_OK,91,fixC_fp32
52,1,1,DONE_OK,129,fixC_fp32
53,1,1,DONE_OK,132,fixC_fp32
54,1,1,DONE_OK,94,fixC_fp32
55,1,1,DONE_OK,96,fixC_fp32
56,1,1,DONE_OK,122,fixC_fp32
57,1,1,DONE_OK,96,fixC_fp32
58,1,0,DONE_FAIL,300,fixC_fp32
59,1,1,DONE_OK,97,fixC_fp32
60,1,1,DONE_OK,120,fixC_fp32
61,1,1,DONE_OK,90,fixC_fp32
62,1,0,DONE_FAIL,300,fixC_fp32
63,1,1,DONE_OK,104,fixC_fp32
64,1,1,DONE_OK,109,fixC_fp32
65,1,1,DONE_OK,114,fixC_fp32
66,1,1,DONE_OK,79,fixC_fp32
67,1,1,DONE_OK,109,fixC_fp32
68,1,1,DONE_OK,114,fixC_fp32
69,1,1,DONE_OK,120,fixC_fp32
70,1,1,DONE_OK,91,fixC_fp32
71,1,1,DONE_OK,97,fixC_fp32
72,1,1,DONE_OK,93,fixC_fp32
73,1,1,DONE_OK,93,fixC_fp32
74,1,1,DONE_OK,103,fixC_fp32
75,1,1,DONE_OK,118,fixC_fp32
76,1,1,DONE_OK,81,fixC_fp32
77,1,1,DONE_OK,91,fixC_fp32
78,1,1,DONE_OK,121,fixC_fp32
79,1,1,DONE_OK,63,fixC_fp32
80,1,1,DONE_OK,86,fixC_fp32
81,1,1,DONE_OK,83,fixC_fp32
82,1,1,DONE_OK,74,fixC_fp32
83,1,1,DONE_OK,110,fixC_fp32
84,1,1,DONE_OK,93,fixC_fp32
85,2,1,DONE_OK,83,fixC_fp32
86,1,1,DONE_OK,87,fixC_fp32
87,1,0,DONE_FAIL,300,fixC_fp32
88,1,1,DONE_OK,86,fixC_fp32
89,1,1,DONE_OK,141,fixC_fp32
90,1,1,DONE_OK,82,fixC_fp32
91,1,1,DONE_OK,68,fixC_fp32
92,1,0,DONE_FAIL,300,fixC_fp32
93,1,1,DONE_OK,79,fixC_fp32
94,1,1,DONE_OK,95,fixC_fp32
95,1,1,DONE_OK,102,fixC_fp32
96,1,1,DONE_OK,90,fixC_fp32
97,1,1,DONE_OK,99,fixC_fp32
98,1,1,DONE_OK,85,fixC_fp32
99,1,1,DONE_OK,99,fixC_fp32
