episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,2,0,DONE_FAIL,300,D_loose,0,0,1
1,1,1,DONE_OK,87,D_loose,0,0,0
2,1,0,DONE_FAIL,147,D_loose,0,0,0
3,2,1,DONE_OK,122,D_loose,0,0,0
4,1,1,DONE_OK,85,D_loose,0,0,0
5,1,1,DONE_OK,91,D_loose,0,0,0
6,1,1,DONE_OK,83,D_loose,0,0,0
7,1,1,DONE_OK,95,D_loose,0,0,0
8,1,1,DONE_OK,113,D_loose,0,0,0
9,1,0,DONE_FAIL,384,D_loose,1,0,0
10,1,1,DONE_OK,134,D_loose,0,0,0
11,1,0,DONE_FAIL,300,D_loose,0,0,0
12,1,0,DONE_FAIL,300,D_loose,0,0,0
13,1,0,DONE_FAIL,335,D_loose,1,0,0
14,1,0,DONE_FAIL,269,D_loose,1,0,0
15,1,1,DONE_OK,108,D_loose,0,0,0
16,1,1,DONE_OK,85,D_loose,0,0,0
17,1,0,DONE_FAIL,300,D_loose,0,0,0
18,1,0,DONE_FAIL,92,D_loose,0,0,1
19,1,0,DONE_FAIL,278,D_loose,1,0,0
20,1,1,DONE_OK,93,D_loose,0,0,1
21,2,1,DONE_OK,77,D_loose,0,0,0
22,2,1,DONE_OK,152,D_loose,0,0,0
23,1,0,DONE_FAIL,300,D_loose,0,0,0
24,1,1,DONE_OK,92,D_loose,0,0,0
25,1,1,DONE_OK,103,D_loose,0,0,1
26,1,1,DONE_OK,87,D_loose,0,0,0
27,3,1,DONE_OK,102,D_loose,0,0,0
28,1,0,DONE_FAIL,300,D_loose,0,0,1
29,1,1,DONE_OK,75,D_loose,0,0,2
30,2,1,DONE_OK,87,D_loose,0,0,0
31,1,1,DONE_OK,89,D_loose,0,0,1
32,1,1,DONE_OK,94,D_loose,0,0,0
33,1,1,DONE_OK,112,D_loose,0,0,0
34,3,1,DONE_OK,78,D_loose,0,0,0
35,1,1,DONE_OK,76,D_loose,0,0,0
36,1,0,DONE_FAIL,419,D_loose,1,0,1
37,2,1,DONE_OK,103,D_loose,0,0,0
38,1,0,DONE_FAIL,267,D_loose,1,0,0
39,1,1,DONE_OK,102,D_loose,0,0,0
40,2,1,DONE_OK,122,D_loose,0,0,0
41,1,1,DONE_OK,58,D_loose,0,0,0
42,1,1,DONE_OK,119,D_loose,0,0,1
43,1,1,DONE_OK,95,D_loose,0,0,1
44,1,1,DONE_OK,89,D_loose,0,0,0
45,2,1,DONE_OK,126,D_loose,0,0,0
46,1,0,DONE_FAIL,300,D_loose,0,0,0
47,1,0,DONE_FAIL,300,D_loose,0,0,0
48,1,1,DONE_OK,113,D_loose,0,0,0
49,1,1,DONE_OK,85,D_loose,0,0,0
50,1,1,DONE_OK,86,D_loose,0,0,0
51,1,1,DONE_OK,108,D_loose,0,0,0
52,1,1,DONE_OK,102,D_loose,0,0,0
53,1,1,DONE_OK,118,D_loose,0,0,0
54,1,0,DONE_FAIL,262,D_loose,1,0,0
55,1,1,DONE_OK,77,D_loose,0,0,0
56,1,1,DONE_OK,107,D_loose,0,0,0
57,1,1,DONE_OK,64,D_loose,0,0,0
58,1,1,DONE_OK,100,D_loose,0,0,0
59,1,1,DONE_OK,123,D_loose,0,0,1
60,1,1,DONE_OK,79,D_loose,0,0,0
61,1,1,DONE_OK,121,D_loose,0,0,0
62,1,1,DONE_OK,97,D_loose,0,0,0
63,1,1,DONE_OK,110,D_loose,0,0,0
64,2,1,DONE_OK,54,D_loose,0,0,0
65,1,1,DONE_OK,120,D_loose,0,0,0
66,1,1,DONE_OK,119,D_loose,0,0,0
67,1,1,DONE_OK,79,D_loose,0,0,0
68,1,1,DONE_OK,80,D_loose,0,0,0
69,1,1,DONE_OK,121,D_loose,0,0,0
70,1,1,DONE_OK,98,D_loose,0,0,0
71,1,1,DONE_OK,99,D_loose,0,0,0
72,3,1,DONE_OK,82,D_loose,0,0,0
73,1,0,DONE_FAIL,277,D_loose,1,0,0
74,3,1,DONE_OK,113,D_loose,0,0,0
75,1,0,DONE_FAIL,300,D_loose,0,0,0
76,1,1,DONE_OK,129,D_loose,0,0,0
77,1,1,DONE_OK,119,D_loose,0,0,0
78,2,1,DONE_OK,100,D_loose,0,0,0
79,2,1,DONE_OK,129,D_loose,0,0,0
80,1,0,DONE_FAIL,300,D_loose,0,0,0
81,1,1,DONE_OK,115,D_loose,0,0,0
82,1,1,DONE_OK,51,D_loose,0,0,0
83,1,1,DONE_OK,129,D_loose,0,0,0
84,1,1,DONE_OK,111,D_loose,0,0,0
85,1,1,DONE_OK,114,D_loose,0,0,0
86,1,1,DONE_OK,123,D_loose,0,0,0
87,1,1,DONE_OK,40,D_loose,0,0,0
88,1,1,DONE_OK,116,D_loose,0,0,0
89,1,1,DONE_OK,111,D_loose,0,0,0
90,1,0,DONE_FAIL,300,D_loose,0,0,0
91,1,1,DONE_OK,147,D_loose,0,0,0
92,1,0,DONE_FAIL,300,D_loose,0,0,0
93,1,1,DONE_OK,78,D_loose,0,0,0
94,1,1,DONE_OK,93,D_loose,0,0,0
95,2,0,DONE_FAIL,300,D_loose,0,0,0
96,1,1,DONE_OK,99,D_loose,0,0,0
97,1,0,DONE_FAIL,260,D_loose,1,0,0
98,1,1,DONE_OK,58,D_loose,0,0,0
99,1,1,DONE_OK,137,D_loose,0,0,0
