episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,3,0,DONE_FAIL,388,D_mod,1,0,0
1,1,1,DONE_OK,127,D_mod,0,0,0
2,1,1,DONE_OK,120,D_mod,0,0,0
3,2,0,DONE_FAIL,54,D_mod,0,0,0
4,2,0,DONE_FAIL,300,D_mod,0,0,0
5,1,0,DONE_FAIL,132,D_mod,0,0,0
6,2,1,DONE_OK,108,D_mod,0,0,0
7,1,0,DONE_FAIL,300,D_mod,0,0,1
8,1,1,DONE_OK,116,D_mod,0,0,0
9,1,1,DONE_OK,113,D_mod,0,0,1
10,1,1,DONE_OK,111,D_mod,0,0,0
11,1,1,DONE_OK,147,D_mod,0,0,0
12,1,1,DONE_OK,118,D_mod,0,0,0
13,2,1,DONE_OK,125,D_mod,0,0,0
14,1,0,DONE_FAIL,113,D_mod,0,0,1
15,2,1,DONE_OK,80,D_mod,0,0,0
16,1,0,DONE_FAIL,196,D_mod,0,0,0
17,3,1,DONE_OK,126,D_mod,0,0,0
18,1,0,DONE_FAIL,52,D_mod,0,0,0
19,2,1,DONE_OK,73,D_mod,0,0,1
20,1,1,DONE_OK,120,D_mod,0,0,0
21,1,0,DONE_FAIL,111,D_mod,0,0,0
22,1,1,DONE_OK,170,D_mod,0,0,0
23,1,0,DONE_FAIL,300,D_mod,0,0,1
24,1,0,DONE_FAIL,300,D_mod,0,0,0
25,2,1,DONE_OK,115,D_mod,0,0,0
26,1,1,DONE_OK,147,D_mod,0,0,0
27,1,1,DONE_OK,59,D_mod,0,0,0
28,1,1,DONE_OK,107,D_mod,0,0,0
29,1,0,DONE_FAIL,297,D_mod,1,0,2
30,3,1,DONE_OK,110,D_mod,0,0,0
31,1,0,DONE_FAIL,300,D_mod,0,0,0
32,1,1,DONE_OK,120,D_mod,0,0,0
33,1,0,DONE_FAIL,40,D_mod,0,0,0
34,1,1,DONE_OK,93,D_mod,0,0,0
35,2,1,DONE_OK,112,D_mod,0,0,0
36,1,1,DONE_OK,130,D_mod,0,0,0
37,1,1,DONE_OK,52,D_mod,0,0,0
38,1,1,DONE_OK,93,D_mod,0,0,0
39,1,0,DONE_FAIL,144,D_mod,0,0,0
40,2,1,DONE_OK,92,D_mod,0,0,0
41,1,0,DONE_FAIL,300,D_mod,0,0,0
42,1,1,DONE_OK,79,D_mod,0,0,0
43,1,1,DONE_OK,96,D_mod,0,0,1
44,1,1,DONE_OK,114,D_mod,0,0,0
45,1,1,DONE_OK,48,D_mod,0,0,0
46,2,1,DONE_OK,169,D_mod,0,0,0
47,1,0,DONE_FAIL,300,D_mod,0,0,1
48,1,1,DONE_OK,120,D_mod,0,0,0
49,1,1,DONE_OK,86,D_mod,0,0,1
50,1,1,DONE_OK,114,D_mod,0,0,0
51,3,1,DONE_OK,104,D_mod,0,0,0
52,1,0,DONE_FAIL,300,D_mod,0,0,0
53,2,1,DONE_OK,119,D_mod,0,0,0
54,1,1,DONE_OK,145,D_mod,0,0,0
55,1,1,DONE_OK,110,D_mod,0,0,0
56,1,0,DONE_FAIL,149,D_mod,0,0,2
57,1,1,DONE_OK,104,D_mod,0,0,1
58,2,1,DONE_OK,113,D_mod,0,0,0
59,1,0,DONE_FAIL,258,D_mod,1,0,0
60,1,1,DONE_OK,117,D_mod,0,0,0
61,1,1,DONE_OK,88,D_mod,0,0,0
62,2,1,DONE_OK,77,D_mod,0,0,0
63,1,1,DONE_OK,125,D_mod,0,0,0
64,1,1,DONE_OK,124,D_mod,0,0,0
65,1,1,DONE_OK,124,D_mod,0,0,0
66,1,1,DONE_OK,104,D_mod,0,0,0
67,2,1,DONE_OK,146,D_mod,0,0,0
68,1,1,DONE_OK,148,D_mod,0,0,0
69,1,1,DONE_OK,54,D_mod,0,0,0
70,1,1,DONE_OK,119,D_mod,0,0,0
71,1,1,DONE_OK,49,D_mod,0,0,0
72,1,1,DONE_OK,135,D_mod,0,0,0
73,1,1,DONE_OK,53,D_mod,0,0,1
74,1,1,DONE_OK,91,D_mod,0,0,0
75,1,1,DONE_OK,71,D_mod,0,0,0
76,1,1,DONE_OK,114,D_mod,0,0,0
77,1,1,DONE_OK,77,D_mod,0,0,1
78,1,1,DONE_OK,130,D_mod,0,0,0
79,1,1,DONE_OK,101,D_mod,0,0,0
80,2,1,DONE_OK,111,D_mod,0,0,0
81,1,0,DONE_FAIL,300,D_mod,0,0,0
82,1,1,DONE_OK,92,D_mod,0,0,0
83,1,0,DONE_FAIL,107,D_mod,0,0,0
84,1,1,DONE_OK,101,D_mod,0,0,0
85,1,1,DONE_OK,97,D_mod,0,0,0
86,1,0,DONE_FAIL,300,D_mod,0,0,0
87,1,1,DONE_OK,71,D_mod,0,0,0
88,2,0,DONE_FAIL,118,D_mod,0,0,0
89,1,0,DONE_FAIL,300,D_mod,0,0,0
90,2,1,DONE_OK,120,D_mod,0,0,0
91,1,1,DONE_OK,296,D_mod,0,0,0
92,1,0,DONE_FAIL,77,D_mod,0,0,0
93,1,1,DONE_OK,116,D_mod,0,0,0
94,1,1,DONE_OK,158,D_mod,0,0,0
95,1,0,DONE_FAIL,300,D_mod,0,0,0
96,2,0,DONE_FAIL,247,D_mod,0,0,0
97,1,1,DONE_OK,103,D_mod,0,0,0
98,1,1,DONE_OK,114,D_mod,0,0,0
99,1,1,DONE_OK,96,D_mod,0,0,0
