episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,1,DONE_OK,131,fixed_int8_ac,0,0,0
1,2,1,DONE_OK,60,fixed_int8_ac,0,0,0
2,1,1,DONE_OK,129,fixed_int8_ac,0,0,0
3,1,1,DONE_OK,190,fixed_int8_ac,0,0,0
4,1,1,DONE_OK,97,fixed_int8_ac,0,0,0
5,1,1,DONE_OK,108,fixed_int8_ac,0,0,0
6,1,1,DONE_OK,122,fixed_int8_ac,0,0,0
7,1,1,DONE_OK,119,fixed_int8_ac,0,0,0
8,1,1,DONE_OK,127,fixed_int8_ac,0,0,0
9,2,1,DONE_OK,117,fixed_int8_ac,0,0,0
10,1,1,DONE_OK,128,fixed_int8_ac,0,0,0
11,1,1,DONE_OK,111,fixed_int8_ac,0,0,0
12,1,1,DONE_OK,128,fixed_int8_ac,0,0,0
13,2,1,DONE_OK,95,fixed_int8_ac,0,0,0
14,1,1,DONE_OK,97,fixed_int8_ac,0,0,0
15,1,1,DONE_OK,58,fixed_int8_ac,0,0,0
16,1,1,DONE_OK,113,fixed_int8_ac,0,0,0
17,1,1,DONE_OK,69,fixed_int8_ac,0,0,0
18,1,1,DONE_OK,121,fixed_int8_ac,0,0,0
19,1,1,DONE_OK,122,fixed_int8_ac,0,0,0
20,1,1,DONE_OK,101,fixed_int8_ac,0,0,0
21,1,1,DONE_OK,118,fixed_int8_ac,0,0,0
22,1,1,DONE_OK,131,fixed_int8_ac,0,0,0
23,1,1,DONE_OK,93,fixed_int8_ac,0,0,0
24,2,1,DONE_OK,106,fixed_int8_ac,0,0,0
25,1,1,DONE_OK,116,fixed_int8_ac,0,0,0
26,1,1,DONE_OK,129,fixed_int8_ac,0,0,0
27,1,1,DONE_OK,134,fixed_int8_ac,0,0,0
28,1,1,DONE_OK,131,fixed_int8_ac,0,0,0
29,1,1,DONE_OK,144,fixed_int8_ac,0,0,0
30,1,0,DONE_FAIL,292,fixed_int8_ac,1,0,0
31,1,1,DONE_OK,145,fixed_int8_ac,0,0,0
32,1,1,DONE_OK,60,fixed_int8_ac,0,0,0
33,1,1,DONE_OK,130,fixed_int8_ac,0,0,0
34,1,1,DONE_OK,136,fixed_int8_ac,0,0,0
35,2,1,DONE_OK,128,fixed_int8_ac,0,0,0
36,1,1,DONE_OK,109,fixed_int8_ac,0,0,0
37,1,1,DONE_OK,49,fixed_int8_ac,0,0,0
38,1,1,DONE_OK,110,fixed_int8_ac,0,0,0
39,1,1,DONE_OK,133,fixed_int8_ac,0,0,0
40,1,1,DONE_OK,37,fixed_int8_ac,0,0,0
41,2,1,DONE_OK,117,fixed_int8_ac,0,0,0
42,1,1,DONE_OK,99,fixed_int8_ac,0,0,0
43,1,1,DONE_OK,89,fixed_int8_ac,0,0,0
44,1,1,DONE_OK,97,fixed_int8_ac,0,0,0
45,2,1,DONE_OK,74,fixed_int8_ac,0,0,0
46,1,1,DONE_OK,129,fixed_int8_ac,0,0,0
47,1,1,DONE_OK,96,fixed_int8_ac,0,0,0
48,2,1,DONE_OK,129,fixed_int8_ac,0,0,0
49,2,1,DONE_OK,116,fixed_int8_ac,0,0,0
50,1,1,DONE_OK,110,fixed_int8_ac,0,0,0
