episode,attempts,success,phase,steps,tag,regrasps,unjams,pose_rejects
0,1,1,DONE_OK,90,new_fixed_fp32,0,0,0
1,1,1,DONE_OK,104,new_fixed_fp32,0,0,0
2,1,1,DONE_OK,77,new_fixed_fp32,0,0,0
3,1,1,DONE_OK,56,new_fixed_fp32,0,0,0
4,1,1,DONE_OK,118,new_fixed_fp32,0,0,0
5,1,1,DONE_OK,97,new_fixed_fp32,0,0,0
6,1,1,DONE_OK,54,new_fixed_fp32,0,0,0
7,1,1,DONE_OK,110,new_fixed_fp32,0,0,0
8,1,1,DONE_OK,104,new_fixed_fp32,0,0,0
9,1,1,DONE_OK,116,new_fixed_fp32,0,0,0
10,1,1,DONE_OK,110,new_fixed_fp32,0,0,0
11,1,1,DONE_OK,86,new_fixed_fp32,0,0,0
12,1,1,DONE_OK,97,new_fixed_fp32,0,0,0
13,1,1,DONE_OK,111,new_fixed_fp32,0,0,0
14,1,1,DONE_OK,119,new_fixed_fp32,0,0,0
15,1,1,DONE_OK,52,new_fixed_fp32,0,0,0
16,1,1,DONE_OK,101,new_fixed_fp32,0,0,0
17,1,1,DONE_OK,55,new_fixed_fp32,0,0,0
18,1,1,DONE_OK,77,new_fixed_fp32,0,0,0
19,1,1,DONE_OK,51,new_fixed_fp32,0,0,0
20,1,1,DONE_OK,94,new_fixed_fp32,0,0,0
21,1,1,DONE_OK,104,new_fixed_fp32,0,0,0
22,1,1,DONE_OK,107,new_fixed_fp32,0,0,0
23,1,1,DONE_OK,106,new_fixed_fp32,0,0,0
24,1,1,DONE_OK,112,new_fixed_fp32,0,0,0
25,1,1,DONE_OK,105,new_fixed_fp32,0,0,0
26,1,1,DONE_OK,62,new_fixed_fp32,0,0,0
27,1,1,DONE_OK,56,new_fixed_fp32,0,0,0
28,1,1,DONE_OK,56,new_fixed_fp32,0,0,0
29,1,1,DONE_OK,96,new_fixed_fp32,0,0,0
30,1,1,DONE_OK,53,new_fixed_fp32,0,0,0
31,1,1,DONE_OK,99,new_fixed_fp32,0,0,0
32,1,1,DONE_OK,107,new_fixed_fp32,0,0,0
33,1,1,DONE_OK,77,new_fixed_fp32,0,0,0
34,1,1,DONE_OK,106,new_fixed_fp32,0,0,0
35,1,1,DONE_OK,96,new_fixed_fp32,0,0,0
36,1,1,DONE_OK,107,new_fixed_fp32,0,0,0
37,1,1,DONE_OK,100,new_fixed_fp32,0,0,0
38,1,1,DONE_OK,109,new_fixed_fp32,0,0,0
39,1,1,DONE_OK,54,new_fixed_fp32,0,0,0
40,1,1,DONE_OK,105,new_fixed_fp32,0,0,0
