episode,attempts,success,phase,steps
0,1,0,DONE_FAIL,300
1,1,0,DONE_FAIL,300
2,1,0,DONE_FAIL,173
3,1,1,DONE_OK,111
4,1,0,DONE_FAIL,55
5,1,1,DONE_OK,106
6,1,1,DONE_OK,132
7,1,0,DONE_FAIL,52
8,1,1,DONE_OK,174
9,2,1,DONE_OK,143
10,1,1,DONE_OK,166
11,1,1,DONE_OK,146
12,1,0,DONE_FAIL,300
13,1,1,DONE_OK,100
14,1,1,DONE_OK,130
15,1,0,DONE_FAIL,115
16,3,1,DONE_OK,154
17,1,1,DONE_OK,108
18,1,1,DONE_OK,116
19,1,1,DONE_OK,164
20,1,1,DONE_OK,118
21,1,1,DONE_OK,135
22,1,0,DONE_FAIL,116
23,1,1,DONE_OK,163
24,1,1,DONE_OK,118
25,1,1,DONE_OK,143
26,1,1,DONE_OK,108
27,1,1,DONE_OK,130
28,1,1,DONE_OK,142
29,1,1,DONE_OK,149
30,1,1,DONE_OK,126
31,2,1,DONE_OK,140
32,1,1,DONE_OK,120
33,1,1,DONE_OK,144
34,1,1,DONE_OK,116
35,2,1,DONE_OK,95
36,1,1,DONE_OK,148
37,1,1,DONE_OK,128
38,1,1,DONE_OK,138
39,1,1,DONE_OK,122
40,1,1,DONE_OK,122
41,1,0,DONE_FAIL,71
42,1,1,DONE_OK,116
43,2,1,DONE_OK,160
44,2,1,DONE_OK,147
45,1,0,DONE_FAIL,83
46,1,1,DONE_OK,111
47,1,1,DONE_OK,114
48,1,0,DONE_FAIL,300
49,1,0,DONE_FAIL,300
50,1,1,DONE_OK,136
51,1,0,DONE_FAIL,137
52,1,0,DONE_FAIL,93
53,1,1,DONE_OK,154
54,1,0,DONE_FAIL,107
55,1,0,DONE_FAIL,92
56,1,1,DONE_OK,118
57,1,1,DONE_OK,106
58,1,0,DONE_FAIL,300
59,1,0,DONE_FAIL,300
60,1,0,DONE_FAIL,262
61,1,1,DONE_OK,138
62,1,1,DONE_OK,161
63,1,1,DONE_OK,117
64,1,1,DONE_OK,158
65,1,1,DONE_OK,38
66,1,1,DONE_OK,152
67,1,1,DONE_OK,106
68,1,1,DONE_OK,162
69,1,1,DONE_OK,92
70,1,1,DONE_OK,127
71,1,0,DONE_FAIL,300
72,1,1,DONE_OK,120
73,1,1,DONE_OK,128
74,1,0,DONE_FAIL,300
75,1,0,DONE_FAIL,185
76,1,1,DONE_OK,50
77,1,1,DONE_OK,139
78,3,1,DONE_OK,106
79,1,0,DONE_FAIL,300
80,1,1,DONE_OK,147
81,1,1,DONE_OK,154
82,1,1,DONE_OK,88
83,1,1,DONE_OK,125
84,1,1,DONE_OK,81
85,1,1,DONE_OK,159
86,1,0,DONE_FAIL,300
87,1,0,DONE_FAIL,300
88,2,1,DONE_OK,113
89,1,1,DONE_OK,138
90,1,1,DONE_OK,145
91,1,1,DONE_OK,113
92,1,1,DONE_OK,161
93,1,1,DONE_OK,115
94,1,1,DONE_OK,123
95,1,1,DONE_OK,131
96,1,1,DONE_OK,128
97,1,1,DONE_OK,133
98,1,1,DONE_OK,132
99,1,1,DONE_OK,152
