episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,139,baseline
1,1,1,DONE_OK,158,baseline
2,1,1,DONE_OK,107,baseline
3,1,0,DONE_FAIL,300,baseline
4,1,1,DONE_OK,92,baseline
5,1,1,DONE_OK,95,baseline
6,1,1,DONE_OK,114,baseline
7,1,1,DONE_OK,117,baseline
8,1,1,DONE_OK,110,baseline
9,1,1,DONE_OK,93,baseline
10,1,1,DONE_OK,145,baseline
11,1,1,DONE_OK,116,baseline
12,1,1,DONE_OK,148,baseline
13,1,1,DONE_OK,111,baseline
14,1,1,DONE_OK,113,baseline
15,1,0,DONE_FAIL,300,baseline
16,1,0,DONE_FAIL,300,baseline
17,1,1,DONE_OK,96,baseline
18,1,1,DONE_OK,133,baseline
19,1,1,DONE_OK,118,baseline
20,1,1,DONE_OK,209,baseline
21,1,1,DONE_OK,87,baseline
22,1,1,DONE_OK,135,baseline
23,1,1,DONE_OK,63,baseline
24,1,1,DONE_OK,140,baseline
25,1,1,DONE_OK,93,baseline
26,1,1,DONE_OK,115,baseline
27,1,0,DONE_FAIL,300,baseline
28,1,1,DONE_OK,217,baseline
29,1,1,DONE_OK,138,baseline
30,1,1,DONE_OK,168,baseline
31,1,1,DONE_OK,107,baseline
32,1,1,DONE_OK,154,baseline
33,1,1,DONE_OK,95,baseline
34,1,0,DONE_FAIL,300,baseline
35,2,1,DONE_OK,128,baseline
36,1,1,DONE_OK,123,baseline
37,1,1,DONE_OK,144,baseline
38,1,0,DONE_FAIL,300,baseline
39,1,1,DONE_OK,104,baseline
40,1,1,DONE_OK,141,baseline
41,1,0,DONE_FAIL,300,baseline
42,1,1,DONE_OK,90,baseline
43,1,1,DONE_OK,90,baseline
44,1,0,DONE_FAIL,300,baseline
45,1,1,DONE_OK,97,baseline
46,1,1,DONE_OK,118,baseline
47,1,0,DONE_FAIL,300,baseline
48,1,1,DONE_OK,131,baseline
49,1,1,DONE_OK,128,baseline
50,1,1,DONE_OK,165,baseline
51,1,1,DONE_OK,96,baseline
52,1,1,DONE_OK,198,baseline
53,1,1,DONE_OK,140,baseline
54,1,1,DONE_OK,127,baseline
55,1,1,DONE_OK,133,baseline
56,1,1,DONE_OK,143,baseline
57,1,1,DONE_OK,123,baseline
58,1,0,DONE_FAIL,300,baseline
59,1,1,DONE_OK,113,baseline
60,1,1,DONE_OK,146,baseline
61,1,0,DONE_FAIL,94,baseline
62,1,0,DONE_FAIL,300,baseline
63,1,1,DONE_OK,124,baseline
64,1,1,DONE_OK,129,baseline
65,1,0,DONE_FAIL,300,baseline
66,1,1,DONE_OK,80,baseline
67,1,1,DONE_OK,130,baseline
68,1,1,DONE_OK,139,baseline
69,1,1,DONE_OK,165,baseline
70,1,1,DONE_OK,92,baseline
71,1,1,DONE_OK,138,baseline
72,1,1,DONE_OK,123,baseline
73,1,1,DONE_OK,114,baseline
74,1,1,DONE_OK,115,baseline
75,1,1,DONE_OK,134,baseline
76,1,1,DONE_OK,178,baseline
77,1,1,DONE_OK,114,baseline
78,1,1,DONE_OK,147,baseline
79,1,0,DONE_FAIL,74,baseline
80,1,1,DONE_OK,88,baseline
81,1,1,DONE_OK,131,baseline
82,1,1,DONE_OK,93,baseline
83,1,0,DONE_FAIL,300,baseline
84,1,1,DONE_OK,125,baseline
85,2,1,DONE_OK,98,baseline
86,1,1,DONE_OK,106,baseline
87,1,0,DONE_FAIL,300,baseline
88,1,1,DONE_OK,108,baseline
89,1,0,DONE_FAIL,146,baseline
90,1,1,DONE_OK,94,baseline
91,1,1,DONE_OK,69,baseline
92,1,0,DONE_FAIL,300,baseline
93,1,1,DONE_OK,87,baseline
94,1,1,DONE_OK,136,baseline
95,1,1,DONE_OK,101,baseline
96,1,1,DONE_OK,101,baseline
97,1,1,DONE_OK,109,baseline
98,1,1,DONE_OK,108,baseline
99,1,1,DONE_OK,118,baseline
