episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,153,dssteps_45
1,1,1,DONE_OK,173,dssteps_45
2,1,1,DONE_OK,107,dssteps_45
3,1,0,DONE_FAIL,300,dssteps_45
4,1,1,DONE_OK,107,dssteps_45
5,1,1,DONE_OK,110,dssteps_45
6,1,1,DONE_OK,129,dssteps_45
7,1,1,DONE_OK,131,dssteps_45
8,1,1,DONE_OK,125,dssteps_45
9,1,1,DONE_OK,107,dssteps_45
10,1,1,DONE_OK,160,dssteps_45
11,1,1,DONE_OK,130,dssteps_45
12,1,1,DONE_OK,164,dssteps_45
13,1,1,DONE_OK,111,dssteps_45
14,1,1,DONE_OK,127,dssteps_45
15,1,0,DONE_FAIL,300,dssteps_45
16,1,0,DONE_FAIL,300,dssteps_45
17,1,1,DONE_OK,112,dssteps_45
18,1,1,DONE_OK,148,dssteps_45
19,1,1,DONE_OK,132,dssteps_45
20,1,1,DONE_OK,224,dssteps_45
21,1,1,DONE_OK,87,dssteps_45
22,1,1,DONE_OK,150,dssteps_45
23,1,1,DONE_OK,63,dssteps_45
24,1,1,DONE_OK,155,dssteps_45
25,1,1,DONE_OK,111,dssteps_45
26,1,1,DONE_OK,130,dssteps_45
27,1,0,DONE_FAIL,300,dssteps_45
28,1,1,DONE_OK,219,dssteps_45
29,1,1,DONE_OK,152,dssteps_45
30,1,1,DONE_OK,182,dssteps_45
31,1,1,DONE_OK,122,dssteps_45
32,1,1,DONE_OK,169,dssteps_45
33,1,1,DONE_OK,110,dssteps_45
34,1,0,DONE_FAIL,300,dssteps_45
35,2,1,DONE_OK,143,dssteps_45
36,1,1,DONE_OK,138,dssteps_45
37,1,1,DONE_OK,159,dssteps_45
38,1,0,DONE_FAIL,300,dssteps_45
39,1,1,DONE_OK,119,dssteps_45
40,1,1,DONE_OK,156,dssteps_45
41,1,0,DONE_FAIL,300,dssteps_45
42,1,1,DONE_OK,105,dssteps_45
43,1,1,DONE_OK,105,dssteps_45
44,1,0,DONE_FAIL,300,dssteps_45
45,1,1,DONE_OK,112,dssteps_45
46,1,1,DONE_OK,133,dssteps_45
47,1,0,DONE_FAIL,300,dssteps_45
48,1,1,DONE_OK,146,dssteps_45
49,1,1,DONE_OK,137,dssteps_45
50,1,1,DONE_OK,180,dssteps_45
51,1,1,DONE_OK,96,dssteps_45
52,1,1,DONE_OK,220,dssteps_45
53,1,1,DONE_OK,140,dssteps_45
54,1,1,DONE_OK,127,dssteps_45
55,1,1,DONE_OK,148,dssteps_45
56,1,1,DONE_OK,158,dssteps_45
57,1,1,DONE_OK,137,dssteps_45
58,1,0,DONE_FAIL,300,dssteps_45
59,1,1,DONE_OK,113,dssteps_45
60,1,1,DONE_OK,160,dssteps_45
61,1,0,DONE_FAIL,94,dssteps_45
62,1,0,DONE_FAIL,300,dssteps_45
63,1,1,DONE_OK,138,dssteps_45
64,1,1,DONE_OK,144,dssteps_45
65,1,0,DONE_FAIL,300,dssteps_45
66,1,1,DONE_OK,80,dssteps_45
67,1,1,DONE_OK,145,dssteps_45
68,1,1,DONE_OK,154,dssteps_45
69,1,1,DONE_OK,180,dssteps_45
70,1,1,DONE_OK,106,dssteps_45
71,1,1,DONE_OK,153,dssteps_45
72,1,1,DONE_OK,123,dssteps_45
73,1,1,DONE_OK,129,dssteps_45
74,1,1,DONE_OK,130,dssteps_45
75,1,1,DONE_OK,148,dssteps_45
76,1,1,DONE_OK,193,dssteps_45
77,1,1,DONE_OK,114,dssteps_45
78,1,1,DONE_OK,161,dssteps_45
79,1,0,DONE_FAIL,74,dssteps_45
80,1,1,DONE_OK,104,dssteps_45
81,1,1,DONE_OK,146,dssteps_45
82,1,1,DONE_OK,93,dssteps_45
83,1,0,DONE_FAIL,300,dssteps_45
84,1,1,DONE_OK,139,dssteps_45
85,2,1,DONE_OK,113,dssteps_45
86,1,1,DONE_OK,121,dssteps_45
87,1,0,DONE_FAIL,300,dssteps_45
88,1,1,DONE_OK,108,dssteps_45
89,1,0,DONE_FAIL,146,dssteps_45
90,1,1,DONE_OK,108,dssteps_45
91,1,1,DONE_OK,69,dssteps_45
92,1,0,DONE_FAIL,300,dssteps_45
93,1,1,DONE_OK,102,dssteps_45
94,1,1,DONE_OK,151,dssteps_45
95,1,1,DONE_OK,116,dssteps_45
96,1,1,DONE_OK,101,dssteps_45
97,1,1,DONE_OK,109,dssteps_45
98,1,1,DONE_OK,108,dssteps_45
99,1,1,DONE_OK,133,dssteps_45
