episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,139,horizon_200
1,1,1,DONE_OK,158,horizon_200
2,1,1,DONE_OK,107,horizon_200
3,1,0,DONE_FAIL,200,horizon_200
4,1,1,DONE_OK,92,horizon_200
5,1,1,DONE_OK,95,horizon_200
6,1,1,DONE_OK,114,horizon_200
7,1,1,DONE_OK,117,horizon_200
8,1,1,DONE_OK,110,horizon_200
9,1,1,DONE_OK,93,horizon_200
10,1,1,DONE_OK,145,horizon_200
11,1,1,DONE_OK,116,horizon_200
12,1,1,DONE_OK,148,horizon_200
13,1,1,DONE_OK,111,horizon_200
14,1,1,DONE_OK,113,horizon_200
15,1,0,DONE_FAIL,200,horizon_200
16,1,0,DONE_FAIL,200,horizon_200
17,1,1,DONE_OK,96,horizon_200
18,1,1,DONE_OK,133,horizon_200
19,1,1,DONE_OK,118,horizon_200
20,1,1,DONE_OK,209,horizon_200
21,1,1,DONE_OK,87,horizon_200
22,1,1,DONE_OK,135,horizon_200
23,1,1,DONE_OK,63,horizon_200
24,1,1,DONE_OK,140,horizon_200
25,1,1,DONE_OK,93,horizon_200
26,1,1,DONE_OK,115,horizon_200
27,1,0,DONE_FAIL,200,horizon_200
28,1,1,DONE_OK,217,horizon_200
29,1,1,DONE_OK,138,horizon_200
30,1,1,DONE_OK,168,horizon_200
31,1,1,DONE_OK,107,horizon_200
32,1,1,DONE_OK,154,horizon_200
33,1,1,DONE_OK,95,horizon_200
34,1,0,DONE_FAIL,200,horizon_200
35,2,1,DONE_OK,128,horizon_200
36,1,1,DONE_OK,123,horizon_200
37,1,1,DONE_OK,144,horizon_200
38,1,0,DONE_FAIL,200,horizon_200
39,1,1,DONE_OK,104,horizon_200
40,1,1,DONE_OK,141,horizon_200
41,1,0,DONE_FAIL,200,horizon_200
42,1,1,DONE_OK,90,horizon_200
43,1,1,DONE_OK,90,horizon_200
44,1,0,DONE_FAIL,200,horizon_200
45,1,1,DONE_OK,97,horizon_200
46,1,1,DONE_OK,118,horizon_200
47,1,0,DONE_FAIL,200,horizon_200
48,1,1,DONE_OK,131,horizon_200
49,1,1,DONE_OK,128,horizon_200
50,1,1,DONE_OK,165,horizon_200
51,1,1,DONE_OK,96,horizon_200
52,1,1,DONE_OK,198,horizon_200
53,1,1,DONE_OK,140,horizon_200
54,1,1,DONE_OK,127,horizon_200
55,1,1,DONE_OK,133,horizon_200
56,1,1,DONE_OK,143,horizon_200
57,1,1,DONE_OK,123,horizon_200
58,1,0,DONE_FAIL,200,horizon_200
59,1,1,DONE_OK,113,horizon_200
60,1,1,DONE_OK,146,horizon_200
61,1,0,DONE_FAIL,94,horizon_200
62,1,0,DONE_FAIL,200,horizon_200
63,1,1,DONE_OK,124,horizon_200
64,1,1,DONE_OK,129,horizon_200
65,1,0,DONE_FAIL,200,horizon_200
66,1,1,DONE_OK,80,horizon_200
67,1,1,DONE_OK,130,horizon_200
68,1,1,DONE_OK,139,horizon_200
69,1,1,DONE_OK,165,horizon_200
70,1,1,DONE_OK,92,horizon_200
71,1,1,DONE_OK,138,horizon_200
72,1,1,DONE_OK,123,horizon_200
73,1,1,DONE_OK,114,horizon_200
74,1,1,DONE_OK,115,horizon_200
75,1,1,DONE_OK,134,horizon_200
76,1,1,DONE_OK,178,horizon_200
77,1,1,DONE_OK,114,horizon_200
78,1,1,DONE_OK,147,horizon_200
79,1,0,DONE_FAIL,74,horizon_200
80,1,1,DONE_OK,88,horizon_200
81,1,1,DONE_OK,131,horizon_200
82,1,1,DONE_OK,93,horizon_200
83,1,0,DONE_FAIL,200,horizon_200
84,1,1,DONE_OK,125,horizon_200
85,2,1,DONE_OK,98,horizon_200
86,1,1,DONE_OK,106,horizon_200
87,1,0,DONE_FAIL,200,horizon_200
88,1,1,DONE_OK,108,horizon_200
89,1,0,DONE_FAIL,146,horizon_200
90,1,1,DONE_OK,94,horizon_200
91,1,1,DONE_OK,69,horizon_200
92,1,0,DONE_FAIL,200,horizon_200
93,1,1,DONE_OK,87,horizon_200
94,1,1,DONE_OK,136,horizon_200
95,1,1,DONE_OK,101,horizon_200
96,1,1,DONE_OK,101,horizon_200
97,1,1,DONE_OK,109,horizon_200
98,1,1,DONE_OK,108,horizon_200
99,1,1,DONE_OK,118,horizon_200
