episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,139,nearxy_0.12
1,1,1,DONE_OK,162,nearxy_0.12
2,1,1,DONE_OK,134,nearxy_0.12
3,1,0,DONE_FAIL,300,nearxy_0.12
4,1,1,DONE_OK,94,nearxy_0.12
5,1,1,DONE_OK,96,nearxy_0.12
6,1,1,DONE_OK,123,nearxy_0.12
7,1,1,DONE_OK,118,nearxy_0.12
8,1,1,DONE_OK,110,nearxy_0.12
9,1,1,DONE_OK,92,nearxy_0.12
10,1,1,DONE_OK,144,nearxy_0.12
11,1,1,DONE_OK,119,nearxy_0.12
12,1,1,DONE_OK,146,nearxy_0.12
13,1,1,DONE_OK,109,nearxy_0.12
14,1,1,DONE_OK,114,nearxy_0.12
15,1,0,DONE_FAIL,300,nearxy_0.12
16,1,0,DONE_FAIL,300,nearxy_0.12
17,1,1,DONE_OK,96,nearxy_0.12
18,1,1,DONE_OK,133,nearxy_0.12
19,1,1,DONE_OK,118,nearxy_0.12
20,1,1,DONE_OK,209,nearxy_0.12
21,1,1,DONE_OK,89,nearxy_0.12
22,1,1,DONE_OK,134,nearxy_0.12
23,1,1,DONE_OK,94,nearxy_0.12
24,1,1,DONE_OK,141,nearxy_0.12
25,1,1,DONE_OK,96,nearxy_0.12
26,1,1,DONE_OK,120,nearxy_0.12
27,1,0,DONE_FAIL,300,nearxy_0.12
28,1,1,DONE_OK,209,nearxy_0.12
29,1,1,DONE_OK,140,nearxy_0.12
30,1,1,DONE_OK,171,nearxy_0.12
31,1,1,DONE_OK,110,nearxy_0.12
32,1,1,DONE_OK,155,nearxy_0.12
33,1,1,DONE_OK,98,nearxy_0.12
34,1,0,DONE_FAIL,300,nearxy_0.12
35,2,1,DONE_OK,127,nearxy_0.12
36,1,1,DONE_OK,122,nearxy_0.12
37,1,1,DONE_OK,143,nearxy_0.12
38,1,0,DONE_FAIL,300,nearxy_0.12
39,1,1,DONE_OK,112,nearxy_0.12
40,1,1,DONE_OK,142,nearxy_0.12
41,1,0,DONE_FAIL,300,nearxy_0.12
42,1,1,DONE_OK,93,nearxy_0.12
43,1,1,DONE_OK,93,nearxy_0.12
44,1,0,DONE_FAIL,300,nearxy_0.12
45,1,1,DONE_OK,99,nearxy_0.12
46,1,1,DONE_OK,120,nearxy_0.12
47,1,0,DONE_FAIL,300,nearxy_0.12
48,1,1,DONE_OK,134,nearxy_0.12
49,1,1,DONE_OK,127,nearxy_0.12
50,1,1,DONE_OK,167,nearxy_0.12
51,1,1,DONE_OK,97,nearxy_0.12
52,1,1,DONE_OK,204,nearxy_0.12
53,1,1,DONE_OK,132,nearxy_0.12
54,1,0,DONE_FAIL,300,nearxy_0.12
55,1,1,DONE_OK,133,nearxy_0.12
56,1,1,DONE_OK,144,nearxy_0.12
57,1,1,DONE_OK,107,nearxy_0.12
58,1,0,DONE_FAIL,300,nearxy_0.12
59,1,1,DONE_OK,121,nearxy_0.12
60,1,1,DONE_OK,146,nearxy_0.12
61,1,0,DONE_FAIL,103,nearxy_0.12
62,1,0,DONE_FAIL,300,nearxy_0.12
63,1,1,DONE_OK,122,nearxy_0.12
64,1,1,DONE_OK,128,nearxy_0.12
65,1,0,DONE_FAIL,300,nearxy_0.12
66,1,1,DONE_OK,80,nearxy_0.12
67,1,1,DONE_OK,129,nearxy_0.12
68,1,1,DONE_OK,145,nearxy_0.12
69,1,1,DONE_OK,168,nearxy_0.12
70,1,1,DONE_OK,95,nearxy_0.12
71,1,1,DONE_OK,142,nearxy_0.12
72,1,1,DONE_OK,130,nearxy_0.12
73,1,1,DONE_OK,111,nearxy_0.12
74,1,1,DONE_OK,120,nearxy_0.12
75,1,1,DONE_OK,135,nearxy_0.12
76,1,1,DONE_OK,183,nearxy_0.12
77,1,1,DONE_OK,140,nearxy_0.12
78,1,1,DONE_OK,147,nearxy_0.12
79,1,0,DONE_FAIL,300,nearxy_0.12
80,1,1,DONE_OK,91,nearxy_0.12
81,1,1,DONE_OK,131,nearxy_0.12
82,1,1,DONE_OK,168,nearxy_0.12
83,1,0,DONE_FAIL,300,nearxy_0.12
84,1,1,DONE_OK,129,nearxy_0.12
85,2,1,DONE_OK,100,nearxy_0.12
86,1,1,DONE_OK,117,nearxy_0.12
87,1,0,DONE_FAIL,300,nearxy_0.12
88,1,1,DONE_OK,136,nearxy_0.12
89,1,0,DONE_FAIL,150,nearxy_0.12
90,1,1,DONE_OK,95,nearxy_0.12
91,1,1,DONE_OK,69,nearxy_0.12
92,1,0,DONE_FAIL,300,nearxy_0.12
93,1,1,DONE_OK,92,nearxy_0.12
94,1,1,DONE_OK,140,nearxy_0.12
95,1,1,DONE_OK,105,nearxy_0.12
96,1,0,DONE_FAIL,300,nearxy_0.12
97,1,1,DONE_OK,115,nearxy_0.12
98,1,1,DONE_OK,107,nearxy_0.12
99,1,1,DONE_OK,120,nearxy_0.12
