episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,132,rcsteps_20
1,1,1,DONE_OK,151,rcsteps_20
2,1,1,DONE_OK,103,rcsteps_20
3,1,0,DONE_FAIL,300,rcsteps_20
4,1,1,DONE_OK,82,rcsteps_20
5,1,1,DONE_OK,92,rcsteps_20
6,1,1,DONE_OK,114,rcsteps_20
7,1,1,DONE_OK,111,rcsteps_20
8,1,1,DONE_OK,105,rcsteps_20
9,1,1,DONE_OK,86,rcsteps_20
10,1,1,DONE_OK,141,rcsteps_20
11,1,1,DONE_OK,108,rcsteps_20
12,1,1,DONE_OK,143,rcsteps_20
13,1,1,DONE_OK,106,rcsteps_20
14,1,1,DONE_OK,108,rcsteps_20
15,1,0,DONE_FAIL,300,rcsteps_20
16,1,0,DONE_FAIL,300,rcsteps_20
17,1,1,DONE_OK,89,rcsteps_20
18,1,1,DONE_OK,129,rcsteps_20
19,1,1,DONE_OK,112,rcsteps_20
20,1,1,DONE_OK,205,rcsteps_20
21,1,1,DONE_OK,83,rcsteps_20
22,1,1,DONE_OK,129,rcsteps_20
23,1,1,DONE_OK,53,rcsteps_20
24,1,1,DONE_OK,132,rcsteps_20
25,1,1,DONE_OK,88,rcsteps_20
26,1,1,DONE_OK,108,rcsteps_20
27,1,0,DONE_FAIL,300,rcsteps_20
28,1,1,DONE_OK,211,rcsteps_20
29,1,1,DONE_OK,132,rcsteps_20
30,1,1,DONE_OK,165,rcsteps_20
31,1,1,DONE_OK,99,rcsteps_20
32,1,1,DONE_OK,150,rcsteps_20
33,1,1,DONE_OK,85,rcsteps_20
34,1,0,DONE_FAIL,300,rcsteps_20
35,2,1,DONE_OK,124,rcsteps_20
36,1,1,DONE_OK,118,rcsteps_20
37,1,1,DONE_OK,138,rcsteps_20
38,1,0,DONE_FAIL,300,rcsteps_20
39,1,1,DONE_OK,95,rcsteps_20
40,1,1,DONE_OK,133,rcsteps_20
41,1,0,DONE_FAIL,300,rcsteps_20
42,1,1,DONE_OK,84,rcsteps_20
43,1,1,DONE_OK,80,rcsteps_20
44,1,0,DONE_FAIL,300,rcsteps_20
45,1,1,DONE_OK,93,rcsteps_20
46,1,1,DONE_OK,112,rcsteps_20
47,1,0,DONE_FAIL,300,rcsteps_20
48,1,1,DONE_OK,127,rcsteps_20
49,1,1,DONE_OK,126,rcsteps_20
50,1,1,DONE_OK,159,rcsteps_20
51,1,1,DONE_OK,96,rcsteps_20
52,1,1,DONE_OK,188,rcsteps_20
53,1,1,DONE_OK,119,rcsteps_20
54,1,1,DONE_OK,117,rcsteps_20
55,1,1,DONE_OK,128,rcsteps_20
56,1,1,DONE_OK,138,rcsteps_20
57,1,1,DONE_OK,114,rcsteps_20
58,1,0,DONE_FAIL,300,rcsteps_20
59,1,1,DONE_OK,103,rcsteps_20
60,1,1,DONE_OK,140,rcsteps_20
61,1,0,DONE_FAIL,91,rcsteps_20
62,1,0,DONE_FAIL,300,rcsteps_20
63,1,1,DONE_OK,119,rcsteps_20
64,1,1,DONE_OK,125,rcsteps_20
65,1,0,DONE_FAIL,300,rcsteps_20
66,1,1,DONE_OK,80,rcsteps_20
67,1,1,DONE_OK,126,rcsteps_20
68,1,1,DONE_OK,132,rcsteps_20
69,1,1,DONE_OK,160,rcsteps_20
70,1,1,DONE_OK,82,rcsteps_20
71,1,1,DONE_OK,131,rcsteps_20
72,1,1,DONE_OK,114,rcsteps_20
73,1,1,DONE_OK,105,rcsteps_20
74,1,1,DONE_OK,77,rcsteps_20
75,1,1,DONE_OK,129,rcsteps_20
76,1,1,DONE_OK,173,rcsteps_20
77,1,1,DONE_OK,106,rcsteps_20
78,1,1,DONE_OK,141,rcsteps_20
79,1,0,DONE_FAIL,74,rcsteps_20
80,1,1,DONE_OK,78,rcsteps_20
81,1,1,DONE_OK,100,rcsteps_20
82,1,1,DONE_OK,72,rcsteps_20
83,1,0,DONE_FAIL,300,rcsteps_20
84,1,1,DONE_OK,117,rcsteps_20
85,2,1,DONE_OK,94,rcsteps_20
86,1,1,DONE_OK,97,rcsteps_20
87,1,0,DONE_FAIL,300,rcsteps_20
88,1,1,DONE_OK,104,rcsteps_20
89,1,0,DONE_FAIL,136,rcsteps_20
90,1,1,DONE_OK,90,rcsteps_20
91,1,1,DONE_OK,69,rcsteps_20
92,1,0,DONE_FAIL,300,rcsteps_20
93,1,1,DONE_OK,83,rcsteps_20
94,1,1,DONE_OK,129,rcsteps_20
95,1,1,DONE_OK,91,rcsteps_20
96,1,1,DONE_OK,91,rcsteps_20
97,1,1,DONE_OK,99,rcsteps_20
98,1,1,DONE_OK,103,rcsteps_20
99,1,1,DONE_OK,111,rcsteps_20
