episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,134,rctol_0.04
1,1,1,DONE_OK,153,rctol_0.04
2,1,1,DONE_OK,102,rctol_0.04
3,1,0,DONE_FAIL,300,rctol_0.04
4,1,1,DONE_OK,91,rctol_0.04
5,1,1,DONE_OK,90,rctol_0.04
6,1,1,DONE_OK,110,rctol_0.04
7,1,1,DONE_OK,112,rctol_0.04
8,1,1,DONE_OK,105,rctol_0.04
9,1,1,DONE_OK,89,rctol_0.04
10,1,1,DONE_OK,140,rctol_0.04
11,1,1,DONE_OK,111,rctol_0.04
12,1,1,DONE_OK,142,rctol_0.04
13,1,1,DONE_OK,106,rctol_0.04
14,1,1,DONE_OK,108,rctol_0.04
15,1,0,DONE_FAIL,300,rctol_0.04
16,1,0,DONE_FAIL,300,rctol_0.04
17,1,1,DONE_OK,92,rctol_0.04
18,1,1,DONE_OK,128,rctol_0.04
19,1,1,DONE_OK,113,rctol_0.04
20,1,1,DONE_OK,204,rctol_0.04
21,1,1,DONE_OK,86,rctol_0.04
22,1,1,DONE_OK,129,rctol_0.04
23,1,1,DONE_OK,52,rctol_0.04
24,1,1,DONE_OK,136,rctol_0.04
25,1,1,DONE_OK,93,rctol_0.04
26,1,1,DONE_OK,110,rctol_0.04
27,1,0,DONE_FAIL,300,rctol_0.04
28,1,1,DONE_OK,212,rctol_0.04
29,1,1,DONE_OK,133,rctol_0.04
30,1,1,DONE_OK,164,rctol_0.04
31,1,1,DONE_OK,102,rctol_0.04
32,1,1,DONE_OK,149,rctol_0.04
33,1,1,DONE_OK,95,rctol_0.04
34,1,0,DONE_FAIL,300,rctol_0.04
35,2,1,DONE_OK,123,rctol_0.04
36,1,1,DONE_OK,118,rctol_0.04
37,1,1,DONE_OK,139,rctol_0.04
38,1,0,DONE_FAIL,300,rctol_0.04
39,1,1,DONE_OK,99,rctol_0.04
40,1,1,DONE_OK,137,rctol_0.04
41,1,0,DONE_FAIL,300,rctol_0.04
42,1,1,DONE_OK,86,rctol_0.04
43,1,1,DONE_OK,90,rctol_0.04
44,1,0,DONE_FAIL,300,rctol_0.04
45,1,1,DONE_OK,92,rctol_0.04
46,1,1,DONE_OK,113,rctol_0.04
47,1,0,DONE_FAIL,300,rctol_0.04
48,1,1,DONE_OK,127,rctol_0.04
49,1,1,DONE_OK,124,rctol_0.04
50,1,1,DONE_OK,159,rctol_0.04
51,1,1,DONE_OK,96,rctol_0.04
52,1,1,DONE_OK,198,rctol_0.04
53,1,1,DONE_OK,140,rctol_0.04
54,1,1,DONE_OK,124,rctol_0.04
55,1,1,DONE_OK,128,rctol_0.04
56,1,1,DONE_OK,138,rctol_0.04
57,1,1,DONE_OK,118,rctol_0.04
58,1,0,DONE_FAIL,300,rctol_0.04
59,1,1,DONE_OK,113,rctol_0.04
60,1,1,DONE_OK,141,rctol_0.04
61,1,0,DONE_FAIL,94,rctol_0.04
62,1,0,DONE_FAIL,300,rctol_0.04
63,1,1,DONE_OK,118,rctol_0.04
64,1,1,DONE_OK,124,rctol_0.04
65,1,0,DONE_FAIL,300,rctol_0.04
66,1,1,DONE_OK,80,rctol_0.04
67,1,1,DONE_OK,125,rctol_0.04
68,1,1,DONE_OK,134,rctol_0.04
69,1,1,DONE_OK,160,rctol_0.04
70,1,1,DONE_OK,92,rctol_0.04
71,1,1,DONE_OK,133,rctol_0.04
72,1,1,DONE_OK,123,rctol_0.04
73,1,1,DONE_OK,109,rctol_0.04
74,1,1,DONE_OK,115,rctol_0.04
75,1,1,DONE_OK,129,rctol_0.04
76,1,1,DONE_OK,174,rctol_0.04
77,1,1,DONE_OK,109,rctol_0.04
78,1,1,DONE_OK,142,rctol_0.04
79,1,0,DONE_FAIL,74,rctol_0.04
80,1,1,DONE_OK,88,rctol_0.04
81,1,1,DONE_OK,99,rctol_0.04
82,1,1,DONE_OK,79,rctol_0.04
83,1,0,DONE_FAIL,300,rctol_0.04
84,1,1,DONE_OK,121,rctol_0.04
85,2,1,DONE_OK,94,rctol_0.04
86,1,1,DONE_OK,101,rctol_0.04
87,1,0,DONE_FAIL,300,rctol_0.04
88,1,1,DONE_OK,104,rctol_0.04
89,1,0,DONE_FAIL,146,rctol_0.04
90,1,1,DONE_OK,90,rctol_0.04
91,1,1,DONE_OK,69,rctol_0.04
92,1,0,DONE_FAIL,300,rctol_0.04
93,1,1,DONE_OK,83,rctol_0.04
94,1,1,DONE_OK,131,rctol_0.04
95,1,1,DONE_OK,101,rctol_0.04
96,1,1,DONE_OK,101,rctol_0.04
97,1,1,DONE_OK,106,rctol_0.04
98,1,1,DONE_OK,103,rctol_0.04
99,1,1,DONE_OK,113,rctol_0.04
