episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,139,trighold_5
1,1,1,DONE_OK,159,trighold_5
2,1,1,DONE_OK,134,trighold_5
3,1,0,DONE_FAIL,300,trighold_5
4,1,1,DONE_OK,94,trighold_5
5,1,1,DONE_OK,96,trighold_5
6,1,1,DONE_OK,120,trighold_5
7,1,1,DONE_OK,117,trighold_5
8,1,1,DONE_OK,110,trighold_5
9,1,1,DONE_OK,92,trighold_5
10,1,1,DONE_OK,145,trighold_5
11,1,1,DONE_OK,117,trighold_5
12,1,1,DONE_OK,146,trighold_5
13,1,1,DONE_OK,110,trighold_5
14,1,1,DONE_OK,114,trighold_5
15,1,0,DONE_FAIL,300,trighold_5
16,1,0,DONE_FAIL,300,trighold_5
17,1,1,DONE_OK,96,trighold_5
18,1,1,DONE_OK,133,trighold_5
19,1,1,DONE_OK,118,trighold_5
20,1,1,DONE_OK,209,trighold_5
21,1,1,DONE_OK,89,trighold_5
22,1,1,DONE_OK,134,trighold_5
23,1,1,DONE_OK,65,trighold_5
24,1,1,DONE_OK,141,trighold_5
25,1,1,DONE_OK,95,trighold_5
26,1,1,DONE_OK,117,trighold_5
27,1,0,DONE_FAIL,300,trighold_5
28,1,1,DONE_OK,214,trighold_5
29,1,1,DONE_OK,139,trighold_5
30,1,1,DONE_OK,169,trighold_5
31,1,1,DONE_OK,108,trighold_5
32,1,1,DONE_OK,155,trighold_5
33,1,1,DONE_OK,97,trighold_5
34,1,0,DONE_FAIL,300,trighold_5
35,2,1,DONE_OK,127,trighold_5
36,1,1,DONE_OK,122,trighold_5
37,1,1,DONE_OK,143,trighold_5
38,1,0,DONE_FAIL,300,trighold_5
39,1,1,DONE_OK,107,trighold_5
40,1,1,DONE_OK,142,trighold_5
41,1,0,DONE_FAIL,300,trighold_5
42,1,1,DONE_OK,91,trighold_5
43,1,1,DONE_OK,92,trighold_5
44,1,0,DONE_FAIL,300,trighold_5
45,1,1,DONE_OK,98,trighold_5
46,1,1,DONE_OK,119,trighold_5
47,1,0,DONE_FAIL,300,trighold_5
48,1,1,DONE_OK,132,trighold_5
49,1,1,DONE_OK,128,trighold_5
50,1,1,DONE_OK,166,trighold_5
51,1,1,DONE_OK,105,trighold_5
52,1,1,DONE_OK,199,trighold_5
53,1,1,DONE_OK,131,trighold_5
54,1,1,DONE_OK,145,trighold_5
55,1,1,DONE_OK,133,trighold_5
56,1,1,DONE_OK,143,trighold_5
57,1,1,DONE_OK,125,trighold_5
58,1,0,DONE_FAIL,300,trighold_5
59,1,1,DONE_OK,115,trighold_5
60,1,1,DONE_OK,146,trighold_5
61,1,0,DONE_FAIL,96,trighold_5
62,1,0,DONE_FAIL,300,trighold_5
63,1,1,DONE_OK,123,trighold_5
64,1,1,DONE_OK,129,trighold_5
65,1,0,DONE_FAIL,300,trighold_5
66,1,1,DONE_OK,81,trighold_5
67,1,1,DONE_OK,130,trighold_5
68,1,1,DONE_OK,141,trighold_5
69,1,1,DONE_OK,166,trighold_5
70,1,1,DONE_OK,94,trighold_5
71,1,1,DONE_OK,139,trighold_5
72,1,1,DONE_OK,125,trighold_5
73,1,1,DONE_OK,117,trighold_5
74,1,1,DONE_OK,117,trighold_5
75,1,1,DONE_OK,135,trighold_5
76,1,1,DONE_OK,181,trighold_5
77,1,1,DONE_OK,141,trighold_5
78,1,1,DONE_OK,147,trighold_5
79,1,0,DONE_FAIL,300,trighold_5
80,1,1,DONE_OK,90,trighold_5
81,1,1,DONE_OK,131,trighold_5
82,1,1,DONE_OK,94,trighold_5
83,1,0,DONE_FAIL,300,trighold_5
84,1,1,DONE_OK,126,trighold_5
85,2,1,DONE_OK,99,trighold_5
86,1,1,DONE_OK,108,trighold_5
87,1,0,DONE_FAIL,300,trighold_5
88,1,1,DONE_OK,108,trighold_5
89,1,0,DONE_FAIL,148,trighold_5
90,1,1,DONE_OK,95,trighold_5
91,1,1,DONE_OK,69,trighold_5
92,1,0,DONE_FAIL,300,trighold_5
93,1,1,DONE_OK,88,trighold_5
94,1,1,DONE_OK,138,trighold_5
95,1,1,DONE_OK,103,trighold_5
96,1,1,DONE_OK,103,trighold_5
97,1,1,DONE_OK,111,trighold_5
98,1,1,DONE_OK,108,trighold_5
99,1,1,DONE_OK,119,trighold_5
