episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,117,tscale_0.7
1,1,1,DONE_OK,136,tscale_0.7
2,1,1,DONE_OK,91,tscale_0.7
3,1,0,DONE_FAIL,136,tscale_0.7
4,1,1,DONE_OK,87,tscale_0.7
5,1,1,DONE_OK,86,tscale_0.7
6,1,1,DONE_OK,118,tscale_0.7
7,1,1,DONE_OK,107,tscale_0.7
8,1,1,DONE_OK,102,tscale_0.7
9,1,1,DONE_OK,85,tscale_0.7
10,1,1,DONE_OK,126,tscale_0.7
11,1,1,DONE_OK,113,tscale_0.7
12,1,1,DONE_OK,119,tscale_0.7
13,1,1,DONE_OK,99,tscale_0.7
14,1,1,DONE_OK,95,tscale_0.7
15,1,1,DONE_OK,142,tscale_0.7
16,1,0,DONE_FAIL,300,tscale_0.7
17,1,1,DONE_OK,88,tscale_0.7
18,1,1,DONE_OK,115,tscale_0.7
19,1,1,DONE_OK,112,tscale_0.7
20,1,1,DONE_OK,155,tscale_0.7
21,1,1,DONE_OK,96,tscale_0.7
22,1,1,DONE_OK,90,tscale_0.7
23,1,1,DONE_OK,60,tscale_0.7
24,1,1,DONE_OK,120,tscale_0.7
25,1,1,DONE_OK,89,tscale_0.7
26,1,1,DONE_OK,110,tscale_0.7
27,1,0,DONE_FAIL,300,tscale_0.7
28,1,1,DONE_OK,133,tscale_0.7
29,1,1,DONE_OK,115,tscale_0.7
30,1,1,DONE_OK,129,tscale_0.7
31,1,1,DONE_OK,101,tscale_0.7
32,1,1,DONE_OK,112,tscale_0.7
33,1,1,DONE_OK,92,tscale_0.7
34,1,0,DONE_FAIL,300,tscale_0.7
35,2,1,DONE_OK,97,tscale_0.7
36,1,1,DONE_OK,91,tscale_0.7
37,1,1,DONE_OK,173,tscale_0.7
38,1,0,DONE_FAIL,300,tscale_0.7
39,1,1,DONE_OK,100,tscale_0.7
40,1,1,DONE_OK,122,tscale_0.7
41,1,0,DONE_FAIL,300,tscale_0.7
42,1,1,DONE_OK,86,tscale_0.7
43,1,1,DONE_OK,87,tscale_0.7
44,1,0,DONE_FAIL,100,tscale_0.7
45,1,1,DONE_OK,88,tscale_0.7
46,1,1,DONE_OK,109,tscale_0.7
47,1,1,DONE_OK,47,tscale_0.7
48,1,1,DONE_OK,115,tscale_0.7
49,1,0,DONE_FAIL,103,tscale_0.7
50,1,0,DONE_FAIL,300,tscale_0.7
51,1,1,DONE_OK,91,tscale_0.7
52,1,1,DONE_OK,155,tscale_0.7
53,1,1,DONE_OK,110,tscale_0.7
54,1,1,DONE_OK,102,tscale_0.7
55,1,1,DONE_OK,99,tscale_0.7
56,1,1,DONE_OK,123,tscale_0.7
57,1,1,DONE_OK,103,tscale_0.7
58,1,0,DONE_FAIL,300,tscale_0.7
59,1,1,DONE_OK,97,tscale_0.7
60,1,1,DONE_OK,123,tscale_0.7
61,1,0,DONE_FAIL,83,tscale_0.7
62,1,0,DONE_FAIL,300,tscale_0.7
63,1,1,DONE_OK,112,tscale_0.7
64,1,1,DONE_OK,93,tscale_0.7
65,1,1,DONE_OK,119,tscale_0.7
66,1,1,DONE_OK,79,tscale_0.7
67,1,1,DONE_OK,112,tscale_0.7
68,1,1,DONE_OK,117,tscale_0.7
69,1,1,DONE_OK,126,tscale_0.7
70,1,1,DONE_OK,87,tscale_0.7
71,1,1,DONE_OK,98,tscale_0.7
72,1,1,DONE_OK,101,tscale_0.7
73,1,1,DONE_OK,91,tscale_0.7
74,1,1,DONE_OK,110,tscale_0.7
75,1,1,DONE_OK,124,tscale_0.7
76,1,1,DONE_OK,165,tscale_0.7
77,1,1,DONE_OK,100,tscale_0.7
78,1,1,DONE_OK,123,tscale_0.7
79,1,1,DONE_OK,62,tscale_0.7
80,1,1,DONE_OK,85,tscale_0.7
81,1,1,DONE_OK,114,tscale_0.7
82,1,1,DONE_OK,73,tscale_0.7
83,1,1,DONE_OK,134,tscale_0.7
84,1,1,DONE_OK,100,tscale_0.7
85,2,1,DONE_OK,90,tscale_0.7
86,1,1,DONE_OK,101,tscale_0.7
87,1,0,DONE_FAIL,300,tscale_0.7
88,1,1,DONE_OK,118,tscale_0.7
89,1,1,DONE_OK,112,tscale_0.7
90,1,1,DONE_OK,87,tscale_0.7
91,1,1,DONE_OK,69,tscale_0.7
92,1,0,DONE_FAIL,300,tscale_0.7
93,1,1,DONE_OK,81,tscale_0.7
94,1,1,DONE_OK,97,tscale_0.7
95,1,1,DONE_OK,93,tscale_0.7
96,1,1,DONE_OK,83,tscale_0.7
97,1,1,DONE_OK,95,tscale_0.7
98,1,1,DONE_OK,92,tscale_0.7
99,1,1,DONE_OK,112,tscale_0.7
