episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,106,ts065_cg6
1,1,1,DONE_OK,115,ts065_cg6
2,1,1,DONE_OK,115,ts065_cg6
3,1,1,DONE_OK,147,ts065_cg6
4,1,1,DONE_OK,89,ts065_cg6
5,1,1,DONE_OK,99,ts065_cg6
6,1,1,DONE_OK,83,ts065_cg6
7,1,1,DONE_OK,74,ts065_cg6
8,1,1,DONE_OK,126,ts065_cg6
9,1,0,DONE_FAIL,300,ts065_cg6
10,1,1,DONE_OK,104,ts065_cg6
11,1,1,DONE_OK,109,ts065_cg6
12,1,1,DONE_OK,109,ts065_cg6
13,1,1,DONE_OK,82,ts065_cg6
14,1,1,DONE_OK,106,ts065_cg6
15,1,1,DONE_OK,115,ts065_cg6
16,1,1,DONE_OK,140,ts065_cg6
17,1,1,DONE_OK,113,ts065_cg6
18,1,1,DONE_OK,96,ts065_cg6
19,1,1,DONE_OK,103,ts065_cg6
20,1,1,DONE_OK,88,ts065_cg6
21,1,1,DONE_OK,84,ts065_cg6
22,1,1,DONE_OK,120,ts065_cg6
23,1,1,DONE_OK,115,ts065_cg6
24,1,1,DONE_OK,92,ts065_cg6
25,1,1,DONE_OK,70,ts065_cg6
26,1,1,DONE_OK,123,ts065_cg6
27,1,1,DONE_OK,83,ts065_cg6
28,1,1,DONE_OK,85,ts065_cg6
29,1,1,DONE_OK,77,ts065_cg6
30,1,1,DONE_OK,117,ts065_cg6
31,1,1,DONE_OK,82,ts065_cg6
32,1,0,DONE_FAIL,300,ts065_cg6
33,1,1,DONE_OK,115,ts065_cg6
34,1,0,DONE_FAIL,300,ts065_cg6
35,1,1,DONE_OK,91,ts065_cg6
36,1,1,DONE_OK,101,ts065_cg6
37,1,1,DONE_OK,93,ts065_cg6
38,1,0,DONE_FAIL,300,ts065_cg6
39,1,1,DONE_OK,117,ts065_cg6
40,1,1,DONE_OK,91,ts065_cg6
41,1,1,DONE_OK,38,ts065_cg6
42,1,1,DONE_OK,117,ts065_cg6
43,1,1,DONE_OK,85,ts065_cg6
44,1,1,DONE_OK,89,ts065_cg6
45,1,1,DONE_OK,85,ts065_cg6
46,1,1,DONE_OK,93,ts065_cg6
47,1,1,DONE_OK,144,ts065_cg6
48,1,0,DONE_FAIL,300,ts065_cg6
49,1,1,DONE_OK,37,ts065_cg6
50,1,1,DONE_OK,91,ts065_cg6
51,1,1,DONE_OK,96,ts065_cg6
52,1,1,DONE_OK,87,ts065_cg6
53,1,1,DONE_OK,107,ts065_cg6
54,1,1,DONE_OK,238,ts065_cg6
55,1,1,DONE_OK,93,ts065_cg6
56,1,1,DONE_OK,121,ts065_cg6
57,1,1,DONE_OK,89,ts065_cg6
58,1,1,DONE_OK,43,ts065_cg6
59,1,1,DONE_OK,114,ts065_cg6
60,1,1,DONE_OK,77,ts065_cg6
61,1,0,DONE_FAIL,300,ts065_cg6
62,2,1,DONE_OK,99,ts065_cg6
63,1,1,DONE_OK,96,ts065_cg6
64,1,1,DONE_OK,115,ts065_cg6
65,1,1,DONE_OK,84,ts065_cg6
66,1,1,DONE_OK,85,ts065_cg6
67,1,1,DONE_OK,120,ts065_cg6
68,1,1,DONE_OK,117,ts065_cg6
69,1,0,DONE_FAIL,300,ts065_cg6
70,1,1,DONE_OK,119,ts065_cg6
71,2,1,DONE_OK,120,ts065_cg6
72,1,1,DONE_OK,118,ts065_cg6
73,1,0,DONE_FAIL,300,ts065_cg6
74,1,1,DONE_OK,121,ts065_cg6
75,1,1,DONE_OK,58,ts065_cg6
76,1,1,DONE_OK,86,ts065_cg6
77,1,1,DONE_OK,76,ts065_cg6
78,1,0,DONE_FAIL,123,ts065_cg6
79,1,1,DONE_OK,61,ts065_cg6
80,1,1,DONE_OK,122,ts065_cg6
81,1,1,DONE_OK,92,ts065_cg6
82,1,1,DONE_OK,90,ts065_cg6
83,1,1,DONE_OK,92,ts065_cg6
84,1,1,DONE_OK,87,ts065_cg6
85,1,0,DONE_FAIL,300,ts065_cg6
86,1,1,DONE_OK,121,ts065_cg6
87,1,1,DONE_OK,124,ts065_cg6
88,1,1,DONE_OK,119,ts065_cg6
89,1,1,DONE_OK,119,ts065_cg6
90,1,1,DONE_OK,101,ts065_cg6
91,1,1,DONE_OK,99,ts065_cg6
92,1,1,DONE_OK,120,ts065_cg6
93,1,1,DONE_OK,98,ts065_cg6
94,1,1,DONE_OK,77,ts065_cg6
95,1,1,DONE_OK,108,ts065_cg6
96,1,1,DONE_OK,90,ts065_cg6
97,1,1,DONE_OK,124,ts065_cg6
98,1,1,DONE_OK,71,ts065_cg6
99,1,1,DONE_OK,107,ts065_cg6
