episode,attempts,success,phase,steps,tag
0,1,1,DONE_OK,106,ts070
1,1,1,DONE_OK,112,ts070
2,1,1,DONE_OK,116,ts070
3,1,1,DONE_OK,92,ts070
4,1,1,DONE_OK,113,ts070
5,1,1,DONE_OK,92,ts070
6,1,1,DONE_OK,156,ts070
7,1,1,DONE_OK,128,ts070
8,1,1,DONE_OK,91,ts070
9,1,1,DONE_OK,101,ts070
10,1,0,DONE_FAIL,300,ts070
11,1,0,DONE_FAIL,300,ts070
12,1,1,DONE_OK,121,ts070
13,1,1,DONE_OK,111,ts070
14,1,1,DONE_OK,129,ts070
15,1,1,DONE_OK,122,ts070
16,1,1,DONE_OK,114,ts070
17,1,1,DONE_OK,116,ts070
18,1,1,DONE_OK,90,ts070
19,1,1,DONE_OK,84,ts070
20,1,1,DONE_OK,100,ts070
21,1,1,DONE_OK,87,ts070
22,1,1,DONE_OK,101,ts070
23,1,1,DONE_OK,141,ts070
24,1,1,DONE_OK,87,ts070
25,1,1,DONE_OK,92,ts070
26,1,0,DONE_FAIL,300,ts070
27,1,1,DONE_OK,129,ts070
28,1,0,DONE_FAIL,98,ts070
29,1,1,DONE_OK,98,ts070
30,1,1,DONE_OK,99,ts070
31,1,0,DONE_FAIL,300,ts070
32,1,1,DONE_OK,106,ts070
33,1,0,DONE_FAIL,119,ts070
34,1,1,DONE_OK,57,ts070
35,1,1,DONE_OK,101,ts070
36,1,0,DONE_FAIL,300,ts070
37,1,1,DONE_OK,75,ts070
38,1,1,DONE_OK,117,ts070
39,1,1,DONE_OK,93,ts070
40,1,1,DONE_OK,114,ts070
41,1,1,DONE_OK,125,ts070
42,1,1,DONE_OK,128,ts070
43,1,1,DONE_OK,139,ts070
44,1,1,DONE_OK,91,ts070
45,1,1,DONE_OK,118,ts070
46,1,1,DONE_OK,127,ts070
47,1,1,DONE_OK,90,ts070
48,1,1,DONE_OK,96,ts070
49,1,1,DONE_OK,81,ts070
50,1,0,DONE_FAIL,131,ts070
51,1,1,DONE_OK,94,ts070
52,1,1,DONE_OK,128,ts070
53,1,1,DONE_OK,124,ts070
54,1,1,DONE_OK,124,ts070
55,1,1,DONE_OK,113,ts070
56,1,1,DONE_OK,64,ts070
57,1,1,DONE_OK,81,ts070
58,1,0,DONE_FAIL,300,ts070
59,1,0,DONE_FAIL,300,ts070
60,1,1,DONE_OK,98,ts070
61,1,1,DONE_OK,97,ts070
62,1,0,DONE_FAIL,300,ts070
63,1,1,DONE_OK,116,ts070
64,1,1,DONE_OK,75,ts070
65,1,0,DONE_FAIL,300,ts070
66,1,1,DONE_OK,90,ts070
67,1,1,DONE_OK,98,ts070
68,1,1,DONE_OK,92,ts070
69,1,1,DONE_OK,109,ts070
70,1,1,DONE_OK,93,ts070
71,1,1,DONE_OK,49,ts070
72,1,1,DONE_OK,104,ts070
73,1,0,DONE_FAIL,300,ts070
74,1,1,DONE_OK,87,ts070
75,1,1,DONE_OK,93,ts070
76,2,1,DONE_OK,88,ts070
77,1,1,DONE_OK,118,ts070
78,1,1,DONE_OK,94,ts070
79,1,1,DONE_OK,118,ts070
80,1,0,DONE_FAIL,300,ts070
81,1,1,DONE_OK,107,ts070
82,1,0,DONE_FAIL,300,ts070
83,1,1,DONE_OK,81,ts070
84,1,1,DONE_OK,108,ts070
85,2,1,DONE_OK,98,ts070
86,1,1,DONE_OK,73,ts070
87,1,0,DONE_FAIL,300,ts070
88,1,1,DONE_OK,96,ts070
89,1,1,DONE_OK,95,ts070
90,1,1,DONE_OK,92,ts070
91,1,1,DONE_OK,123,ts070
92,1,1,DONE_OK,121,ts070
93,1,1,DONE_OK,281,ts070
94,1,1,DONE_OK,86,ts070
95,1,1,DONE_OK,160,ts070
96,1,1,DONE_OK,90,ts070
97,1,1,DONE_OK,91,ts070
98,1,0,DONE_FAIL,128,ts070
99,1,1,DONE_OK,90,ts070
