episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,47,carry,int8_carry,0,1.0,1,1,0,33,27.06217184698974,0.008607152382744964,,0.115438711944719,0.729547464205067,5,60
1,47,carry,int8_carry,0,-1.0,1,1,0,42,17.415738573205715,0.005099356360097617,,0.12248911138914276,0.011345999639454707,5,26
2,47,carry,int8_carry,1,1.0,1,1,0,22,41.77222237294285,0.018996117760509853,,0.15375202145908207,0.6893686917732547,5,31
3,47,carry,int8_carry,1,-1.0,1,1,1,-1,40.11862320590494,0.007173424855581919,0.0034930958683201028,0.14432433663715039,0.055309822520002605,5,28
4,47,carry,int8_carry,0,1.0,1,0,0,-1,38.53584950443516,0.01731655063480464,,0.1980675125093463,,,50
5,47,carry,int8_carry,0,-1.0,1,1,1,-1,19.810260431921918,0.015542717563784343,0.005696712457466226,0.13130944468203365,0.6432677974349281,5,26
6,47,carry,int8_carry,1,1.0,1,1,1,-1,10.827607526043778,0.003511717624197255,0.008243313861025293,0.13324513284500983,0.04784724405755236,6,36
7,47,carry,int8_carry,1,-1.0,1,0,0,-1,14.838088431993697,0.011896196242980574,,0.040523664914905,,,40
8,47,carry,int8_carry,0,1.0,1,1,1,-1,34.54893127618584,0.002868934731203793,0.0091203888252794,0.23612748005493323,-0.0002528318873111779,5,25
9,47,carry,int8_carry,0,-1.0,1,0,0,-1,0.6680446646379892,0.013621029225762306,,0.0004870709769906334,,,31
10,47,carry,int8_carry,1,1.0,1,0,0,-1,19.017624800181395,0.005426175444435699,,0.0019681622273851618,,,65
11,47,carry,int8_carry,1,-1.0,0,0,0,-1,,,,,,,-1
12,47,carry,int8_carry,0,1.0,1,1,0,26,36.540263885619396,0.018079564205297577,,0.12683509929803394,0.17407890893643607,5,27
13,47,carry,int8_carry,0,-1.0,1,1,1,-1,0.2771150411111236,0.017580011921259006,0.016180883837946896,0.10902690552929672,0.4529776057699393,6,33
14,47,carry,int8_carry,1,1.0,1,1,1,-1,12.467238847470611,0.009434188097666982,0.00434783355949735,0.15310049799259118,0.006828483476962521,5,29
15,47,carry,int8_carry,1,-1.0,1,1,0,49,29.101346849379595,0.02099136799548299,,0.13322342848475377,0.9627360862802812,5,25
16,47,carry,int8_carry,0,1.0,1,1,1,-1,32.87882275101501,0.004671101824077431,0.002622486994331844,0.12739546567233717,0.15080187065116757,5,23
17,47,carry,int8_carry,0,-1.0,1,1,1,-1,2.453519471813024,0.00488190497351939,0.0015040608262286293,0.09165038610787912,0.008985715931064675,5,29
18,47,carry,int8_carry,1,1.0,0,0,0,-1,,,,,,,-1
19,47,carry,int8_carry,1,-1.0,1,1,1,-1,17.087961691947214,0.008605819631750626,0.005585746874521333,0.24526156269908317,-0.0001419674392324488,5,26
20,47,carry,int8_carry,0,1.0,1,0,0,-1,44.9978540919131,0.019401952986676678,,0.07869137785642832,,,42
21,47,carry,int8_carry,0,-1.0,1,1,0,51,37.09081089686387,0.010904203841891558,,0.1807921313247507,0.007635566395084226,5,30
22,47,carry,int8_carry,1,1.0,0,0,0,-1,,,,,,,-1
23,47,carry,int8_carry,1,-1.0,1,1,1,-1,11.132074268981754,0.007775666389739562,0.010826738234720091,0.27151963957102265,-0.00015065500754340988,5,25
24,47,carry,int8_carry,0,1.0,1,1,1,-1,0.5825057142666878,0.005386130865625302,0.005914866798733111,0.20253607430036946,0.0005360497183501955,5,28
25,47,carry,int8_carry,0,-1.0,1,1,1,-1,5.559193750106942,0.02429100470834676,0.021679780718530106,0.10662227983220918,0.2766984650826325,5,29
26,47,carry,int8_carry,1,1.0,1,1,1,-1,30.730339108523424,0.0095334264660045,0.0025719192817207693,0.12865017457824246,0.20734945870716448,5,27
27,47,carry,int8_carry,1,-1.0,1,1,1,-1,39.88652467260832,0.009713579566009302,0.007881274982575225,0.19800283249378414,-0.00012413157896951077,5,29
28,47,carry,int8_carry,0,1.0,1,1,1,-1,20.337905971735324,0.01733517129568076,0.005515165165060445,0.18867136228950088,0.00025648577872239287,5,29
29,47,carry,int8_carry,0,-1.0,1,1,1,-1,14.118631485236392,0.015343855125241442,0.0014875535795715366,0.16238279778493925,0.5673901207442724,5,28
30,47,carry,int8_carry,1,1.0,1,1,1,-1,26.753324848338917,0.016685721917631326,0.01209322963926629,0.12315054851489649,0.782874824896318,5,33
31,47,carry,int8_carry,1,-1.0,1,1,0,11,35.60767970985981,0.020867409631330384,,0.08844633441579464,0.29430997546586957,5,33
32,47,carry,int8_carry,0,1.0,1,1,1,-1,29.765085526905096,0.0034833268970942597,0.0017826169810454537,0.13419400890620303,0.1975953265475061,5,25
33,47,carry,int8_carry,0,-1.0,1,1,1,-1,21.463293719011176,0.009894124446058573,0.0033685528972537517,0.1525373881523211,-0.0003271946609406662,5,29
