episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,307,carry,mono_carry,0,1.0,1,1,1,-1,15.758226364743152,0.007268221012117607,0.02439739271780801,0.12284413145589812,0.8009043956439492,5,32
1,307,carry,mono_carry,0,-1.0,1,1,1,-1,20.975695031919628,0.0033278535051592256,0.001970151556709855,0.12904185961691317,1.1248597966515872,3,28
2,307,carry,mono_carry,1,1.0,1,1,1,-1,34.95221359422903,0.0018816951570547412,0.010001630300698552,0.13259225106449612,0.8361195892062439,5,25
3,307,carry,mono_carry,1,-1.0,1,1,1,-1,43.24632175587536,0.006909701038569017,0.009221381918804764,0.13779475654854467,0.9809607574927778,1,24
4,307,carry,mono_carry,0,1.0,1,1,1,-1,38.105092594142455,0.011333086901565776,0.0178874086691909,0.13607965027529545,0.9325609976483622,3,21
5,307,carry,mono_carry,0,-1.0,1,1,1,-1,5.68499394981626,0.002129822001593497,0.0028433229847042167,0.12585578844683587,1.1293379902239933,1,30
6,307,carry,mono_carry,1,1.0,1,1,1,-1,6.233913954298856,0.007932619812923007,0.00040762882083908984,0.13974781625119914,0.9508669767639115,3,24
7,307,carry,mono_carry,1,-1.0,1,1,1,-1,40.34583182523019,0.005397373367300607,0.007142360421187229,0.12787254090380662,0.9077346690577714,5,33
8,307,carry,mono_carry,0,1.0,1,1,1,-1,9.575884526604526,0.003933601559850195,0.012090985339027697,0.13149997288554127,0.7710151221905104,5,24
9,307,carry,mono_carry,0,-1.0,1,1,1,-1,18.22333969632192,0.005029890121188469,0.00221071235334814,0.1316706297718504,0.6810658343208909,5,23
10,307,carry,mono_carry,1,1.0,1,1,1,-1,34.32552477740279,0.0074059433959672814,0.009735993261092767,0.14267524694385758,1.081535028722184,3,24
11,307,carry,mono_carry,1,-1.0,1,1,1,-1,41.99366741990741,0.004121300010387746,0.0008881962213676146,0.13273367927201374,1.1159199494192271,1,27
12,307,carry,mono_carry,0,1.0,1,1,1,-1,5.252798769030164,0.00837864018521035,0.005777236739394332,0.14091134952970963,1.0054906687281773,1,28
13,307,carry,mono_carry,0,-1.0,1,1,1,-1,34.2053476343978,0.0074791129132120975,0.008255344370490704,0.11667825659123521,0.8648163493782448,5,21
14,307,carry,mono_carry,1,1.0,1,1,1,-1,6.1173840969517315,0.003863805783828019,0.0008284178531542041,0.12939174583666246,0.71760597621192,5,22
15,307,carry,mono_carry,1,-1.0,1,1,1,-1,0.8882485560682198,0.005117833912044319,0.003883424686266565,0.1247476014899559,1.0473561534804614,1,30
16,307,carry,mono_carry,0,1.0,1,1,1,-1,7.616278870171477,0.005308570834942936,0.025016319524136025,0.12832472061820566,0.867883491857381,5,29
17,307,carry,mono_carry,0,-1.0,1,1,1,-1,14.415771723272258,0.005221263657326841,0.004699391444803902,0.14359759241326508,1.2074788202581161,1,23
18,307,carry,mono_carry,1,1.0,1,1,1,-1,0.44743337596938204,0.006578257795234981,0.00034783903605973464,0.14137817343032222,1.2233217969190986,3,24
19,307,carry,mono_carry,1,-1.0,1,1,1,-1,7.5582078257619685,0.003617926585033362,0.0022288908509201124,0.13181764832393195,0.7472739595800704,5,25
20,307,carry,mono_carry,0,1.0,1,1,1,-1,24.18295195927186,0.00916671932924007,0.0074012979189833055,0.13702392012756492,1.0840338684744553,1,27
21,307,carry,mono_carry,0,-1.0,1,1,1,-1,1.0639833065826707,0.004463656141312165,0.0046231156893557215,0.13414978809663414,0.7502660118645319,5,25
