episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,555,hold,int8_hold,0,1.0,1,1,0,15,44.30901311288119,0.011805425774887832,,0.12400049965843774,0.26189752497751684,5,25
1,555,hold,int8_hold,0,-1.0,1,1,1,-1,25.887653407393998,0.0030907771650822815,0.0021700772097707015,0.1448684205096491,0.06864236347064034,5,23
2,555,hold,int8_hold,1,1.0,1,1,1,-1,0.5468900701682742,0.007465095743887295,0.002485442100692659,0.1154164215163952,-4.1580364372517664e-05,5,28
3,555,hold,int8_hold,1,-1.0,1,1,1,-1,41.50617765352992,0.0034807157584241825,0.00435708959221734,0.1933192707953293,0.001237799849729715,5,23
4,555,hold,int8_hold,0,1.0,1,1,1,-1,10.560452059306641,0.0019689678440773534,9.639318020851628e-05,0.13352065260898094,0.09365436684048145,5,25
5,555,hold,int8_hold,0,-1.0,1,1,1,-1,0.40826943548810846,0.008328922309102727,0.0051522014633758415,0.1741675180774792,0.005544845675704124,5,26
6,555,hold,int8_hold,1,1.0,1,1,0,39,41.89678874869894,0.010773454693973212,,0.0968328573749504,0.07200485241588384,5,40
7,555,hold,int8_hold,1,-1.0,1,0,0,-1,1.1743959910161266,0.010911589738171823,,0.014848537463653999,,,48
8,555,hold,int8_hold,0,1.0,1,0,0,-1,15.110454129222461,0.030116139012371,,0.0014114814687190558,,,31
9,555,hold,int8_hold,0,-1.0,1,1,1,-1,21.0642843081697,0.017708219811165805,0.005655117000684116,0.11621354922534599,0.7227202127707697,5,27
10,555,hold,int8_hold,1,1.0,1,1,1,-1,12.494438005524984,0.0057528694848990695,0.0075622402384056325,0.1754987431235444,0.023134092727121747,5,33
11,555,hold,int8_hold,1,-1.0,1,1,1,-1,3.217359836430731,0.00583323346948383,0.0021944338766143974,0.11522815112835993,0.08657779016178191,5,28
12,555,hold,int8_hold,0,1.0,1,1,0,38,37.883296082497026,0.016280491543267373,,0.14012540820829555,0.6978188897166655,5,28
13,555,hold,int8_hold,0,-1.0,1,1,1,-1,6.99977551507655,0.01580532816787852,0.009267030470136807,0.10879609393313194,0.7841107184139804,1,43
14,555,hold,int8_hold,1,1.0,1,0,0,-1,32.21623385403734,0.0051878770737031135,,0.04369970891865882,,,32
15,555,hold,int8_hold,1,-1.0,1,1,1,-1,4.1760262608078165,0.007025611056913169,0.010531385347244977,0.14689150734707024,0.0011473148188776428,5,35
16,555,hold,int8_hold,0,1.0,1,1,1,-1,15.054215132722987,0.004511618312128786,0.0015523635792397048,0.1753093475840074,0.013730874977166962,5,23
17,555,hold,int8_hold,0,-1.0,1,1,1,-1,3.384856550546864,0.02399600830984432,0.0011938927056433023,0.1363715869508465,0.6257324635947499,5,23
18,555,hold,int8_hold,1,1.0,1,1,1,-1,13.227433529737567,0.007677328504826926,0.002046080564092976,0.12601868582124187,0.09544962241972721,5,30
19,555,hold,int8_hold,1,-1.0,1,1,1,-1,37.86649911751515,0.001977364597267812,0.005977870498643934,0.16696126467353412,-0.00020979638407325751,5,27
20,555,hold,int8_hold,0,1.0,1,1,1,-1,12.430024590928404,0.009297062449839685,0.007972628843514967,0.20065883236792748,-0.0003124156052609628,5,36
21,555,hold,int8_hold,0,-1.0,1,0,0,-1,8.526439728095568,0.018593719497653344,,0.03875320523628101,,,41
22,555,hold,int8_hold,1,1.0,1,1,1,-1,11.311579842512884,0.010392353818839867,0.005942390223800029,0.1971967811485199,0.01668254436421046,5,31
23,555,hold,int8_hold,1,-1.0,1,1,0,6,23.967830752061104,0.023173036634835532,,0.07984533376231728,0.2517174242134317,5,31
24,555,hold,int8_hold,0,1.0,1,1,0,2,10.127399562000505,0.0158342378852804,,0.1428738347539802,0.487719442559468,5,29
25,555,hold,int8_hold,0,-1.0,1,1,1,-1,8.175009248876819,0.007445588000045714,0.0016219535355646625,0.07771205375695522,0.3075931494884627,5,27
26,555,hold,int8_hold,1,1.0,1,1,1,-1,4.279565937721358,0.004777729699037345,0.0024371235958640667,0.1337786547437344,0.42523055192629267,5,73
27,555,hold,int8_hold,1,-1.0,1,1,1,-1,11.51911917494877,0.0032108234397202847,0.0013666290699528307,0.25154923115694505,-0.00033476070888394105,5,23
28,555,hold,int8_hold,0,1.0,1,1,1,-1,26.062384216928763,0.006331878083630833,0.008512225716099595,0.10993974570116838,0.6749621003971069,5,26
29,555,hold,int8_hold,0,-1.0,1,1,1,-1,4.719172745850017,0.002898385383795463,0.0020443248746272176,0.15962417448326016,0.09786050333908625,5,26
30,555,hold,int8_hold,1,1.0,1,1,1,-1,13.946779604614818,0.005377769181260655,0.008110628468434739,0.12031459478636153,0.3043656178384442,1,31
31,555,hold,int8_hold,1,-1.0,1,1,1,-1,17.850088887722336,0.01018451147906169,0.0007725834769896933,0.130792495830802,0.38609904734373934,5,27
32,555,hold,int8_hold,0,1.0,0,0,0,-1,,,,,,,-1
33,555,hold,int8_hold,0,-1.0,1,1,1,-1,29.890829940560337,0.00705329441919384,0.005201933914083398,0.15021797804182513,0.02665608908404371,5,26
34,555,hold,int8_hold,1,1.0,1,1,1,-1,6.731605015865306,0.0007160189987510051,0.0004230354670496545,0.1259346987706369,0.09567428274900758,5,33
35,555,hold,int8_hold,1,-1.0,1,1,1,-1,17.733894451163884,0.007232226446490226,0.004667866652979805,0.10343769946230441,0.3057185825123754,5,36
36,555,hold,int8_hold,0,1.0,1,1,1,-1,35.250715026274435,0.010030768955768083,0.0034203500145784573,0.13072833186953448,0.4818379763465246,5,27
37,555,hold,int8_hold,0,-1.0,1,1,0,15,16.45003808918655,0.02378073137616109,,0.1263309731534129,0.269491413320571,5,29
38,555,hold,int8_hold,1,1.0,1,1,1,-1,4.292646556789691,0.01591678788755932,0.009164365143045508,0.11858129362922776,0.11286453167034693,5,28
39,555,hold,int8_hold,1,-1.0,0,0,0,-1,,,,,,,-1
40,555,hold,int8_hold,0,1.0,1,1,0,26,40.06066732195947,0.0038063923451707045,,0.1489436547714832,0.024989797597014363,5,26
41,555,hold,int8_hold,0,-1.0,1,0,0,-1,12.807497557337186,0.013525314536673645,,0.08793667090996127,,,37
