episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,401,hold,mono_hold,0,1.0,1,1,1,-1,24.13224971246801,0.00342799086505116,0.000787373449334687,0.13210520697929862,1.0175479291157052,3,22
1,401,hold,mono_hold,0,-1.0,1,1,1,-1,18.429666663779287,0.008905407336621894,0.0038222693494747973,0.1223479918970396,0.7124775042017575,5,33
2,401,hold,mono_hold,1,1.0,1,1,1,-1,27.170627762806447,0.006362053601880866,0.0023187814342463696,0.14630996464997226,0.965574541907023,3,21
3,401,hold,mono_hold,1,-1.0,1,1,1,-1,33.91660913241472,0.00797938552495298,0.001417662732609142,0.1295236025530513,0.8698471000607143,1,34
4,401,hold,mono_hold,0,1.0,1,1,1,-1,14.111704966430779,0.00901120505581142,0.0007197699201951256,0.14565715916179534,1.1566295667682813,1,30
5,401,hold,mono_hold,0,-1.0,1,1,1,-1,15.514667379272566,0.011979891394871038,0.003928342542952754,0.13914970198415821,1.0107901529052374,5,26
6,401,hold,mono_hold,1,1.0,1,1,1,-1,13.825946121008371,0.012020169089407977,0.005857556217047754,0.13752101842123798,1.1528586941461791,1,28
7,401,hold,mono_hold,1,-1.0,1,1,1,-1,12.625649018673073,0.0072136267790604445,0.004779171386655442,0.13459400242166564,0.9366822068184973,1,29
8,401,hold,mono_hold,0,1.0,1,1,1,-1,1.6286491883373344,0.0013960973510150887,0.0042292580496659056,0.1248023018317378,1.112059788558021,1,75
9,401,hold,mono_hold,0,-1.0,1,1,1,-1,14.701917640670302,0.008546450768565474,0.007117538162525039,0.13832163022259147,1.001338186626291,1,26
10,401,hold,mono_hold,1,1.0,1,1,1,-1,17.569855482207494,0.001804584796036895,0.0013455470185452136,0.13212166600000153,0.7186776793857805,5,24
11,401,hold,mono_hold,1,-1.0,1,1,1,-1,34.058788629528024,0.008754319797277222,0.0018123056826656542,0.14078745167658457,1.0814801270620547,3,22
12,401,hold,mono_hold,0,1.0,0,0,0,-1,,,,,,,-1
