episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,41.264882890850714,0.011940099337351719,0.008958572527092512,0.14666593928422922,0.00942971786926039,5,30
1,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,30.69657934992,0.012665894869595441,0.008001259995151784,0.0837891325268445,0.032497276497927,5,25
2,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,35.79451972877621,0.012474403305979298,0.01283325902268052,0.12818385769811547,0.23056238794839734,5,25
3,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,7.530691131962357,0.0014559299370410551,0.0006534967770387598,0.12140327495245218,0.5195409002788405,5,28
4,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,23.106058411648476,0.007280260962274134,0.006831769815889424,0.16211846832382348,0.4217057703293583,5,24
5,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,3.6691162652792855,0.011173604106089025,0.008244782044812403,0.1616408253189755,0.0410843439220856,6,27
6,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,8.969636285513587,0.0028756393488142155,0.000947046608711611,0.1420768311856062,0.37412748629250947,5,27
7,31,jerk,dfp32_jerk,1,-1.0,0,0,0,-1,,,,,,,-1
8,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,7.067578985482726,0.006063945944410746,0.000242755582440398,0.1439327260638511,0.7380205348615987,5,28
9,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,32.028879691699416,0.0025057796796775335,0.004856031136546186,0.1397602929863755,0.24919200176332712,5,27
10,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,39.996018595955064,0.003947040131234379,0.0046944740825713245,0.12736238769035402,0.057095009907255356,5,26
11,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,12.429547357485745,0.00446704132825531,0.00564550764782167,0.11565558058766456,-0.0001185567026662504,5,26
12,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,7.7965981384971315,0.012249012723524902,0.0018807867294164935,0.12561306646540094,0.07520178698465951,5,24
13,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,33.18156252988837,0.0036263632630406453,0.002414562917220014,0.12505361674577453,0.42955535497182096,5,24
14,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,14.08030892668063,0.0044203606952496035,0.002949583574684361,0.134693387804539,0.34050623656428547,5,28
15,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,4.738358832380499,0.0012389366973443233,0.0005328881631615288,0.12193038497839548,0.440056019458285,5,29
16,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,1.8508628940171548,0.01622634788323994,0.005255387644533669,0.15742645550829182,0.05127253315738489,5,29
17,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,36.87874331305848,0.006337391099685506,0.005163485115445089,0.15598082904685395,0.6297024931121777,5,26
18,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,24.305503468237404,0.00591511188759842,0.010877707334227426,0.14181790827294505,0.06786572830441173,5,25
19,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,18.13031487536898,0.0026247821852344168,0.006275206874869912,0.15109926094730386,0.02332722912442442,5,25
20,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,10.573697440269399,0.01684275519231068,0.008195779384003565,0.13778104686146797,0.27355635775294074,5,30
21,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,14.771903522362123,0.008774058592019388,0.002936362255114634,0.08991713565019743,0.340308844569448,6,40
22,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,0.8659792605942584,0.0006307693744955327,0.0011018511487610324,0.20802362793174367,-0.0003308966494199872,5,28
23,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,28.080158770397787,0.0019619737236097295,0.006328742863634612,0.1325104545842657,0.44270262858158205,5,31
24,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,1.6068416742964047,0.012807691245668724,0.008585957180354643,0.15858587201176877,0.5964901345292235,5,30
25,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,3.691813598106563,0.005820458863544771,0.001478304388204003,0.1671355953930168,0.33956806982233667,5,27
26,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,7.774722115177937,0.0035939471325677212,0.0012390852579664473,0.14162864900677208,0.9938714219373534,5,29
27,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,10.171581474304261,0.005455892977681801,0.0009589534852271224,0.13931871121368022,-0.00012313258755858314,5,29
28,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,21.137164227053916,0.009487706873937431,0.007966289034499429,0.09161519789858874,0.38064289708729504,5,26
29,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,11.089116380885855,0.0048168215627435364,0.005867210955544937,0.13877947827716586,0.08916191389856376,5,23
30,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,43.866733925334145,0.0017229569584016175,0.005597192357102884,0.18275645455311096,-0.00019349612805186212,5,28
31,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,22.802666181716404,0.005739013574687466,0.0015468550166446438,0.1705832457888199,0.058947825548274935,5,26
32,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,7.700493437568753,0.0036794774532660714,0.0026194952628190624,0.11642946846072277,0.1782591527629247,5,27
33,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,28.13774987420682,0.014141328962908461,0.02528098994816885,0.1328263354811755,0.0005591550776098408,5,28
34,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,35.947720045952494,0.015039296079396858,0.024555509767828044,0.10857565313305795,0.24078768345803248,5,25
35,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,21.184230233787957,0.008128408810823697,0.005032031183500091,0.1492259961836132,0.5683719883854126,5,26
36,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,37.85492310262501,0.006620145422199669,0.009478477431042732,0.1320214365946728,0.6019324526205176,6,25
37,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,1.1536808203210285,0.004892420476646018,0.001858037526045381,0.13931402700462459,0.637231541491734,5,28
38,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,5.354423906205909,0.008061876666893114,0.0005664933935468916,0.12450604817658883,0.35204775142385314,5,32
39,31,jerk,dfp32_jerk,1,-1.0,0,0,0,-1,,,,,,,-1
40,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,27.69437715877129,0.0028438715859701986,0.0028968967464861484,0.13081970624726635,0.05162284733108802,5,26
41,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,32.947040324470436,0.00815836004902744,0.006992035419410801,0.29615286910690974,-0.00020037483679313794,5,25
42,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,32.24715713114276,0.007510417797150416,0.010057032441327636,0.12141353265925903,0.09682376696455197,5,31
43,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,27.15655156738387,0.005471725822008556,0.012851231024363162,0.12458903931378418,0.08763722370076632,5,25
44,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,4.1000619396417335,0.005641904845449741,0.003299418615645238,0.13356542806692961,0.1490472223947692,5,26
45,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,4.694274954059345,0.003673782647687711,0.0024582841856174526,0.15586174673220599,-0.0003318079820995301,5,28
46,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,30.04253964966135,0.0033668601727727,0.0016168057534176523,0.22231318456087856,-0.00030707953736808236,5,37
47,31,jerk,dfp32_jerk,1,-1.0,0,0,0,-1,,,,,,,-1
48,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,15.000166083314923,0.008193759362234947,0.004280690095789893,0.20986460882568903,0.6024880654063298,5,28
49,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,11.766322180791235,0.0021082460346060583,0.0001284513299329126,0.11904482737999478,0.2969678163610756,5,31
50,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,30.3801618085013,0.01605381206139831,0.009986301865191395,0.13730796825301428,0.7288596541107011,5,29
51,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,21.296470560935035,0.001899796209847216,0.002873980786208079,0.13644556072018843,0.41845216784973305,5,27
52,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,18.514358862107684,0.0017580797760950063,0.00029820285796854247,0.13659549364688173,0.5379009750864183,5,25
53,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,14.585577471220716,0.006774351392282571,0.0013752595295420567,0.1563261174072843,0.518445257328012,5,27
54,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,21.14990432710782,0.012826690379321883,0.000669378047950938,0.1220560685122184,0.3820518868158862,5,38
55,31,jerk,dfp32_jerk,1,-1.0,1,0,0,-1,12.87114227854346,0.004705822980150983,,0.006179319688109586,,,39
56,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,3.969729969448707,0.0025553712896233855,0.0013644839880565334,0.14462693823230766,1.064542880232065,5,32
57,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,37.33525347187061,0.010869326070168054,0.010377042321802369,0.178890355111765,-0.0003200790715212065,5,23
58,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,17.241100842167327,0.002976631974912147,0.005020534899101572,0.12373070812855747,0.594925448885061,5,29
59,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,34.497955301257235,0.010518016902062059,0.0076371817038500146,0.12337316411805466,0.3993716028703629,5,26
60,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,9.139165261598777,0.0031430545279031797,0.006095876987369255,0.17368255224420148,0.008176773491606948,5,25
61,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,6.42267140035807,0.0038222761373473244,0.0003188703977396411,0.13254854176712993,0.6741750366679402,5,28
62,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,4.276961260660357,0.0030580365871323324,0.00019322622680309514,0.130413072808091,0.699432376132048,5,29
63,31,jerk,dfp32_jerk,1,-1.0,1,1,0,38,15.46090618268471,0.021069984327083586,,0.14338142942123056,0.5396378182190222,5,26
64,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,15.849736096720903,0.0023169618374228387,0.0001496269891858036,0.11114414431961517,0.11316777072985174,5,26
65,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,32.73785298730644,0.011230512986322045,0.019919632491805235,0.12806150297366903,0.7799262513415627,1,33
66,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,2.72163995023746,0.015048735897033262,0.00171838156868003,0.13761201200184103,0.5733229429123239,5,28
67,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,9.259581050094596,0.005361355339359925,0.0012802233004610471,0.12973817604512072,-0.007040934041845137,6,26
68,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,36.060624377198835,0.0048572026920929755,0.008984241447229589,0.15305865286824605,0.02404984347512462,5,23
69,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,9.557210884015788,0.01655503035693315,0.0040747555507775115,0.13572311281729166,0.5781628060876387,5,26
70,31,jerk,dfp32_jerk,1,1.0,1,0,0,-1,8.175462496171441,0.007747748800189727,,0.0681376053054229,,,33
71,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,19.165902147852023,0.004218510882343433,0.0003188810840183015,0.1378896410874817,0.5868512002510089,5,24
72,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,2.779137531753662,0.007256861701433256,0.0029262033997498617,0.1416732253675974,0.4297278427991986,5,24
73,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,41.96071533075357,0.0032139194710392107,0.004461873563415867,0.14335581679669585,0.06244588727575229,5,24
74,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,30.654035248076383,0.011176407848903537,0.011119633229995913,0.1544246359206506,0.020696992118212076,5,21
75,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,26.844159127991972,0.004047522446189529,0.004578449946023954,0.14790763212333813,0.03950374167651116,5,23
76,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,19.31682424050058,0.003620941667406949,0.004804276178426197,0.13013965385953097,0.38588301678756887,5,28
77,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,10.719221477575843,0.005810402359054985,0.00441114873699153,0.128820917264167,0.16387900120782994,5,25
78,31,jerk,dfp32_jerk,1,1.0,0,0,0,-1,,,,,,,-1
79,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,33.25548530878302,0.004727651847270152,0.011521797711713338,0.08839610975935053,0.04179587747606961,5,26
80,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,34.432935755776896,0.006464787708042549,0.0011341371077319786,0.12440671519857938,0.2252025685570378,5,22
81,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,4.58790660321722,0.0031349616956239997,0.0018038186702800426,0.1426549672621057,0.5016440144917169,5,27
82,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,7.51026260098223,0.01226934107152656,0.010657769507679696,0.0969001551937001,0.9961366316771166,1,32
83,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,29.239162386212797,0.004152484370654346,0.0054517488090598505,0.114452592223373,0.24354709441227174,5,27
84,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,43.70097272663949,0.015093149028123323,0.0021741863372245697,0.11805985195540414,-6.287643212266047e-05,5,30
85,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,3.1358529535290245,0.0033400891334402043,0.002954096446145949,0.1889504828716747,0.2977836740393238,5,26
86,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,44.83586765065874,0.009214889719535865,0.0014787013187163693,0.19829780592275237,0.5799691052910769,5,28
87,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,7.415727277705521,0.008034677275813265,0.005628124064456999,0.13856314917562873,0.9235270764186931,5,30
88,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,42.934972321155215,0.011217793952759196,0.009137783870069064,0.12064598397962967,0.04696940728954546,5,28
89,31,jerk,dfp32_jerk,0,-1.0,1,0,0,-1,14.48371125491903,0.011644845521204714,,0.016557198846979815,,,65
90,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,32.982456593114705,0.005346754178859644,0.005539554336373943,0.12784630611082526,0.2131296706334047,5,22
91,31,jerk,dfp32_jerk,1,-1.0,1,1,0,29,25.49947169727446,0.0018742886448851494,,0.13887501207853015,-0.0006148291684415774,5,26
92,31,jerk,dfp32_jerk,0,1.0,1,1,0,38,18.3577588025193,0.014512433897779967,,0.06480394442829185,0.5874122129036836,1,53
93,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,19.643524285458653,0.005981672026078744,0.004873040863515811,0.14027843566367326,0.8351472548224081,5,25
94,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,7.333914532287494,0.01049948009257534,0.00773769410346923,0.1984390391410713,0.4125317299209992,5,27
95,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,25.634286348447688,0.004131565479707819,0.002155235293982668,0.12846517973782878,0.05084584352799748,5,24
96,31,jerk,dfp32_jerk,0,1.0,1,1,1,-1,6.379564428530813,0.004573873177320908,0.00071968792228392,0.133069551257192,0.8875206076434079,5,27
97,31,jerk,dfp32_jerk,0,-1.0,1,1,1,-1,20.51776009395489,0.0023568425222809017,0.0018935895336430204,0.1227955062418149,0.16017667337061603,5,26
98,31,jerk,dfp32_jerk,1,1.0,1,1,1,-1,25.49902499179362,0.002667095082030284,0.004343986958686831,0.14931172191174547,0.027955506864015156,5,24
99,31,jerk,dfp32_jerk,1,-1.0,1,1,1,-1,19.08216194832721,0.007675306868560225,0.009025833641989266,0.13877170326350796,0.2785899701525709,5,31
