episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,503,jerk,int8_jerk,0,1.0,1,0,0,-1,21.014225425847087,0.0077422871227230605,,0.000714687906520739,,,63
1,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,21.693216411107272,0.01737830791816619,0.029779747398845105,0.10405127755428156,0.6208206057398908,1,57
2,503,jerk,int8_jerk,1,1.0,1,1,0,12,21.44572894219786,0.012617353394803807,,0.12188192485958094,0.16655620549676486,5,27
3,503,jerk,int8_jerk,1,-1.0,1,1,0,45,23.153553224691564,0.021314156588357287,,0.12959870625895586,0.21704521886768724,5,30
4,503,jerk,int8_jerk,0,1.0,1,0,0,-1,36.399144227411256,0.01669266383435861,,0.0,,,37
5,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,29.405979121777307,0.015019844752865481,0.011534891118193395,0.19022883050856,-4.273289293577065e-05,5,29
6,503,jerk,int8_jerk,1,1.0,1,1,1,-1,15.798222552671675,0.012681980437590628,0.004792401203168275,0.12087858664671791,0.6735639814868066,5,25
7,503,jerk,int8_jerk,1,-1.0,1,1,1,-1,14.906070294168927,0.01194967169685705,0.011570944952132092,0.3314213117873911,-6.44966824278892e-05,3,51
8,503,jerk,int8_jerk,0,1.0,1,1,1,-1,11.965530898302433,0.01669517441706436,0.012185180740526434,0.20497958287853535,3.268200222406037e-05,5,28
9,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,24.06764086511876,0.007032434815196953,0.008143994061218659,0.24865368392475007,-0.00014782581163075292,5,27
10,503,jerk,int8_jerk,1,1.0,1,1,1,-1,5.752995079640073,0.0068812591273240045,0.0020209735256674095,0.10937123502157586,0.4282342961758514,1,31
11,503,jerk,int8_jerk,1,-1.0,1,1,1,-1,15.682878471557302,0.010851512440562427,0.004671733760238327,0.13639047916837177,0.04600455483944854,5,35
12,503,jerk,int8_jerk,0,1.0,1,1,1,-1,38.17859413881712,0.01206022452060218,0.021493145924313103,0.12432904620959362,0.22634228419060332,5,28
13,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,17.922061721013733,0.004907611484801999,0.001238713286084114,0.14674545536162464,0.039228454832319404,5,25
14,503,jerk,int8_jerk,1,1.0,1,1,1,-1,36.89968640653302,0.008933311352840827,0.007472463537096548,0.13729350094464765,0.00030288972828707017,5,48
15,503,jerk,int8_jerk,1,-1.0,1,1,1,-1,13.563014368789755,0.00799556656824685,0.0065575545688195255,0.12343410493224005,0.629969995602067,5,30
16,503,jerk,int8_jerk,0,1.0,1,1,1,-1,17.785300608299107,0.01876750804353572,0.00889527715161642,0.13701540801497214,0.13207403799484263,5,81
17,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,9.372547560288226,0.003700608103950518,0.008867783665968656,0.29091467568915497,-0.00027737268730687603,5,26
18,503,jerk,int8_jerk,1,1.0,1,1,1,-1,32.57801710767228,0.00455394334912745,0.010918962934155367,0.18189668115304913,0.52195167363505,5,29
19,503,jerk,int8_jerk,1,-1.0,1,1,1,-1,35.6845504194108,0.008037952958223947,0.013163532949863674,0.182496761765772,0.0055619435332161515,5,29
20,503,jerk,int8_jerk,0,1.0,1,1,1,-1,19.62737592393667,0.003861915854857467,0.003514204790378379,0.1095284657080906,0.26232823609797506,5,193
21,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,8.767112677371642,0.00666927559079956,0.00402990321965716,0.18724473294423905,-4.739517271268312e-05,5,25
22,503,jerk,int8_jerk,1,1.0,1,0,0,-1,3.6159658614645025,0.02247908295172128,,0.002250379815100123,,,43
23,503,jerk,int8_jerk,1,-1.0,1,1,1,-1,2.8915224860144235,0.009413702006271587,0.00484766534261975,0.10516519539536306,0.2778744954336543,5,28
24,503,jerk,int8_jerk,0,1.0,1,1,1,-1,2.6141800837983666,0.005641957104088815,0.004544400313812792,0.11662515324784373,-0.00030390225470977583,5,85
25,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,31.959854939610963,0.006889504084224856,0.010375209259992416,0.20916511139996896,0.0016071607586551906,5,26
26,503,jerk,int8_jerk,1,1.0,1,1,1,-1,0.6585913819673692,0.0069206396449038735,0.0004888284809839031,0.16968505756051977,0.8090036314396944,5,28
27,503,jerk,int8_jerk,1,-1.0,1,1,1,-1,43.99575199766116,0.005423830031188331,0.0025689392466699285,0.13468375581379,0.307491727252142,1,28
28,503,jerk,int8_jerk,0,1.0,1,1,1,-1,5.1387219334147005,0.006112380350336352,0.0014735890226784043,0.14878883899579254,0.9065776284247451,3,27
29,503,jerk,int8_jerk,0,-1.0,1,1,1,-1,40.957354873902744,0.011867059272595919,0.0195824015615611,0.18412747002328833,0.29238622801543146,5,34
