episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,123,jerk,mono_jerk,0,1.0,1,1,1,-1,37.742361118314875,0.0032230879879895182,0.000533042283820798,0.13363653939483244,0.8107498105835322,3,23
1,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,12.988899193581773,0.002554698792540701,0.002827734195417398,0.1374365783851289,1.1616318081279395,1,25
2,123,jerk,mono_jerk,1,1.0,1,1,1,-1,10.557529080318048,0.003805394612661295,0.0017935061897917039,0.1310307184571079,1.0641590519879078,3,28
3,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,0.7704547746447616,0.006823047263583179,0.0029117026333780587,0.1368372799385391,0.9144263934562855,3,29
4,123,jerk,mono_jerk,0,1.0,0,0,0,-1,,,,,,,-1
5,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,31.29644960052613,0.004140083692022353,0.00948668651257839,0.1281210557839667,0.6037882480872345,5,22
6,123,jerk,mono_jerk,1,1.0,1,1,1,-1,4.843463783787271,0.0011716521801876443,0.0016534885768684398,0.13214724051486015,1.108145397056111,3,29
7,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,43.05209251673682,0.006574251554721066,0.0009793401700519016,0.13125034986694362,1.2365400380953275,1,30
8,123,jerk,mono_jerk,0,1.0,1,1,1,-1,16.426052635894962,0.006484108912068625,0.0027318868110609213,0.11915896856505204,0.7678657383714,5,29
9,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,21.1375600197325,0.007039766583635691,0.0008887483233297246,0.1326277370459541,0.8720235224387407,5,27
10,123,jerk,mono_jerk,1,1.0,1,1,1,-1,13.981889591881156,0.0011085666726966393,0.005321372876116932,0.13923972902429482,1.0176140945404148,1,27
11,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,23.82806709378326,0.010153795614120631,0.00876942236807165,0.14098399024856068,1.0100335538952088,1,23
12,123,jerk,mono_jerk,0,1.0,1,1,1,-1,14.701677018722648,0.006180743799436916,0.0027779042764783037,0.14120112912452587,0.3726480261872198,5,25
13,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,29.0453679039082,0.008707883143839636,0.00842972084178746,0.13565965539999636,0.9140698551307898,3,23
14,123,jerk,mono_jerk,1,1.0,1,1,1,-1,13.637359784228522,0.00805134509091614,0.0013104329546696793,0.14064994073007664,1.145460600798386,1,23
15,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,7.615184751690592,0.007958388124993967,0.0029837248056905,0.13684565997361087,1.0167576927529707,3,31
16,123,jerk,mono_jerk,0,1.0,1,1,1,-1,21.832354285722445,0.0062867773621555064,0.0050558986729656065,0.1319592950675479,1.0880197344388058,1,31
17,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,19.2589589201353,0.003221097034591973,0.0019082273622901642,0.12241428069582838,0.8435878045038394,5,35
18,123,jerk,mono_jerk,1,1.0,1,1,1,-1,15.184411625605378,0.011325840218117184,0.0023630770329762887,0.14436478353362292,0.9485829888728281,3,24
19,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,4.430864864074863,0.006267668207775008,0.003006492917729096,0.14230707699084277,1.1168523959398324,1,23
20,123,jerk,mono_jerk,0,1.0,1,1,1,-1,44.44991962138627,0.0031126952253559947,0.0045751816484443835,0.14321722037137485,1.1984330881870486,1,21
21,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,3.691827185902227,0.005376192570273821,0.0021303637566058345,0.1373819580923029,0.9768155293328902,3,31
22,123,jerk,mono_jerk,1,1.0,1,1,1,-1,11.145809162592336,0.005270241574010892,0.004529197387247987,0.12523216950411165,0.8402466980936047,5,26
23,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,29.93874727353627,0.0021824310510162493,0.003867472578274421,0.12713715016353588,0.5672543793895977,5,22
24,123,jerk,mono_jerk,0,1.0,1,1,1,-1,7.966807596566696,0.009491713706045686,0.003455627481703297,0.14033496806557477,0.9662354107246528,1,28
25,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,17.005574279957273,0.01525118817583977,0.00767741706104752,0.13458194204524987,1.2402372059009545,3,26
26,123,jerk,mono_jerk,1,1.0,1,1,1,-1,14.322540082846075,0.004349393053968939,0.00361586056574106,0.12581472150980622,0.9643339721539903,1,32
27,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,6.6979414431401665,0.00652342479030129,0.002648029984473491,0.14027427446680318,1.194713036736346,1,23
28,123,jerk,mono_jerk,0,1.0,1,1,1,-1,30.660357116431754,0.007897060792316666,0.006643748360733602,0.1455516723639212,1.0245532458269684,1,22
29,123,jerk,mono_jerk,0,-1.0,1,1,0,10,22.505752614356112,0.01830988733330681,,0.13938877879819878,0.9162675423955005,3,25
30,123,jerk,mono_jerk,1,1.0,1,1,1,-1,12.240003493672987,0.00838921834229558,0.010180117515870519,0.13859291136960084,1.0426018182762125,1,25
31,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,29.449618262869905,0.007511963133486847,0.008470637402815832,0.13606270672889087,1.0965808738145149,1,25
32,123,jerk,mono_jerk,0,1.0,1,1,1,-1,16.9991505742033,0.013183260787261309,0.004481744399887472,0.14040532666970829,1.0201632390692734,3,25
33,123,jerk,mono_jerk,0,-1.0,1,1,1,-1,44.083503664490735,0.00869710142095848,0.02021389996866652,0.13364953380643962,1.1175994326535879,3,26
34,123,jerk,mono_jerk,1,1.0,1,1,1,-1,3.528718667496406,0.0082169810318373,0.00811681670128018,0.1439720541628704,1.1598704233164798,1,26
35,123,jerk,mono_jerk,1,-1.0,1,1,1,-1,41.54620059860872,0.0044850413001905716,0.011277764412993791,0.142952954132208,1.1048372541387155,3,21
36,123,jerk,mono_jerk,0,1.0,1,1,1,-1,10.842994841126426,0.006796445803319479,0.002296729287159999,0.14192187878550222,1.0604851137986575,1,25
