episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,17.75129176869433,0.0048489436736982115,0.0008098620968937265,0.13799726187108097,0.6269889424522548,5,28
1,555,jerk,dfp32_jerkhard,0,-1.0,1,1,0,29,38.56513961402385,0.01818555517060107,,0.15248768631795784,0.8054208104742684,5,26
2,555,jerk,dfp32_jerkhard,1,1.0,0,0,0,-1,,,,,,,-1
3,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,13.199000629486434,0.0077239229300446344,0.004175440677902978,0.1734919214109174,-0.00022699590470409703,5,25
4,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,42.772766847299835,0.011862048243809507,0.010744804818490484,0.1616285103977131,0.5858378358279657,5,27
5,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,26.717768992781174,0.003487474582854078,0.003411696400603986,0.13764320125039597,-0.00016998704195669845,5,27
6,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,0.40881484231429255,0.008885070733240807,0.0007198337203916366,0.13500783064253052,0.6046100062551405,5,24
7,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,39.842537506818616,0.002494770611699474,0.0035686750147734076,0.09227859368024849,-0.00015071412024436626,5,24
8,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,44.87481971033819,0.006980574214312536,0.012139487858225256,0.1229252704527869,0.47662908438007134,5,25
9,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,14.177963271959129,0.004799108744361291,0.0014748107237199137,0.12766928501751906,0.15013795270264918,5,26
10,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,41.53477545526684,0.005616676397490182,0.008893167552459925,0.12235068160063689,0.06549003977704171,5,24
11,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,13.418655540702787,0.0031209390019548825,0.00550200762359569,0.14876062560236458,0.026415117707835112,5,24
12,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,18.42221936703858,0.011470046487726822,0.003304443439829601,0.1452487938690452,0.12173451465899277,5,28
13,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,0.2148025337278625,0.003916738171506056,0.0009666725321769608,0.133009749650296,0.6035397015242943,5,31
14,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,10.616276695536357,0.015409103699236822,0.02163723790250305,0.1598600894546789,0.9302076164047737,5,171
15,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,39.21530446334957,0.004064996275721618,0.004896737310302501,0.09136352071867282,0.5890308615438871,5,27
16,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,37.22970103892865,0.008451410300659785,0.006657215091722249,0.1111660706095906,0.03391751362223383,5,30
17,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,9.143437881942987,0.0018658030188911908,0.0041584121780875215,0.13229002118491462,0.3820437762260829,5,27
18,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,35.54693085821913,0.005902094313612709,0.0047152555052238036,0.14030180626490663,0.03154727111915223,5,25
19,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,38.436696200770136,0.01852303441859877,0.016832260898303118,0.13401754369497276,0.03816663445065327,5,30
20,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,9.533207432275134,0.0007160951061245447,0.0017853460256781676,0.13164051910314234,0.09829755092101333,5,23
21,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,0.6285455838643443,0.00457964532372271,0.0018656753428924885,0.1391208957712513,0.3165448842111669,5,25
22,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,1.4545392441324196,0.0017902076468738716,0.0017679307880492908,0.10304114511400397,0.25173240408327935,5,25
23,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,1.1500590652667029,0.007513996392025693,0.0006509199006889397,0.12460688905860262,0.5962519364059258,6,28
24,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,19.60440556852967,0.012022851605697731,0.007148257867073249,0.12423045925948129,0.194421615735477,5,27
25,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,18.774623444662154,0.00845770077190761,0.00264881476116661,0.17338558989421338,0.5949188899530924,5,26
26,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,26.30812272553962,0.00037613440835641517,0.0011753462195053504,0.12851858844196173,0.16302379205769846,5,27
27,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,15.14728939066947,0.01598625528810924,0.010566749000394617,0.11507894462540202,0.6286505177061481,6,49
28,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,21.513930873400113,0.0040679106980649376,0.004046655596234348,0.14690531334791723,0.04911791667098475,5,24
29,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,1.066134018573564,0.0014756792497732576,0.006286098895048603,0.12636749681794635,0.2673186530845064,5,28
30,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,15.469566480980518,0.01016000643596566,0.009656188543947212,0.12300001770963054,0.1940999447213323,5,24
31,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,39.34265159038418,0.010561875066303647,0.010459757962449528,0.10059123180178653,0.02480142815503772,5,24
32,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,0.8526710344365824,0.005093696864043704,0.003688736810537872,0.16116934943683348,0.6024164387722832,5,26
33,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,25.95471665643862,0.0070648140202030285,0.0020036702453239863,0.1497744134876472,0.602857505834721,5,27
34,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,24.810457226413973,0.007060412913262496,0.003750435071876641,0.14930398819433288,0.04471773276452895,5,24
35,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,12.254164848700498,0.006336269012801699,0.0007959596727457202,0.14820068747174142,0.6489456623411183,5,27
36,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,33.60373724369431,0.006646812327091071,0.0021413069233260497,0.16041453964287755,0.012260935577230292,5,26
37,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,17.132770943795208,0.0025619708633829266,0.0024391070416013693,0.13427410156711106,0.6291514404744496,5,28
38,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,28.526173908322193,0.011461614536822281,0.0031434158598387554,0.15323951222067145,0.6688521892306007,5,26
39,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,16.574489683622772,0.008651276369442306,0.002348304839834282,0.28139801301332157,0.016749343683398976,6,31
40,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,2.116154633023527,0.0014330835474825234,0.0010806159686720298,0.1646041794560652,0.008684661147841055,5,26
41,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,30.423766226543904,0.003110711382230068,0.002105439267062701,0.1016905966211602,-0.00011889709081103206,5,26
42,555,jerk,dfp32_jerkhard,1,1.0,1,1,1,-1,7.020232067248209,0.011780309010235478,0.004329160434773578,0.14886946766429032,0.6862016444754206,5,32
43,555,jerk,dfp32_jerkhard,1,-1.0,1,1,1,-1,24.292511216259896,0.005055877959494015,0.0022495618977563235,0.10878173402723534,0.07342198954340873,5,28
44,555,jerk,dfp32_jerkhard,0,1.0,1,1,1,-1,5.267964109555614,0.009456573362315856,0.0022108054987579817,0.13195212245451882,0.47611252324258624,6,30
45,555,jerk,dfp32_jerkhard,0,-1.0,1,1,1,-1,42.512234663887455,0.010280839032663152,0.005673649534063544,0.14855542139644673,0.7822976133818798,5,23
