episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,13.722331323385419,0.012736545514110372,0.004944811659052117,0.1157486107373088,0.4172155774865751,5,28
1,31,jerk,int8_jerkhard,0,-1.0,1,1,1,-1,18.756746973152516,0.007234206018015134,0.006437670991330272,0.1862231896610066,-0.00023842590665390517,5,27
2,31,jerk,int8_jerkhard,1,1.0,1,1,0,1,11.625482124588814,0.004607427882304197,,0.04622097988094376,0.0011410907586264507,5,27
3,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,43.37478490775257,0.012806087603848717,0.016842587278347032,0.13613656160832843,0.08583897367384186,5,28
4,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,5.4269377966879375,0.00993000987514594,0.0017092323212179131,0.15635639662161593,0.7511869783345131,5,31
5,31,jerk,int8_jerkhard,0,-1.0,1,1,0,44,24.402292203103684,0.016866468755825686,,0.1616267048901069,0.13531688954658128,6,28
6,31,jerk,int8_jerkhard,1,1.0,1,1,1,-1,2.0867926208913445,0.017961920774228472,0.0006902817334239554,0.1227507200501019,0.4601610594676422,5,35
7,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,3.6034472305102696,0.016415327893170156,0.00232282934994282,0.13620967574326626,0.5051949420056063,5,29
8,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,22.976043822260507,0.011237578930773167,0.009362901485055178,0.13264674310467883,0.24234807482166376,5,59
9,31,jerk,int8_jerkhard,0,-1.0,1,1,1,-1,0.26938766240269274,0.0027168898745682213,0.0008593020652823885,0.22576507425839454,-2.952595422289761e-05,5,23
10,31,jerk,int8_jerkhard,1,1.0,1,1,1,-1,14.405647836345981,0.0012904508283743924,0.0015244885291539217,0.13572911351907702,0.08655365267016757,5,27
11,31,jerk,int8_jerkhard,1,-1.0,1,1,1,-1,10.29540838222573,0.002419823159797845,0.00042816817844190756,0.12128132053799223,0.20670265751651318,5,26
12,31,jerk,int8_jerkhard,0,1.0,1,1,1,-1,40.13683447047862,0.006418716092267269,0.006928604724751508,0.14118904826256362,0.3016156557957532,5,26
13,31,jerk,int8_jerkhard,0,-1.0,0,0,0,-1,,,,,,,-1
