episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,margin_hand,joint_hand,grasp_step
0,503,jerk,mono_jerkhard,0,1.0,1,1,1,-1,32.32251411196688,0.0046908360909979786,0.0009079078709086631,0.1260329955242574,0.8967229422038874,5,34
1,503,jerk,mono_jerkhard,0,-1.0,1,1,1,-1,22.39316199038953,0.005422124164840417,0.00255022637935082,0.13025459019692442,1.070923034539745,3,25
2,503,jerk,mono_jerkhard,1,1.0,1,1,1,-1,6.868202083064368,0.0020727139188178754,0.0003440177961071624,0.12897155254117798,0.7390819228327796,5,29
3,503,jerk,mono_jerkhard,1,-1.0,1,1,1,-1,36.02287875667287,0.0100107044092925,0.010713674236753836,0.13703179436800172,1.0484927426816877,3,21
4,503,jerk,mono_jerkhard,0,1.0,1,1,1,-1,44.117718098643394,0.004776331008937178,0.0014735202224303511,0.1391689261144482,1.0130869950403771,3,22
5,503,jerk,mono_jerkhard,0,-1.0,1,1,1,-1,16.29012724279596,0.007215282197246586,0.0053696868036184845,0.13871506449424842,1.1170215548312536,1,24
6,503,jerk,mono_jerkhard,1,1.0,1,1,1,-1,18.983941175349603,0.0034157589314641372,0.0022972339542683944,0.11914823097506622,0.6555342560800446,5,37
7,503,jerk,mono_jerkhard,1,-1.0,1,1,1,-1,16.47692378276352,0.008938430757178362,0.0022400773677822535,0.14383301421624806,1.0988448018318218,1,23
8,503,jerk,mono_jerkhard,0,1.0,1,1,1,-1,10.997408394471222,0.0069108566600329276,0.0002671158761910403,0.1355154375095713,1.085979644892939,3,23
9,503,jerk,mono_jerkhard,0,-1.0,1,1,1,-1,5.439013172589355,0.005530538652856757,0.005276932289572537,0.12188428184090139,0.6126495012337774,5,28
10,503,jerk,mono_jerkhard,1,1.0,1,1,1,-1,16.806211258480374,0.0072168743140771175,0.0028053409284923545,0.14295698115949862,1.1900550137216763,1,22
11,503,jerk,mono_jerkhard,1,-1.0,1,1,1,-1,39.43523848306481,0.007230907670397017,0.0003099229559576069,0.14032398111497024,1.1943223306935522,1,26
12,503,jerk,mono_jerkhard,0,1.0,1,1,1,-1,10.78173250069186,0.0020672480384066687,0.0011227341073277316,0.13926495125316474,1.099011645004476,1,25
13,503,jerk,mono_jerkhard,0,-1.0,1,1,1,-1,44.96802401088112,0.006768520239475409,0.019817168013443038,0.13585520335571422,1.0925806743031574,3,21
14,503,jerk,mono_jerkhard,1,1.0,1,1,1,-1,11.136549249139861,0.007812592433763492,0.0006172179842586079,0.1449131377030728,1.1734077481143999,1,32
15,503,jerk,mono_jerkhard,1,-1.0,1,1,1,-1,31.800518434501363,0.007318094129029348,0.010005003101436616,0.12975894742843797,0.8324214710464344,5,25
16,503,jerk,mono_jerkhard,0,1.0,1,1,1,-1,33.68654850864294,0.009061209550539507,0.019231983229822232,0.13065908315827224,1.1652246727097322,1,29
17,503,jerk,mono_jerkhard,0,-1.0,1,1,1,-1,21.62255133271286,0.007393631448315389,0.0016222129507008985,0.13201853008696873,0.9750043120284091,3,25
18,503,jerk,mono_jerkhard,1,1.0,1,1,1,-1,20.151690991227426,0.002986668401438031,0.0033002349207423925,0.14243433534217198,1.1691298481827261,1,23
19,503,jerk,mono_jerkhard,1,-1.0,1,1,1,-1,33.602899424547644,0.008256735920036692,0.0062579542670261725,0.1425304047937095,1.0709731803572615,1,27
20,503,jerk,mono_jerkhard,0,1.0,1,1,1,-1,27.949832019814806,0.0036192397074641647,0.006910921761346011,0.1299641047575072,1.031824530135399,1,29
21,503,jerk,mono_jerkhard,0,-1.0,1,1,1,-1,13.408045956820104,0.00787097749758213,0.0026327741490235323,0.13608951133015168,1.1945852000979458,1,23
22,503,jerk,mono_jerkhard,1,1.0,1,1,1,-1,29.512196328214785,0.007264270187042364,0.008237729696527975,0.13985328543116282,1.0421589323878253,3,22
23,503,jerk,mono_jerkhard,1,-1.0,1,1,1,-1,9.802720179764833,0.008871405651819493,0.003078483950043038,0.14130374852657968,1.0928520415723695,1,26
24,503,jerk,mono_jerkhard,0,1.0,1,1,1,-1,0.6217074398229983,0.003358908934353843,0.0021905944758030395,0.12919825836296495,1.1445114493435158,1,31
25,503,jerk,mono_jerkhard,0,-1.0,1,1,1,-1,16.92753982948875,0.00806330110528536,0.005776274428734383,0.13920815618922222,1.0585288113837108,1,24
