episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,eef_path,eef_net,eef_vmax,eef_amax,margin_hand,joint_hand,grasp_step
0,7,carry,,0,1.0,1,1,1,-1,12.079756952976837,0.001142058470978016,0.0018701878277738568,0.14938391074963708,0.365159302750018,0.3448098386224957,0.14616242140946648,1.7434674481783021,0.7116099598527925,3,27
1,7,carry,,0,-1.0,1,1,1,-1,0.6436508990222904,0.013110392792290605,0.0024959309982386106,0.15234864020856487,0.34100968300382173,0.3350610645444822,0.12077490367154216,1.1400973125175655,0.03275837469392551,5,30
2,7,carry,,1,1.0,1,1,1,-1,4.379330185076029,0.009400321416269786,0.0019258895299796462,0.14281614705982193,0.2559348340049439,0.22843196486186632,0.1300880452347437,0.6344226389395504,0.5341186799343327,5,25
3,7,carry,,1,-1.0,1,0,0,-1,4.034777280543409,0.001683689257815934,,0.0,,,,,,,34
4,7,carry,,0,1.0,1,1,1,-1,17.397055768360474,0.0037689943642957046,0.0030854986182211074,0.12581199903175255,0.41884457516747037,0.3502913235779751,0.476704738952428,4.247826311013338,0.04979773905362661,5,24
5,7,carry,,0,-1.0,1,1,1,-1,20.024219130033217,0.0049234648251746515,0.004416282460288199,0.15982415791558968,0.3668431726720813,0.3144256963733107,0.15762800006158725,2.161321488382996,0.07734727784283102,5,26
6,7,carry,,1,1.0,1,1,1,-1,9.805001775809643,0.015830745458050473,0.0029954584363938823,0.15962629446374432,0.37941210715371054,0.34338345666106224,0.14268497264367547,1.3764531134332703,0.08215966389802665,5,25
7,7,carry,,1,-1.0,1,1,1,-1,13.005521782951433,0.0018455590429471654,0.005858321485570689,0.12754006100932358,0.3858032522247844,0.3778662316179203,0.1532194702304915,1.1016088805229007,0.4578434107075444,5,29
8,7,carry,,0,1.0,1,1,1,-1,32.138765096817565,0.006192405722654418,0.012564540195486905,0.12244202467689203,0.39071749506772435,0.3115009138042557,0.3899265519884053,7.150033768023651,0.7109317267158661,5,27
9,7,carry,,0,-1.0,1,1,1,-1,42.068015821320344,0.00838582132924168,0.014874928216035583,0.1287453446891914,0.2581485439228308,0.21645459299509723,0.12291624845653712,2.987471629458609,0.0743114472467612,5,25
10,7,carry,,1,1.0,1,1,1,-1,7.1296684150171075,0.009413487040014382,0.008594476399468426,0.13871230860266526,0.2818545236528569,0.26224985398650297,0.1251141533694028,1.1076105370377596,-0.00012020478617813524,5,29
11,7,carry,,1,-1.0,1,1,1,-1,38.22786087955788,0.00570114372976522,0.008598216210993874,0.1255353729430504,0.35902746433607213,0.3545942535082895,0.19615050225807532,0.931368582018968,0.2450290754092337,5,28
12,7,carry,,0,1.0,1,1,0,39,4.485511345491389,0.006478058791683924,,0.14411392793183064,0.34236897164665187,0.2230410669640412,0.9988167025388214,11.409029179570917,0.4504580134030287,6,29
13,7,carry,,0,-1.0,1,1,1,-1,29.835244235747496,0.006335342856759032,0.008604738653194072,0.12542429547810574,0.3217166916964235,0.3072364449521713,0.12815754540162336,1.5010190694458054,0.11636204526522276,5,24
14,7,carry,,1,1.0,1,1,1,-1,34.2979003803992,0.00587044082147119,0.011341437490946871,0.1250966600150093,0.2592478188742961,0.19345790090946577,0.11637309366512211,0.9313600763105104,0.24423806263796077,5,24
15,7,carry,,1,-1.0,1,1,1,-1,23.50860369895871,0.017309246367382354,0.008232792828108555,0.13458046195695972,0.3809823989434701,0.3777638506295007,0.1296846860235175,1.6265238243584839,0.9766782454440435,3,32
16,7,carry,,0,1.0,1,1,0,50,5.801997853818705,0.005592091167733926,,0.13583162968829532,0.42601734223672605,0.26946831858384873,1.048839429743725,7.160971930981926,0.08465378673125112,5,24
17,7,carry,,0,-1.0,1,1,1,-1,18.079736668352098,0.012700675328325455,0.004358348108681336,0.20920925496203258,0.38312311821518724,0.3430619134758053,0.14608119495081207,2.8098820056291904,-0.0003125008366899884,5,25
18,7,carry,,1,1.0,1,1,1,-1,2.6747076865833606,0.010319378674416532,0.006389469234327596,0.16521250952817956,0.3816327734521821,0.37748652564003954,0.13982437457006708,0.8241713016553416,0.7080267359678962,5,25
19,7,carry,,1,-1.0,1,1,1,-1,1.1123434816372466,0.0022182178381113505,0.00030877020370459425,0.14201322875890066,0.35808220469645974,0.35037685371069555,0.14078125174230452,1.0433873547446288,0.5704016260638101,5,22
20,7,carry,,0,1.0,1,1,1,-1,10.26761120480873,0.008393737423801754,0.0019255374796612252,0.1123597744751047,0.21429066017003218,0.20350666517923385,0.08200183576950106,1.6080715388792115,-0.000323753924618142,5,26
21,7,carry,,0,-1.0,1,1,1,-1,23.41911592056755,0.004357847156120546,0.004659222771000645,0.14056993861531375,0.3274373386949985,0.31827059959158405,0.13079512857808448,1.0323034676253566,0.26318415114784166,5,33
22,7,carry,,1,1.0,1,1,1,-1,17.486159689654812,0.0052442845685113405,0.006394583365304661,0.13185414652774785,0.36026497884695474,0.356916240914292,0.13887386540313645,1.0221914692142133,0.637337492333967,5,29
23,7,carry,,1,-1.0,1,1,1,-1,40.69905237773608,0.006136380289046658,0.006566635763339479,0.048237503175214025,0.2701057432855745,0.23363176351699466,0.1435063388512538,1.0066452999881026,0.12606860091593752,5,28
24,7,carry,,0,1.0,1,1,1,-1,5.074245652981347,0.017985593824960098,0.01429249730555651,0.13220779052180864,0.2979280393896284,0.2562944947531518,0.1257645196125958,1.5160007177080106,0.8770837955718065,5,27
