episode,seed,profile,tag,axis,sign,grasp_ok,lift_ok,survived,lost_at,diag_deg,off_xy0,drift,rise,eef_path,eef_net,eef_vmax,eef_amax,margin_hand,joint_hand,grasp_step
0,7,hold,,0,1.0,1,1,1,-1,12.079756952976837,0.001142058470978016,0.001540573335661661,0.14938391074963708,0.017132468951829065,0.008872195510915275,0.08192157514346704,1.0305711088470726,0.7116099598527925,3,27
1,7,hold,,0,-1.0,1,1,1,-1,0.6436508990222904,0.013110392792290605,0.002572675147785889,0.15234864020856487,0.01424057810937861,0.01362689745792527,0.0785302591165791,0.6741587266120547,0.03275837469392551,5,30
2,7,hold,,1,1.0,1,1,1,-1,4.379330185076029,0.009400321416269786,0.0022558420393884266,0.14281614705982193,0.05875199532561169,0.04753719357451985,0.08585923872937817,0.832407399402926,0.5341186799343327,5,25
3,7,hold,,1,-1.0,1,0,0,-1,4.034777280543409,0.001683689257815934,,0.0,,,,,,,34
4,7,hold,,0,1.0,1,1,1,-1,17.397055768360474,0.0037689943642957046,0.0024775536497590703,0.12581199903175255,0.018499831641205403,0.01571596489054557,0.06889862199950371,0.7517568105983837,0.04979773905362661,5,24
5,7,hold,,0,-1.0,1,1,1,-1,20.024219130033217,0.0049234648251746515,0.004294430325082322,0.15982415791558968,0.018925836863884327,0.018397810401030428,0.07002892740467302,0.6559672373213339,0.07734727784283102,5,26
6,7,hold,,1,1.0,1,1,1,-1,9.805001775809643,0.015830745458050473,0.0029303810153665745,0.15962629446374432,0.022266007579785183,0.020728385449358754,0.10798806331777669,0.7279776074429748,0.08215966389802665,5,25
7,7,hold,,1,-1.0,1,1,1,-1,13.005521782951433,0.0018455590429471654,0.00553196083743219,0.12754006100932358,0.03844133939505407,0.03272733920354709,0.07701406167054474,0.8392268382796064,0.4578434107075444,5,29
8,7,hold,,0,1.0,1,1,1,-1,32.138765096817565,0.006192405722654418,0.012868332029863363,0.12244202467689203,0.024233387648021326,0.009238955243457124,0.06887892525581595,0.9534386910254248,0.7109317267158661,5,27
9,7,hold,,0,-1.0,1,1,1,-1,42.068015821320344,0.00838582132924168,0.015043718761685558,0.1287453446891914,0.023693239952271555,0.019998490273378206,0.06703347884476558,0.731747001497985,0.0743114472467612,5,25
10,7,hold,,1,1.0,1,1,1,-1,7.1296684150171075,0.009413487040014382,0.008506501392854297,0.13871230860266526,0.04536477016722651,0.04411765594663997,0.11928944354031253,0.8113083514827065,-0.00012020478617813524,5,29
11,7,hold,,1,-1.0,1,1,1,-1,38.22786087955788,0.00570114372976522,0.008255317504253549,0.1255353729430504,0.016531537258357452,0.013494824902622734,0.07631060211138503,0.8031823678184662,0.2450290754092337,5,28
12,7,hold,,0,1.0,1,1,1,-1,4.485511345491389,0.006478058791683924,0.0007799690605128811,0.14411392793183064,0.0534512877145938,0.047717895387145416,0.06279845988841137,0.784005047653896,0.4504580134030287,6,29
13,7,hold,,0,-1.0,1,1,1,-1,29.835244235747496,0.006335342856759032,0.008597764471565798,0.12542429547810574,0.02029605029731338,0.0177485147520228,0.07550983962141912,0.792830072709214,0.11636204526522276,5,24
14,7,hold,,1,1.0,1,1,1,-1,34.2979003803992,0.00587044082147119,0.01217676254443868,0.1250966600150093,0.0302065599029226,0.02374113172829834,0.062010230376134685,0.7790497059004314,0.24423806263796077,5,24
15,7,hold,,1,-1.0,1,1,1,-1,23.50860369895871,0.017309246367382354,0.007785814514416167,0.13458046195695972,0.008694000887634421,0.0064422276151958275,0.06932512102618883,1.0976391009419917,0.9766782454440435,3,32
16,7,hold,,0,1.0,1,1,1,-1,5.801997853818705,0.005592091167733926,0.0010440189484748092,0.13583162968829532,0.021157116658802988,0.019057975884857758,0.08171548084478199,0.7233260247216518,0.08465378673125112,5,24
17,7,hold,,0,-1.0,1,1,1,-1,18.079736668352098,0.012700675328325455,0.00412936556483945,0.20920925496203258,0.11148413840502679,0.1063350833367766,0.14906080036512576,0.8014897741339498,-0.0003125008366899884,5,25
18,7,hold,,1,1.0,1,1,1,-1,2.6747076865833606,0.010319378674416532,0.006331178809160068,0.16521250952817956,0.011646996809092354,0.004513584482222586,0.06132164029099552,0.9465763551170702,0.7080267359678962,5,25
19,7,hold,,1,-1.0,1,1,1,-1,1.1123434816372466,0.0022182178381113505,0.00023058214213393682,0.14201322875890066,0.014714735223010705,0.01231980972653068,0.07402680450330444,0.8716921973301199,0.5704016260638101,5,22
20,7,hold,,0,1.0,1,1,1,-1,10.26761120480873,0.008393737423801754,0.0013397181305224632,0.1123597744751047,0.016801096965220905,0.01447274608621841,0.059554935448774604,0.9924998802423943,-0.000323753924618142,5,26
21,7,hold,,0,-1.0,1,1,1,-1,23.41911592056755,0.004357847156120546,0.004678123463078146,0.14056993861531375,0.012170900748364764,0.010486099292813376,0.07336776873235118,0.7946890688354775,0.26318415114784166,5,33
22,7,hold,,1,1.0,1,1,1,-1,17.486159689654812,0.0052442845685113405,0.00627194580791343,0.13185414652774785,0.0111312899860194,0.007872874228630321,0.07216267045604786,0.960683399659542,0.637337492333967,5,29
23,7,hold,,1,-1.0,1,1,1,-1,40.69905237773608,0.006136380289046658,0.006520146039099844,0.048237503175214025,0.026358380216558466,0.013173646622777523,0.07776505932282973,0.7129379926929899,0.12606860091593752,5,28
24,7,hold,,0,1.0,1,1,1,-1,5.074245652981347,0.017985593824960098,0.013891594600369522,0.13220779052180864,0.015429310334747792,0.004253622328574847,0.07408021165824014,1.1675876439394137,0.8770837955718065,5,27
