attempts,eef_z,episode,frac_grasped,grip_w,off_x,off_xy,off_y,off_z,outcome,rel_yaw,success,tag,tr_steps
2,0.9538342818978334,0,1.0,0.04045486762462718,-0.02091941858447781,0.0210038266243532,-0.0018811323593231778,0.0036552008544521097,carried_ok,-59.749210170248226,1,int8,53
1,1.03444949242223,1,0.04,0.04407058816247775,-0.01435508837006841,0.014470136765545543,0.0018210699879794624,0.020042968896927936,dropped_in_carry,-68.24626350234419,0,int8,300
1,0.9792917267097389,2,0.16666666666666666,0.048266783285256604,-0.0233749849951252,0.023418957674132334,-0.001434452864500447,0.0018918249373473233,dropped_in_carry,84.00431665112306,0,int8,300
2,1.0416619923231683,3,1.0,0.04482499089565846,0.007753977677078368,0.008597733655669829,-0.0037144116892460976,-0.00032264980759185704,jammed,-40.51281074640228,0,int8,300
1,0.9722091001287615,4,1.0,0.04227632884354918,-0.012746970741632589,0.013559763293309766,-0.004624058550943494,0.0024395569612812914,carried_ok,-12.66495312676123,1,int8,52
1,1.3377292427731102,5,1.0,0.059582921475323604,-0.007132527596657215,0.013993833616729828,0.012039702212913783,-0.003270585839487599,other_fail,51.702706711508,0,int8,99
1,1.1202864600989655,6,1.0,0.04473855884555219,-0.011883008426954212,0.01237576317465437,-0.003457401463536799,-0.003251153945904143,carried_ok,20.6815811698088,1,int8,66
1,1.2306091673338295,7,1.0,0.04214750412702935,-0.004786554765583361,0.008852808047136824,0.007447221213011046,0.019764156513057088,carried_ok,27.655042386207423,1,int8,6
1,0.9647434977704087,8,1.0,0.0402850165084514,-0.0067788443088202255,0.006780955406759048,-0.00016919239117175002,-0.0017635104351782114,carried_ok,-17.79867000940426,1,int8,53
1,0.9771818276200046,9,1.0,0.042884907839597725,-0.01203910524206805,0.012048740239759038,0.00048175339708018483,0.002380900133673973,carried_ok,3.381268307947685,1,int8,46
1,0.9971171644103951,10,1.0,0.056633692204498175,-0.015533297068253609,0.016365399296742297,-0.005151987609767427,-0.0002167708222713914,carried_ok,55.63758609767521,1,int8,52
1,1.0272406650562291,11,1.0,0.039734629188734244,0.005251919467807284,0.005327178018657849,0.0008922822121606021,0.0100488638740694,carried_ok,16.261117590177488,1,int8,20
1,0.9988027607742047,12,1.0,0.04830682161997943,0.0075054895195874,0.0077662972163208156,-0.0019957453553988667,-1.5219684997875172e-05,other_fail,-44.591278399580226,0,int8,75
1,1.0012281338671265,13,1.0,0.03945027171642945,-0.004530747147960512,0.004591229883642931,-0.0007427799981849067,0.002273666679146534,carried_ok,-4.519412578819747,1,int8,58
1,1.027644360485069,14,1.0,0.04139474641308258,-0.020189544552372398,0.020659583037489597,-0.004381856005244575,-0.00527759957616142,carried_ok,-2.3354652468207897,1,int8,66
1,1.3468847112138247,15,1.0,0.059054063959215725,0.0009835814820751082,0.0030152845987778507,-0.0028503523781711337,0.005690683204149633,carried_ok,72.67997400391316,1,int8,37
1,1.0313784871365588,16,1.0,0.06383790150292618,-0.00878240229920356,0.008838995735814517,0.0009986267934975817,0.0021505278935651387,carried_ok,53.8937916105128,1,int8,71
1,1.0673051971929268,17,1.0,0.061639445674963336,-0.008683679579200503,0.00947201444691487,-0.003783221728677846,-0.008058166419528548,carried_ok,44.893155631455,1,int8,55
1,0.9431345809564061,18,1.0,0.04160129248708132,-0.0005162339014493243,0.002325284265197283,-0.002267255934597697,-0.003301025152983857,carried_ok,7.186608880885364,1,int8,30
1,1.1095802444519958,19,1.0,0.03974746072079157,0.0037633407590153467,0.004260280531944166,0.001996811594116044,0.009040295222240919,carried_ok,25.805133240385754,1,int8,10
1,0.9757558786478514,20,0.11333333333333333,0.04109389417033929,-0.020223814775620963,0.021505653573609337,-0.007313716671397056,0.016306997760034463,dropped_in_carry,-2.2241733551949334,0,int8,300
1,0.9933818224231543,21,1.0,0.040860400928749624,-0.008253778003682152,0.008443142993983336,-0.001778148554756484,-0.006701631237792787,carried_ok,6.1016945569483125,1,int8,56
1,0.9484122816235501,22,1.0,0.03975682521410298,0.0010604766464394231,0.002793592557256917,0.0025844822805192215,-1.721028926806445e-06,carried_ok,8.71281570394384,1,int8,7
1,1.0958292363008864,23,1.0,0.05193296059761058,-0.005985618584643627,0.0076247317498816525,-0.0047232302947053245,-0.004857571624220233,carried_ok,44.26457557791711,1,int8,56
1,1.070275323954438,24,1.0,0.039727828255269035,-0.006719522221240496,0.00672018305845888,-9.424148477685571e-05,0.01138237674693115,carried_ok,-3.6919927735153393,1,int8,57
1,1.018613313823355,25,1.0,0.06007615994949278,-0.005211227546457273,0.005223348543756489,0.0003556367087463527,0.0115308039783363,jammed,-34.45249632694483,0,int8,300
1,0.9928652653728491,26,1.0,0.04638444695186701,-0.004707121839866282,0.005861395759311004,-0.003492701566398551,0.0031331333885842305,carried_ok,88.96718878817363,1,int8,54
1,1.0468746952609616,27,1.0,0.04524649407425133,0.015988169340178087,0.01607477853124748,-0.0016664171081828094,0.007833893528932769,carried_ok,52.42304739814367,1,int8,83
1,1.0131996109656813,28,0.056666666666666664,0.050131651186634055,-0.020639046881548058,0.020803120347363566,-0.0026075965961308866,0.015169718403970233,dropped_in_carry,26.513479414902463,0,int8,300
2,1.0718554009142707,29,1.0,0.04713622173285789,-0.01453421427016253,0.01594940357397739,0.006568111594256503,0.007927261572088314,carried_ok,34.27717035023379,1,int8,30
1,0.9905890315502669,30,1.0,0.04083637378425645,-0.019385771593578148,0.02003354784924004,-0.005053206818388575,-0.008443284177178913,carried_ok,-45.16611094464795,1,int8,52
