episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z
0,success,1,1,62,89.40833066211907,-20.331815530312447,-110.92348486819338,-0.004955568941092238,-0.001080795515427112,0.005522818247271478,0.005072058997693678,1.0427207166333563
1,success,1,1,72,10.063479289698076,-46.70816761774345,143.3553116719546,-0.00510996418835032,0.0007138297973794839,-0.003336164462358374,0.00515958205534611,1.0372516059070747
2,success,1,2,10,46.68623703412516,-53.531508163181584,-6.845271129056428,-0.02862324475121711,0.005174511300887071,-0.006311346267265419,0.029087208654167654,1.0128434210578952
3,success,1,1,91,34.825873279952866,-62.377374963744515,-27.551501683791646,-4.111025051090219e-05,0.0015812546084713556,0.0025926365414810763,0.0015817889206556509,0.9855710281348796
4,success,1,1,57,-69.93462412166433,-37.687594120233484,72.37778175810219,0.011367534601738713,0.0021791109226750507,0.011069582570015061,0.011574513697561925,0.9901219267526021
5,success,1,1,87,-5.991849827313103,-43.619886243740524,130.38826392894637,0.0008615349588492352,-0.005518503481019401,-0.001811194166101531,0.005585348973461067,0.9863142011103366
6,transport_stall,0,1,124,-83.18846044676918,-51.83518626883232,-135.0236467156015,0.0020510208357848517,-0.002905159915513679,-0.006756172661939216,0.003556211552133961,1.0097950087153726
7,transport_stall,0,1,132,44.499020967975966,-68.34650068115657,-23.84747971318061,0.005888104225643945,0.0007541904599390782,0.011070647089777117,0.0059362087751282135,0.9240537963464885
8,success,1,1,82,18.456011440165792,-7.8278605019628476,-169.37184906179706,-0.001171737686320287,-0.0074925613170125655,0.01491884078115595,0.007583630020955419,1.0494806254753206
9,release_miss,0,1,66,24.258739300240947,-58.73174977969166,145.5269895205493,-0.007946328772092455,0.0021150429071388247,0.0019676105086845227,0.008222988961030084,1.0952572815664845
10,success,1,1,28,-89.01348642873752,-45.91349299618516,45.07302057507731,-0.02564355411911513,-0.0035967233334682543,-0.0058500989822377805,0.025894560946219992,1.0116151260571276
11,timeout_released_miss,0,1,300,51.93743956892289,-35.21987842600612,-163.28243885708324,-0.017568299813442236,-0.009393630570798167,-0.0030485348591986657,0.01992198417918327,0.9683858457606676
12,timeout_dropped,0,1,300,-70.01510637351855,-46.91366582453903,-116.92877219805757,-0.013702454951658286,-0.00299694038705617,0.02349609359691881,0.01402636529489351,0.9769070125619722
13,success,1,1,78,-71.16594684020097,-22.886841212142084,85.94721194765695,-0.013659933592056826,-0.009439283028465752,0.0031725839994382575,0.016604031131953592,0.9547424658291085
14,transport_stall,0,1,79,12.366893749064632,-27.163824253146384,-14.796930504081748,0.00047388013440783196,0.0003768662945080308,-0.004773951340818056,0.0006054672457884065,1.0386824500264047
15,success,1,1,56,-79.62066719728017,-22.116258001833323,78.26307480088651,-0.006457967682696849,-0.005407179605718713,0.002575896048410976,0.00842276307866114,0.983765818592039
16,success,1,1,61,62.48427474153272,-40.32039755958129,22.16387718195143,-0.023568203480351865,0.0017013219157972805,0.02141853388421015,0.02362953049792657,0.9234569831825773
17,success,1,2,75,-72.60758830897763,-52.40438834430773,-125.01197665328536,0.0014825950036125289,-0.004398903308627991,-0.0024743712139094257,0.004642029541417754,1.0695029479827223
18,success,1,1,92,18.14832777314383,-73.56216536360085,-55.41383759045704,-0.0035801051309255908,0.0011205002604879066,0.0004247150706505296,0.003751356232382258,0.9739458348732262
19,success,1,1,93,18.548024124637262,-57.359551128540424,-38.81152700390316,0.005473338992023844,0.0006997612592609954,0.006057360465788404,0.005517889591281355,0.9067239313169477
20,fell_off_table,0,1,45,-39.3764077117953,-55.42290015989138,-94.79930787168668,-0.02621644936995185,-0.0013636697069054574,0.02283035028152057,0.026251891601116677,1.0057431724168728
21,success,1,1,116,-31.34119351196935,-33.350596705657715,115.30820978237291,-0.013716332847560929,-0.0026546404800156147,0.0012297154038417826,0.013970859059600323,0.9821286018410468
22,success,1,1,70,-78.68329808723325,-36.86544068512871,64.45126122763804,-0.008040354753748273,-0.0062245311044350155,0.008252837094836705,0.0101681902045645,0.9870608755840538
23,success,1,1,86,17.460215253909144,-42.207034531392075,-24.746819277482935,-0.00099811227595532,0.0021025622499578956,-0.003461688151502712,0.002327444119707435,1.061009244242484
24,success,1,1,57,23.255961588839458,-15.036534669208985,8.219426919630466,-0.005148138439385058,0.0014618794972064658,0.0005188739491246,0.005351674602909509,0.969631158888323
25,success,1,1,58,-12.590676115727593,-49.64511993830157,-62.235796054029166,-0.013348909797027316,-0.008192476048235956,-0.007244222559120732,0.01566237710470833,1.0268179548038219
26,timeout_dropped,0,1,300,34.88807076392465,-42.49164987604713,-7.603579112122471,-0.03698176978390049,-0.002858769033822345,-0.010016736968737035,0.037092099653944596,0.9746762147132249
