episode,reason,success,handoff_attempts,place_steps,rel_yaw,eef_yaw,obj_yaw,off_x,off_y,off_z,off_xy,obj_z,eef_x,eef_y,eef_z,grip_w,j0,j1,j2,j3,j4,j5,j6
0,success,1,1,85,-81.2649869638139,-36.75232463472605,-118.01731159853995,0.00034509218484114756,-0.001723673013617937,0.01025100129226713,0.0017578786288914197,1.0574250354731565,0.1201372916065492,-0.3586378671356249,1.0629886468356835,0.046346894732638366,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,success,1,1,99,17.41284717673673,-74.345951543251,123.06689563348574,-0.010124443293856002,0.0007691544822496146,0.01981370715774203,0.010153617612854566,1.020992776557241,0.16107071527932582,-0.4987388639686495,1.0408737431486657,0.03957043412832202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,success,1,1,69,9.524106935806481,-8.760190404627181,0.7639165311792986,-0.0015812494733444507,0.00015807526842895255,-0.0022057593755145767,0.0015891311108404455,1.122668765275363,0.19165730069944115,-0.18670839632698988,1.122799880531602,0.039707725880955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,success,1,1,87,13.0339240074105,-40.23134273630527,-27.197418728894775,0.0012123901173275412,0.0002006000746741796,0.001060749417089589,0.0012288735437598025,1.0860537954510134,0.18925641479316038,-0.22657310390506055,1.0858573280665154,0.03971333722718352,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,success,1,1,66,5.269246563520296,-18.780068889229568,-13.510822325709269,-0.0017144956593146308,0.0002909118210085163,0.002529664138880251,0.001739001165442738,1.0286930107312704,0.07013529300495666,-0.1338083741442358,1.0316983501257637,0.039724526073603564,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,release_miss,0,1,79,-22.906707557011135,-59.611770234216955,97.48152220877189,-0.008568319970423562,-0.0011548468133911619,0.00021354854184662945,0.008645795410369075,1.1664961036010797,0.3407564035760078,-0.21007048975369225,1.1717056092978175,0.046333932242667145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,success,1,2,23,30.873007818565537,-11.538354792592662,19.334653025972873,0.01381231639546067,-0.005266199907359751,-0.003930360979772383,0.014782183386515926,1.225717812534556,0.225249708228465,-0.08431893940485391,1.2106749497914098,0.041901972734398996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,success,1,1,71,15.383687178204504,-24.25368021553351,171.13000696267102,-0.004388283397988132,-0.0010023397971359856,0.0030508150130872345,0.00450130161730814,1.0008534936270683,0.16661111045933613,-0.41909390110205164,1.004032115373082,0.040476865090139015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,success,1,2,77,-65.78294032915186,-62.058524632590405,-127.84146496174226,0.014710607095977019,0.0076210995765192665,0.0034077642731668344,0.016567532100087556,0.940322694485378,0.22532971296215532,-0.391153062886235,0.9434822669626003,0.05143361828391053,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,success,1,1,63,43.282226272652466,-27.53169425613297,-164.24946798348049,-0.007500929152365979,-0.00686645972504768,-0.0035920610621049303,0.01016917928372372,0.9651298286390712,0.03423454519663524,-0.28863822967726294,0.9665026094862529,0.059819211886596946,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,success,1,1,71,85.19032313445764,-38.076751224621574,-132.88642809016392,-0.0021451486256843307,-0.005890144368970387,-0.002151245139208705,0.006268609360423485,0.9700826132711073,0.032095963469164705,-0.30650880766890215,0.9690905258658498,0.04942689060981696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,success,1,2,61,-5.2008501044678725,-28.321406695999254,146.47774319953285,-0.004271746298374668,-0.0010011569292555826,0.0008493165880656961,0.0043874971948337635,1.0108967029514364,0.07508393412375285,-0.36200024401145586,1.0134425009620371,0.03972859564928087,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,success,1,1,74,-69.16950666508245,-40.800890929656056,-109.9703975947385,-6.475572412216165e-05,-0.0025216505602900416,-0.0014310992599293536,0.0025224818833874045,1.018583620452779,0.019224996040738837,-0.38125780292787775,1.0175458702409585,0.05620159762971063,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,success,1,1,76,86.76500066593593,-30.80822459742597,55.95677606850997,-0.008996328155902355,-0.0019396068074348841,0.0065410908223424,0.009203042695550705,0.9902057092831388,0.14519865721719344,-0.45446962226690785,0.9991031807658683,0.04624139944383256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,success,1,1,65,3.741418712092332,-16.77101701098334,-13.029598298891003,-0.0012818699613542444,0.00011804051445651382,-0.004841781153242212,0.0012872933468621246,1.06113346665752,0.09121810819653237,-0.095324977355052,1.058776104147032,0.039245155047023174,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,success,1,1,64,88.6001193662087,-47.364265166406426,-138.7641458001977,-0.0008082699697836098,-0.0003097073939031677,-0.0012466797212502606,0.0008655743838008893,1.081936833989543,0.034150794210982424,-0.3884709164869853,1.0809850347966705,0.04511210650535136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,success,1,1,50,-79.1148517852057,-46.83443338164002,54.050714833154274,-0.01884985699271813,0.002188625089510353,-0.0035401705879021545,0.01897649041388736,0.9395625909346346,0.22340950308575702,-0.18187375102015485,0.9456795121581189,0.04738150412687479,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,success,1,1,85,-59.55979626855247,-67.81237445264522,52.62782927880231,0.005435602505566224,-0.001825183870110645,0.0011431215203726872,0.005733853046445286,0.9742496888253334,0.2277012509199033,-0.36623524670203883,0.9719904196399496,0.048850307648089286,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,success,1,1,66,-62.02410153445839,-31.662138631894543,86.31375983364707,-0.020196750094522736,-0.0018613537169231394,-0.009612469339936647,0.020282340891526987,1.0732659933567499,0.189542132943654,-0.3983637847302732,1.070321018543412,0.0472523168615562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,success,1,1,59,-77.83108084893182,-38.29595508070344,63.872964070364745,0.003674037321906071,-0.001988280521624558,0.0064319102599042915,0.004177536316470554,0.9388785507943241,0.0839203802333841,-0.3775676258222629,0.9415908633579428,0.045837336853206324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,success,1,1,78,-58.37823232477493,-78.60054943499105,-136.97878175976598,0.008618969038949258,-1.836167619356484e-05,-0.001011659192318999,0.008618988597597663,1.0109758678847809,0.2163830588857324,-0.32463927511261875,1.0051179124257685,0.04995047053053843,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,success,1,1,129,26.732015875915923,-58.941899743042356,-32.20988386712643,-0.002412703729533303,0.0028855012666822847,0.001584538609426445,0.00376128393590925,1.033771922645433,0.2589252456135184,-0.1929070982046733,1.0378432617696671,0.03976895759188879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,success,1,1,70,58.28867881165318,-32.763839179908366,-154.4751603682552,-0.01997630010871886,-0.01356369956815728,0.006170450601540336,0.024145941936665694,0.9612505103753795,-0.04029345661431733,-0.4259359708751421,0.971026714740757,0.05179118361494511,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,success,1,1,90,24.010853712429665,-86.60624116069525,117.4046125517344,0.0076761005661261355,0.0027534318072082115,-0.0014045143463163785,0.008154992741764266,1.0417480348113108,0.249183191390484,-0.4778582451392121,1.0399740067618652,0.03975290685214522,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,success,1,1,76,29.99506992092379,-19.58181126556708,-169.5867413446433,-0.006677463112214106,-0.006358474488158539,0.005123170221763617,0.009220559171305343,1.0581318315271762,0.09599822189639656,-0.45153087090722394,1.0658055616899773,0.058740341313739085,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,success,1,1,73,-64.78583775070774,-27.534658111389827,87.67950413790243,0.00033471306359249725,-0.00794355286406884,0.003634288848737081,0.007950601545744557,0.9860377262369907,0.07943189059811934,-0.30753611269253656,0.9868078136234352,0.05283590328848883,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,success,1,1,12,-21.855546780829314,-61.27057104250127,-83.12611782333059,-0.034939602658591314,0.007019277368899179,0.0022277926376028092,0.0356377059969042,1.0819739912655513,0.12752004053134552,-0.09534035895622056,1.0870369164871583,0.02189526092132224,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,success,1,1,77,-7.453487382420853,12.09276867166071,4.639281289239855,0.01404557894186536,-0.0002662859852145177,0.008360613381501028,0.014048102933780535,0.9717431483224533,0.22201239688067964,-0.32927902419070276,0.969156667893396,0.03962311038735309,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,success,1,1,39,5.190663999097753,-6.179774327899886,179.01088967119784,-0.001461532731157227,0.0005409421533026576,-0.0039872008195743665,0.001558427520760468,1.024116138403027,0.07723489900842093,-0.13719953158360534,1.0221794280463323,0.04026701377417556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,success,1,1,79,-6.099014402567077,-24.641364852672694,149.25962074476024,0.013347819361756594,-0.00015617695229983643,0.004853385609198363,0.01334873300933515,0.9871212637739434,0.2312390417898309,-0.4174263670175547,0.983726141670685,0.039700407997830305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,success,1,1,89,1.0235820783081095,-41.40299331932871,-40.37941124102059,-0.020690408524538358,4.8686821256551847e-05,0.012519311380361229,0.02069046580719858,1.0103336914221694,0.15951787766289588,-0.5052998053380329,1.0325215360854358,0.03971082693599255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,success,1,1,81,-39.23609281184439,-27.78205188792914,112.98185530022646,0.008703358646047099,-0.005171871575527874,0.005140077413443442,0.010124065750254489,1.0029046064573528,0.25311386919114953,-0.3964876435136705,1.0014780967752683,0.0540868946777056,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,success,1,1,48,81.7505532063448,-45.62080331365935,-143.87025010731455,-0.019635155703053707,0.005669874499252199,0.0014366988231358834,0.02043738770783666,0.9753213508985361,0.18358199184591006,-0.12744063892691768,0.9896284693780107,0.0515215772305976,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,success,1,1,61,5.726785520425929,-57.31118961373319,-51.58440409330726,-0.007324937661192822,0.00032839900075718137,-0.0011738802956806167,0.007332295523508261,0.9782468347148939,0.12754832818362538,-0.29795379987939624,0.9810656657802099,0.0397224503921594,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,success,1,1,16,-6.602240000891165,-62.29732434303778,-68.89956434392894,-0.029461080782945962,0.002742392403190469,-0.005334029860818645,0.02958844363923768,1.0974688083300674,0.13617382543846834,-0.13040394307402084,1.0964733424630482,0.03377999072282221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,fell_off_table,0,1,53,88.26185766000361,17.870818589801054,106.13267624980467,-0.013217583738690348,-0.006282623197187844,0.01345570381083532,0.014634748857672082,0.9535806591984112,0.2200118139348022,-0.14724206918484398,0.9733614501504246,0.04652891521928973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,success,1,1,71,15.913375210173498,-31.92812717397011,-16.014751963796616,0.015899064888286372,-0.0005456016677927256,0.007483624071850915,0.015908423727756273,0.9751784098428178,0.15291669027893318,-0.34006511555320384,0.9704421339009652,0.041157589079012395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,success,1,1,76,-2.059654824189938,-67.03307784852709,-69.09273267271702,-0.011385292131228924,-0.002615415807121677,-9.58362387121708e-05,0.0116818353334382,0.9930971933604271,0.16697561590454257,-0.3501266033638504,0.9932150461407999,0.053822377127890134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,transport_stall,0,1,122,-34.42312901038458,1.946528749349673,-32.4766002610349,0.0015380803573896919,-0.0022735381654919165,-0.005662670200595208,0.0027449347853339525,1.1054986590583147,0.17154050275927823,-0.10330562389948578,1.101245473018768,0.0524180620184707,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,success,1,1,22,-78.29503046084515,-23.98499910529515,77.7199704338597,-0.00902521769335543,-0.002500586947637741,-0.005255681884554583,0.00936522767983524,1.0128658235344976,0.04205330261153448,-0.10894814566189731,1.0116325931745849,0.045522386233258924,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,success,1,1,81,-32.58226619249502,-60.58595776995923,-93.16822396245425,-0.00559631799142829,-0.002225554023426002,0.0001250547090958583,0.006022612869209811,1.0004500973317876,0.09065496001702597,-0.4114164967512555,1.003858116955653,0.06101784667203466,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,success,1,1,53,63.89318227321876,-29.203400372291163,-145.31021809907242,-0.02020628840655026,-0.008496151940435933,0.010282580057560822,0.021919824108866857,0.9798076694117058,0.19747423962716515,-0.2806839161597863,0.9949481232771679,0.05227817542079986,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,success,1,1,60,-26.896048676776747,-69.36583231435542,-96.26188099113217,-0.011364793781400467,-0.0030589402850861635,0.0019636885707861023,0.011769267324752282,1.0017653377335205,0.19432025825400528,-0.17717737080166707,1.003889852202711,0.05962882968298367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,release_miss,0,1,68,-62.77536051227227,-69.2649832395812,-132.04034375185347,0.009018151515645143,0.0025715055201828907,0.0016047033781207076,0.009377616829422274,0.9892268901465747,0.23633158386359515,-0.26732201273952133,0.9882517678072481,0.044866103254663295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,success,1,2,61,-78.00920322551383,-53.56187198751354,-131.57107521302737,-0.013041579138979019,-6.710528299271306e-05,0.012028439973504768,0.013041751782535131,1.0025334695162103,0.10169631681381089,-0.3708494062047044,1.016747261525386,0.04583015008184797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,success,1,1,74,-8.51446268972696,-13.226792980724847,-21.741255670451807,0.0005208158375659606,-0.0010285108790928975,-0.006658364082241514,0.0011528589528090494,1.1185026948052357,0.0815318667475632,-0.11091908171162121,1.1137398453927727,0.04218599839988779,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,success,1,1,71,-3.656780667517468,-65.42095943826143,-69.0777401057789,-0.021710171974146812,-0.007381883235823913,-0.002631305793694961,0.022930847504058105,0.9576423416530463,0.14029534707710406,-0.41447526936499424,0.9517913385772154,0.05018511740159375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,success,1,2,8,-4.738749038496136,-52.92726423730493,-57.66601327580107,-0.01742885432912035,0.0005407930658797074,0.02320837059597264,0.01743724233833437,1.0423549674428783,0.2483265068307698,-0.04730934038673618,1.0551351035721868,0.028307888449831453,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,success,1,1,65,57.32609185369262,-47.46877748570644,9.857314367986175,-0.03365328020902779,0.0012840005972300384,-0.00309083257668173,0.03367776605360024,0.9830709556280719,0.20452551844281402,-0.2362512581929523,0.9990046304095987,0.02353668848684152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,success,1,1,53,76.94933675836748,-29.520245937169065,-132.57090917880157,-0.008826745400049785,-0.003651874862696645,0.008151990482067646,0.00955236224030976,0.9771943614612852,0.0006448351649757447,-0.167420081987238,0.9886712548476302,0.0498527316662319,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,success,1,1,88,-82.00365039675565,-41.70061733506094,56.29573226818341,-4.230104640289521e-06,-0.00012039165758622708,0.008116324686145138,0.00012046594955267296,1.0104625107653367,0.15449615567301025,-0.5214073126409852,1.0171788223267433,0.04562690678405279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,fell_off_table,0,1,44,-82.75070937174188,-41.012213701087376,56.23707692717074,-0.0009102542261412837,0.005756796967440477,0.02665558308858368,0.005828316573466128,0.9886476983002687,0.11118025817087937,-0.2962158064396265,1.0101131947562303,0.03983372752463272,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,success,1,1,72,-85.45236349922801,-48.3766564696665,-133.82901996889453,-0.003040144203162267,-0.0057582457239760704,-0.001503841241451698,0.006511518301725783,0.990640270254957,0.09080841109388298,-0.2708700075419141,0.9899104077612174,0.050822911718755984,0.0,0.0,0.0,0.0,0.0,0.0,0.0
