episode,attempts,success,phase,steps,tag
0,2,1,DONE_OK,131,int8_fixed_tuned
1,1,1,DONE_OK,98,int8_fixed_tuned
2,1,1,DONE_OK,66,int8_fixed_tuned
3,1,1,DONE_OK,126,int8_fixed_tuned
4,1,1,DONE_OK,96,int8_fixed_tuned
5,1,0,DONE_FAIL,300,int8_fixed_tuned
6,1,1,DONE_OK,113,int8_fixed_tuned
7,1,1,DONE_OK,115,int8_fixed_tuned
8,1,1,DONE_OK,49,int8_fixed_tuned
9,1,1,DONE_OK,90,int8_fixed_tuned
10,6,1,DONE_OK,108,int8_fixed_tuned
11,2,1,DONE_OK,118,int8_fixed_tuned
12,1,1,DONE_OK,123,int8_fixed_tuned
13,1,1,DONE_OK,50,int8_fixed_tuned
14,1,1,DONE_OK,112,int8_fixed_tuned
15,2,1,DONE_OK,113,int8_fixed_tuned
16,2,1,DONE_OK,78,int8_fixed_tuned
17,2,1,DONE_OK,114,int8_fixed_tuned
18,1,1,DONE_OK,135,int8_fixed_tuned
19,1,1,DONE_OK,130,int8_fixed_tuned
20,1,1,DONE_OK,125,int8_fixed_tuned
21,1,1,DONE_OK,118,int8_fixed_tuned
22,1,1,DONE_OK,135,int8_fixed_tuned
23,1,1,DONE_OK,117,int8_fixed_tuned
24,1,1,DONE_OK,118,int8_fixed_tuned
25,2,1,DONE_OK,103,int8_fixed_tuned
26,1,1,DONE_OK,127,int8_fixed_tuned
27,1,1,DONE_OK,134,int8_fixed_tuned
28,2,1,DONE_OK,33,int8_fixed_tuned
29,1,1,DONE_OK,104,int8_fixed_tuned
30,1,1,DONE_OK,115,int8_fixed_tuned
31,3,1,DONE_OK,109,int8_fixed_tuned
32,1,1,DONE_OK,62,int8_fixed_tuned
33,2,1,DONE_OK,131,int8_fixed_tuned
34,1,1,DONE_OK,76,int8_fixed_tuned
35,1,1,DONE_OK,43,int8_fixed_tuned
36,1,1,DONE_OK,129,int8_fixed_tuned
37,1,1,DONE_OK,93,int8_fixed_tuned
38,2,1,DONE_OK,94,int8_fixed_tuned
39,2,1,DONE_OK,114,int8_fixed_tuned
40,1,1,DONE_OK,122,int8_fixed_tuned
41,1,1,DONE_OK,75,int8_fixed_tuned
42,1,1,DONE_OK,118,int8_fixed_tuned
43,1,1,DONE_OK,121,int8_fixed_tuned
44,1,1,DONE_OK,100,int8_fixed_tuned
45,1,1,DONE_OK,117,int8_fixed_tuned
46,1,1,DONE_OK,102,int8_fixed_tuned
47,1,1,DONE_OK,72,int8_fixed_tuned
48,1,1,DONE_OK,122,int8_fixed_tuned
49,1,1,DONE_OK,115,int8_fixed_tuned
50,1,1,DONE_OK,131,int8_fixed_tuned
51,1,1,DONE_OK,92,int8_fixed_tuned
52,1,1,DONE_OK,125,int8_fixed_tuned
53,1,1,DONE_OK,62,int8_fixed_tuned
54,1,1,DONE_OK,95,int8_fixed_tuned
55,1,1,DONE_OK,115,int8_fixed_tuned
56,2,1,DONE_OK,119,int8_fixed_tuned
57,2,1,DONE_OK,126,int8_fixed_tuned
58,2,1,DONE_OK,34,int8_fixed_tuned
59,1,1,DONE_OK,87,int8_fixed_tuned
60,1,1,DONE_OK,46,int8_fixed_tuned
61,1,1,DONE_OK,43,int8_fixed_tuned
62,1,1,DONE_OK,112,int8_fixed_tuned
63,1,1,DONE_OK,60,int8_fixed_tuned
64,1,1,DONE_OK,101,int8_fixed_tuned
65,1,1,DONE_OK,100,int8_fixed_tuned
66,2,1,DONE_OK,94,int8_fixed_tuned
67,1,1,DONE_OK,122,int8_fixed_tuned
68,1,1,DONE_OK,68,int8_fixed_tuned
69,1,1,DONE_OK,47,int8_fixed_tuned
70,1,1,DONE_OK,120,int8_fixed_tuned
71,1,1,DONE_OK,31,int8_fixed_tuned
72,1,1,DONE_OK,128,int8_fixed_tuned
73,2,1,DONE_OK,109,int8_fixed_tuned
74,1,0,DONE_FAIL,300,int8_fixed_tuned
75,2,1,DONE_OK,41,int8_fixed_tuned
76,2,1,DONE_OK,114,int8_fixed_tuned
77,1,1,DONE_OK,112,int8_fixed_tuned
78,1,1,DONE_OK,133,int8_fixed_tuned
79,1,1,DONE_OK,143,int8_fixed_tuned
80,1,1,DONE_OK,113,int8_fixed_tuned
81,1,1,DONE_OK,106,int8_fixed_tuned
82,2,1,DONE_OK,101,int8_fixed_tuned
83,1,1,DONE_OK,129,int8_fixed_tuned
84,1,1,DONE_OK,63,int8_fixed_tuned
85,3,1,DONE_OK,124,int8_fixed_tuned
86,1,1,DONE_OK,119,int8_fixed_tuned
87,1,1,DONE_OK,138,int8_fixed_tuned
88,1,1,DONE_OK,114,int8_fixed_tuned
89,1,1,DONE_OK,117,int8_fixed_tuned
90,1,0,DONE_FAIL,300,int8_fixed_tuned
91,1,1,DONE_OK,121,int8_fixed_tuned
92,1,1,DONE_OK,114,int8_fixed_tuned
93,1,1,DONE_OK,122,int8_fixed_tuned
94,1,1,DONE_OK,115,int8_fixed_tuned
95,2,1,DONE_OK,114,int8_fixed_tuned
96,3,1,DONE_OK,101,int8_fixed_tuned
97,2,1,DONE_OK,98,int8_fixed_tuned
98,1,1,DONE_OK,132,int8_fixed_tuned
99,1,1,DONE_OK,113,int8_fixed_tuned
