episode,attempts,success,phase,steps
0,1,1,DONE_OK,120
1,1,1,DONE_OK,123
2,2,1,DONE_OK,120
3,1,0,DONE_FAIL,55
4,1,1,DONE_OK,46
5,1,1,DONE_OK,139
6,1,1,DONE_OK,112
7,1,1,DONE_OK,102
8,1,1,DONE_OK,145
9,1,1,DONE_OK,101
10,1,0,DONE_FAIL,300
11,1,1,DONE_OK,121
12,1,0,DONE_FAIL,300
13,1,1,DONE_OK,131
14,1,1,DONE_OK,110
15,1,1,DONE_OK,114
16,1,1,DONE_OK,143
17,1,0,DONE_FAIL,300
18,1,0,DONE_FAIL,55
19,1,1,DONE_OK,157
20,1,1,DONE_OK,123
21,1,0,DONE_FAIL,300
22,1,0,DONE_FAIL,68
23,1,1,DONE_OK,192
24,2,1,DONE_OK,108
25,1,0,DONE_FAIL,300
26,2,1,DONE_OK,108
27,1,0,DONE_FAIL,300
28,1,0,DONE_FAIL,300
29,1,1,DONE_OK,106
30,1,1,DONE_OK,134
31,1,1,DONE_OK,136
32,1,1,DONE_OK,126
33,1,0,DONE_FAIL,67
34,1,1,DONE_OK,121
35,1,1,DONE_OK,100
36,1,1,DONE_OK,129
37,1,1,DONE_OK,123
38,1,1,DONE_OK,70
39,1,1,DONE_OK,58
40,1,1,DONE_OK,139
41,1,1,DONE_OK,141
42,1,1,DONE_OK,154
43,1,1,DONE_OK,119
44,1,1,DONE_OK,100
45,1,1,DONE_OK,184
46,1,0,DONE_FAIL,300
47,1,1,DONE_OK,126
48,1,1,DONE_OK,188
49,1,1,DONE_OK,161
50,1,1,DONE_OK,126
51,2,0,DONE_FAIL,300
52,1,1,DONE_OK,114
53,1,1,DONE_OK,111
54,1,0,DONE_FAIL,300
55,1,1,DONE_OK,91
56,1,1,DONE_OK,120
57,2,1,DONE_OK,120
58,1,0,DONE_FAIL,111
59,2,0,DONE_FAIL,300
60,2,1,DONE_OK,34
61,3,1,DONE_OK,28
62,1,0,DONE_FAIL,300
63,1,0,DONE_FAIL,176
64,1,1,DONE_OK,132
65,1,1,DONE_OK,112
66,1,0,DONE_FAIL,37
67,1,1,DONE_OK,138
68,1,1,DONE_OK,113
69,1,0,DONE_FAIL,300
70,1,1,DONE_OK,133
71,1,1,DONE_OK,109
72,1,1,DONE_OK,146
73,1,1,DONE_OK,166
74,1,1,DONE_OK,125
75,1,1,DONE_OK,135
76,1,1,DONE_OK,112
77,1,1,DONE_OK,99
78,1,0,DONE_FAIL,300
79,1,0,DONE_FAIL,300
80,1,1,DONE_OK,159
81,1,0,DONE_FAIL,300
82,1,0,DONE_FAIL,130
83,1,1,DONE_OK,107
84,2,1,DONE_OK,122
85,1,1,DONE_OK,153
86,1,1,DONE_OK,90
87,1,1,DONE_OK,97
88,1,1,DONE_OK,114
89,1,1,DONE_OK,172
90,1,0,DONE_FAIL,300
91,1,1,DONE_OK,131
92,1,0,DONE_FAIL,300
93,2,1,DONE_OK,107
94,3,1,DONE_OK,111
95,1,1,DONE_OK,78
96,1,1,DONE_OK,149
97,1,1,DONE_OK,104
98,1,1,DONE_OK,94
99,1,1,DONE_OK,136
