episode,attempts,success,phase,steps
0,3,0,DONE_FAIL,300
1,1,1,DONE_OK,102
2,3,1,DONE_OK,96
3,1,1,DONE_OK,43
4,1,0,DONE_FAIL,300
5,4,1,DONE_OK,102
6,3,1,DONE_OK,148
7,1,0,DONE_FAIL,96
8,4,1,DONE_OK,96
9,1,0,DONE_FAIL,300
10,1,0,DONE_FAIL,300
11,1,1,DONE_OK,144
12,6,0,DONE_FAIL,300
13,2,1,DONE_OK,109
14,1,1,DONE_OK,140
15,1,1,DONE_OK,98
16,1,0,DONE_FAIL,300
17,3,1,DONE_OK,120
18,2,0,DONE_FAIL,300
19,3,1,DONE_OK,137
20,1,0,DONE_FAIL,300
21,2,1,DONE_OK,51
22,3,1,DONE_OK,112
23,1,0,DONE_FAIL,55
24,3,0,DONE_FAIL,57
25,1,1,DONE_OK,108
26,3,1,DONE_OK,154
27,2,0,DONE_FAIL,300
28,2,0,DONE_FAIL,300
29,1,1,DONE_OK,112
30,1,0,DONE_FAIL,300
31,1,1,DONE_OK,111
32,2,1,DONE_OK,93
33,2,0,DONE_FAIL,300
34,4,0,DONE_FAIL,300
35,2,1,DONE_OK,98
36,6,1,DONE_OK,107
37,1,1,DONE_OK,121
38,2,1,DONE_OK,157
39,1,1,DONE_OK,146
40,1,0,DONE_FAIL,300
41,3,1,DONE_OK,107
42,2,1,DONE_OK,129
43,5,0,DONE_FAIL,50
44,4,0,DONE_FAIL,300
45,1,0,DONE_FAIL,42
46,5,1,DONE_OK,31
47,3,1,DONE_OK,119
48,6,1,DONE_OK,143
49,2,0,DONE_FAIL,102
50,2,0,DONE_FAIL,171
51,1,1,DONE_OK,108
52,1,0,DONE_FAIL,149
53,2,1,DONE_OK,120
54,2,1,DONE_OK,106
55,2,1,DONE_OK,101
56,1,1,DONE_OK,148
57,1,1,DONE_OK,129
58,2,0,DONE_FAIL,300
59,3,1,DONE_OK,91
60,3,1,DONE_OK,108
61,1,1,DONE_OK,84
62,1,0,DONE_FAIL,300
63,1,1,DONE_OK,118
64,1,1,DONE_OK,93
65,6,0,DONE_FAIL,300
66,1,1,DONE_OK,146
67,1,1,DONE_OK,99
68,3,1,DONE_OK,128
69,1,1,DONE_OK,137
70,1,1,DONE_OK,107
71,1,0,DONE_FAIL,300
72,2,0,DONE_FAIL,300
73,1,0,DONE_FAIL,300
74,4,0,DONE_FAIL,300
75,3,1,DONE_OK,120
76,2,1,DONE_OK,131
77,2,1,DONE_OK,67
78,3,0,DONE_FAIL,300
79,1,1,DONE_OK,85
80,1,0,DONE_FAIL,300
81,1,1,DONE_OK,168
82,1,1,DONE_OK,104
83,2,1,DONE_OK,106
84,2,0,DONE_FAIL,300
85,2,0,DONE_FAIL,300
86,1,1,DONE_OK,101
87,5,1,DONE_OK,89
88,3,0,DONE_FAIL,300
89,1,0,DONE_FAIL,300
90,4,0,DONE_FAIL,300
91,1,0,DONE_FAIL,300
92,1,0,DONE_FAIL,300
93,2,0,DONE_FAIL,300
94,3,1,DONE_OK,180
95,1,0,DONE_FAIL,300
96,2,1,DONE_OK,97
97,2,1,DONE_OK,96
98,2,1,DONE_OK,99
99,2,1,DONE_OK,115
