episode,attempts,success,phase,steps
0,1,1,DONE_OK,185
1,1,1,DONE_OK,136
2,1,1,DONE_OK,130
3,1,1,DONE_OK,164
4,2,1,DONE_OK,136
5,1,1,DONE_OK,142
6,1,1,DONE_OK,119
7,1,1,DONE_OK,65
8,1,1,DONE_OK,148
9,1,1,DONE_OK,121
10,1,1,DONE_OK,150
11,1,1,DONE_OK,117
12,1,1,DONE_OK,89
13,1,1,DONE_OK,185
14,1,1,DONE_OK,162
15,1,1,DONE_OK,144
16,1,1,DONE_OK,146
17,1,0,DONE_FAIL,300
18,1,1,DONE_OK,138
19,1,1,DONE_OK,145
20,1,0,DONE_FAIL,26
21,1,1,DONE_OK,141
22,1,1,DONE_OK,131
23,1,1,DONE_OK,184
24,3,1,DONE_OK,131
25,1,1,DONE_OK,151
26,1,1,DONE_OK,179
27,2,1,DONE_OK,153
28,1,1,DONE_OK,133
29,1,1,DONE_OK,150
30,1,1,DONE_OK,148
31,1,1,DONE_OK,162
32,1,1,DONE_OK,133
33,1,1,DONE_OK,112
34,1,1,DONE_OK,132
35,1,1,DONE_OK,90
36,1,1,DONE_OK,156
37,1,1,DONE_OK,141
38,1,1,DONE_OK,147
39,1,1,DONE_OK,66
40,1,1,DONE_OK,131
41,1,1,DONE_OK,154
42,1,1,DONE_OK,133
43,1,1,DONE_OK,86
44,1,1,DONE_OK,150
45,1,1,DONE_OK,138
46,2,1,DONE_OK,129
47,1,1,DONE_OK,149
48,1,1,DONE_OK,140
49,1,1,DONE_OK,136
50,1,1,DONE_OK,164
51,1,1,DONE_OK,169
52,1,1,DONE_OK,148
53,1,1,DONE_OK,143
54,2,1,DONE_OK,140
55,1,1,DONE_OK,107
56,1,1,DONE_OK,66
57,1,1,DONE_OK,117
58,1,1,DONE_OK,135
59,2,1,DONE_OK,134
