episode,attempts,success,phase,steps
0,1,0,DONE_FAIL,300
1,1,1,DONE_OK,95
2,1,1,DONE_OK,61
3,1,1,DONE_OK,131
4,1,1,DONE_OK,111
5,1,0,DONE_FAIL,300
6,2,1,DONE_OK,146
7,1,0,DONE_FAIL,300
8,1,1,DONE_OK,150
9,1,0,DONE_FAIL,300
10,1,1,DONE_OK,134
11,1,0,DONE_FAIL,300
12,1,1,DONE_OK,141
13,2,1,DONE_OK,139
14,1,1,DONE_OK,110
15,1,1,DONE_OK,126
16,1,0,DONE_FAIL,300
17,1,1,DONE_OK,90
18,1,1,DONE_OK,90
19,1,0,DONE_FAIL,300
20,1,1,DONE_OK,129
21,1,0,DONE_FAIL,300
22,1,0,DONE_FAIL,300
23,1,1,DONE_OK,132
24,1,1,DONE_OK,115
25,1,1,DONE_OK,72
26,1,1,DONE_OK,138
27,1,0,DONE_FAIL,300
28,1,1,DONE_OK,154
29,1,1,DONE_OK,114
30,2,1,DONE_OK,155
31,1,1,DONE_OK,167
32,1,0,DONE_FAIL,158
33,1,1,DONE_OK,121
34,1,0,DONE_FAIL,300
35,1,0,DONE_FAIL,300
36,2,0,DONE_FAIL,48
37,2,1,DONE_OK,61
38,1,1,DONE_OK,175
39,1,1,DONE_OK,89
40,1,0,DONE_FAIL,300
41,1,1,DONE_OK,104
42,1,0,DONE_FAIL,349
43,1,1,DONE_OK,159
44,1,1,DONE_OK,141
45,1,0,DONE_FAIL,300
46,1,1,DONE_OK,153
47,1,1,DONE_OK,110
48,1,1,DONE_OK,117
49,1,1,DONE_OK,91
50,1,1,DONE_OK,155
51,1,1,DONE_OK,110
52,1,1,DONE_OK,76
53,1,0,DONE_FAIL,300
54,1,0,DONE_FAIL,300
55,1,1,DONE_OK,136
56,1,1,DONE_OK,90
57,1,1,DONE_OK,127
58,1,0,DONE_FAIL,300
59,1,1,DONE_OK,129
