episode,attempts,success,phase,steps
0,1,0,DONE_FAIL,300
1,2,1,DONE_OK,144
2,1,1,DONE_OK,173
3,1,1,DONE_OK,150
4,1,0,DONE_FAIL,300
5,1,0,DONE_FAIL,104
6,2,1,DONE_OK,145
7,1,1,DONE_OK,121
8,2,1,DONE_OK,128
9,1,0,DONE_FAIL,300
10,1,1,DONE_OK,139
11,1,0,DONE_FAIL,300
12,1,1,DONE_OK,205
13,1,1,DONE_OK,141
14,1,1,DONE_OK,139
15,2,0,DONE_FAIL,300
16,1,1,DONE_OK,279
17,1,1,DONE_OK,136
18,2,0,DONE_FAIL,91
19,1,1,DONE_OK,132
20,1,1,DONE_OK,161
21,1,1,DONE_OK,201
22,1,0,DONE_FAIL,300
23,2,0,DONE_FAIL,169
24,1,1,DONE_OK,147
25,2,1,DONE_OK,138
26,2,1,DONE_OK,145
27,1,1,DONE_OK,72
28,1,0,DONE_FAIL,300
29,2,1,DONE_OK,174
30,1,1,DONE_OK,146
31,1,1,DONE_OK,113
32,3,1,DONE_OK,94
33,1,0,DONE_FAIL,300
34,1,1,DONE_OK,94
35,2,1,DONE_OK,148
36,1,1,DONE_OK,158
37,1,1,DONE_OK,135
38,2,1,DONE_OK,156
39,2,0,DONE_FAIL,251
40,1,0,DONE_FAIL,300
41,1,0,DONE_FAIL,300
42,2,1,DONE_OK,147
43,1,1,DONE_OK,100
44,2,1,DONE_OK,147
45,1,1,DONE_OK,112
46,1,1,DONE_OK,157
47,1,1,DONE_OK,150
48,1,0,DONE_FAIL,300
49,1,0,DONE_FAIL,88
50,1,1,DONE_OK,142
51,2,1,DONE_OK,157
52,1,1,DONE_OK,159
53,1,1,DONE_OK,159
54,3,1,DONE_OK,339
55,1,0,DONE_FAIL,143
56,2,1,DONE_OK,88
57,1,1,DONE_OK,107
58,1,1,DONE_OK,96
59,2,1,DONE_OK,249
