episode,attempts,success,phase,steps
0,1,1,DONE_OK,103
1,1,0,DONE_FAIL,60
2,3,0,DONE_FAIL,300
3,1,0,DONE_FAIL,55
4,3,0,DONE_FAIL,300
5,2,1,DONE_OK,52
6,1,1,DONE_OK,139
7,1,1,DONE_OK,29
8,4,0,DONE_FAIL,300
9,2,1,DONE_OK,98
10,2,0,DONE_FAIL,109
11,1,0,DONE_FAIL,300
12,5,0,DONE_FAIL,300
13,1,1,DONE_OK,100
14,6,1,DONE_OK,115
15,3,1,DONE_OK,119
16,2,0,DONE_FAIL,113
17,3,1,DONE_OK,124
18,1,1,DONE_OK,90
19,5,0,DONE_FAIL,215
20,3,0,DONE_FAIL,227
21,8,0,handoff_failed,0
22,1,1,DONE_OK,141
23,4,0,DONE_FAIL,57
24,2,0,DONE_FAIL,117
25,3,0,DONE_FAIL,300
26,1,0,DONE_FAIL,300
27,1,0,DONE_FAIL,300
28,4,0,DONE_FAIL,55
29,6,0,DONE_FAIL,300
30,1,1,DONE_OK,101
31,1,0,DONE_FAIL,222
32,4,1,DONE_OK,44
33,1,1,DONE_OK,114
34,1,0,DONE_FAIL,300
35,3,1,DONE_OK,115
36,2,0,DONE_FAIL,300
37,1,0,DONE_FAIL,300
38,2,0,DONE_FAIL,300
39,4,1,DONE_OK,141
40,3,0,DONE_FAIL,109
41,3,0,DONE_FAIL,300
42,5,0,DONE_FAIL,114
43,4,0,DONE_FAIL,73
44,1,1,DONE_OK,150
45,7,0,DONE_FAIL,300
46,5,0,DONE_FAIL,300
47,2,0,DONE_FAIL,300
48,2,0,DONE_FAIL,300
49,6,0,DONE_FAIL,139
50,1,1,DONE_OK,113
51,8,1,DONE_OK,34
52,2,1,DONE_OK,119
53,8,1,DONE_OK,102
54,6,0,DONE_FAIL,300
55,2,0,DONE_FAIL,66
56,1,0,DONE_FAIL,55
57,2,0,DONE_FAIL,300
58,5,0,DONE_FAIL,300
59,3,0,DONE_FAIL,55
