episode,attempts,success,phase,steps
0,1,0,DONE_FAIL,300
1,1,1,DONE_OK,156
2,1,1,DONE_OK,50
3,1,1,DONE_OK,79
4,1,1,DONE_OK,132
5,1,1,DONE_OK,65
6,1,1,DONE_OK,98
7,1,1,DONE_OK,111
8,1,0,DONE_FAIL,300
9,2,1,DONE_OK,55
10,1,0,DONE_FAIL,300
11,1,0,DONE_FAIL,300
12,1,1,DONE_OK,131
13,1,1,DONE_OK,153
14,1,1,DONE_OK,113
15,1,1,DONE_OK,106
16,2,1,DONE_OK,76
17,1,0,DONE_FAIL,300
18,3,1,DONE_OK,153
19,2,0,DONE_FAIL,300
20,1,1,DONE_OK,119
21,1,1,DONE_OK,169
22,1,1,DONE_OK,96
23,2,1,DONE_OK,142
24,1,1,DONE_OK,87
25,1,1,DONE_OK,94
26,2,1,DONE_OK,130
27,1,0,DONE_FAIL,300
28,1,0,DONE_FAIL,300
29,1,1,DONE_OK,162
30,1,1,DONE_OK,133
31,1,0,DONE_FAIL,300
32,1,1,DONE_OK,129
33,2,0,DONE_FAIL,300
34,1,1,DONE_OK,103
35,1,1,DONE_OK,142
36,2,1,DONE_OK,151
37,2,0,DONE_FAIL,300
38,1,1,DONE_OK,69
39,1,1,DONE_OK,107
40,1,1,DONE_OK,146
41,1,0,DONE_FAIL,100
42,1,1,DONE_OK,128
43,2,0,DONE_FAIL,300
44,1,0,DONE_FAIL,300
45,2,1,DONE_OK,91
46,1,1,DONE_OK,159
47,1,1,DONE_OK,132
48,1,1,DONE_OK,156
49,1,1,DONE_OK,133
50,2,0,DONE_FAIL,300
51,1,1,DONE_OK,136
52,1,1,DONE_OK,165
53,1,1,DONE_OK,183
54,2,1,DONE_OK,113
55,1,1,DONE_OK,146
56,1,1,DONE_OK,135
57,1,0,DONE_FAIL,300
58,2,1,DONE_OK,157
59,4,0,DONE_FAIL,300
