episode,attempts,success,phase,steps
0,6,1,DONE_OK,90
1,1,0,DONE_FAIL,300
2,1,1,DONE_OK,67
3,2,1,DONE_OK,115
4,2,0,DONE_FAIL,130
5,2,0,DONE_FAIL,163
6,2,1,DONE_OK,88
7,6,1,DONE_OK,113
8,8,0,handoff_failed,0
9,3,0,DONE_FAIL,300
10,2,0,DONE_FAIL,300
11,1,0,DONE_FAIL,300
12,8,0,handoff_failed,0
13,2,0,DONE_FAIL,55
14,2,0,DONE_FAIL,300
15,2,1,DONE_OK,54
16,1,1,DONE_OK,80
17,2,0,DONE_FAIL,300
18,1,1,DONE_OK,23
19,3,1,DONE_OK,121
20,2,1,DONE_OK,66
21,1,0,DONE_FAIL,300
22,1,1,DONE_OK,87
23,2,1,DONE_OK,219
24,1,1,DONE_OK,167
25,1,1,DONE_OK,163
26,1,1,DONE_OK,109
27,2,0,DONE_FAIL,300
28,4,1,DONE_OK,140
29,5,0,DONE_FAIL,114
30,2,0,DONE_FAIL,93
31,3,1,DONE_OK,96
32,1,1,DONE_OK,103
33,2,0,DONE_FAIL,300
34,1,1,DONE_OK,156
35,5,1,DONE_OK,104
36,1,0,DONE_FAIL,300
37,2,0,DONE_FAIL,300
38,3,1,DONE_OK,228
39,1,0,DONE_FAIL,300
40,4,0,DONE_FAIL,300
41,4,1,DONE_OK,97
42,1,0,DONE_FAIL,300
43,2,0,DONE_FAIL,300
44,1,1,DONE_OK,70
45,1,0,DONE_FAIL,300
46,4,0,DONE_FAIL,300
47,1,1,DONE_OK,100
48,5,0,DONE_FAIL,300
49,3,1,DONE_OK,86
50,2,1,DONE_OK,99
51,2,0,DONE_FAIL,130
52,7,1,DONE_OK,93
53,3,0,DONE_FAIL,300
54,1,1,DONE_OK,91
55,8,1,DONE_OK,118
56,5,1,DONE_OK,118
57,4,0,DONE_FAIL,300
58,2,0,DONE_FAIL,300
59,8,0,handoff_failed,0
